"arten","funk","jahr","value","dim","unit"
"300","","2023","","aufwand","CHF"
"301","","2023","","aufwand","CHF"
"302","","2023","","aufwand","CHF"
"303","","2023","","aufwand","CHF"
"304","","2023","","aufwand","CHF"
"305","","2023","","aufwand","CHF"
"306","","2023","","aufwand","CHF"
"309","","2023","","aufwand","CHF"
"310","","2023","","aufwand","CHF"
"311","","2023","","aufwand","CHF"
"312","","2023","","aufwand","CHF"
"313","","2023","146698.74","aufwand","CHF"
"314","","2023","","aufwand","CHF"
"315","","2023","","aufwand","CHF"
"316","","2023","","aufwand","CHF"
"317","","2023","","aufwand","CHF"
"318","","2023","26456.25","aufwand","CHF"
"319","","2023","","aufwand","CHF"
"320","","2023","","aufwand","CHF"
"331","","2023","","aufwand","CHF"
"337","","2023","","aufwand","CHF"
"338","","2023","","aufwand","CHF"
"340","","2023","22671","aufwand","CHF"
"341","","2023","","aufwand","CHF"
"342","","2023","","aufwand","CHF"
"343","","2023","","aufwand","CHF"
"344","","2023","","aufwand","CHF"
"349","","2023","","aufwand","CHF"
"350","","2023","","aufwand","CHF"
"351","","2023","","aufwand","CHF"
"352","","2023","","aufwand","CHF"
"3600","","2023","","aufwand","CHF"
"36010","","2023","","aufwand","CHF"
"36011","","2023","","aufwand","CHF"
"36012","","2023","","aufwand","CHF"
"36013","","2023","","aufwand","CHF"
"36014","","2023","","aufwand","CHF"
"36015","","2023","","aufwand","CHF"
"36016","","2023","","aufwand","CHF"
"36017","","2023","","aufwand","CHF"
"36018","","2023","","aufwand","CHF"
"36019","","2023","","aufwand","CHF"
"36021","","2023","","aufwand","CHF"
"36022","","2023","","aufwand","CHF"
"36023","","2023","","aufwand","CHF"
"36029","","2023","","aufwand","CHF"
"3603","","2023","","aufwand","CHF"
"3604","","2023","","aufwand","CHF"
"3610","","2023","","aufwand","CHF"
"3611","","2023","","aufwand","CHF"
"3612","","2023","","aufwand","CHF"
"3613","","2023","","aufwand","CHF"
"3614","","2023","1457585","aufwand","CHF"
"3620","","2023","","aufwand","CHF"
"36211","","2023","","aufwand","CHF"
"36212","","2023","","aufwand","CHF"
"36213","","2023","","aufwand","CHF"
"36214","","2023","","aufwand","CHF"
"36215","","2023","","aufwand","CHF"
"36216","","2023","","aufwand","CHF"
"36217","","2023","","aufwand","CHF"
"36219","","2023","","aufwand","CHF"
"36221","","2023","","aufwand","CHF"
"36222","","2023","","aufwand","CHF"
"36223","","2023","","aufwand","CHF"
"36224","","2023","","aufwand","CHF"
"36225","","2023","","aufwand","CHF"
"36226","","2023","","aufwand","CHF"
"36227","","2023","","aufwand","CHF"
"36228","","2023","","aufwand","CHF"
"3624","","2023","","aufwand","CHF"
"3629","","2023","","aufwand","CHF"
"3630","","2023","","aufwand","CHF"
"3631","","2023","","aufwand","CHF"
"3632","","2023","","aufwand","CHF"
"3633","","2023","","aufwand","CHF"
"3634","","2023","","aufwand","CHF"
"3635","","2023","","aufwand","CHF"
"3636","","2023","","aufwand","CHF"
"3637","","2023","88105758.22","aufwand","CHF"
"3638","","2023","","aufwand","CHF"
"3639","","2023","","aufwand","CHF"
"364","","2023","","aufwand","CHF"
"365","","2023","","aufwand","CHF"
"366","","2023","","aufwand","CHF"
"369","","2023","","aufwand","CHF"
"380","","2023","","aufwand","CHF"
"381","","2023","","aufwand","CHF"
"383","","2023","","aufwand","CHF"
"384","","2023","","aufwand","CHF"
"3860","","2023","","aufwand","CHF"
"3861","","2023","","aufwand","CHF"
"3862","","2023","","aufwand","CHF"
"3863","","2023","","aufwand","CHF"
"3864","","2023","","aufwand","CHF"
"3865","","2023","","aufwand","CHF"
"3866","","2023","","aufwand","CHF"
"3867","","2023","","aufwand","CHF"
"3868","","2023","","aufwand","CHF"
"387","","2023","","aufwand","CHF"
"389","","2023","","aufwand","CHF"
"4000","","2023","","ertrag","CHF"
"4001","","2023","","ertrag","CHF"
"4002","","2023","","ertrag","CHF"
"4008","","2023","","ertrag","CHF"
"4009","","2023","","ertrag","CHF"
"4010","","2023","","ertrag","CHF"
"4011","","2023","","ertrag","CHF"
"4012","","2023","","ertrag","CHF"
"4019","","2023","","ertrag","CHF"
"4020","","2023","","ertrag","CHF"
"4021","","2023","","ertrag","CHF"
"4022","","2023","","ertrag","CHF"
"4023","","2023","","ertrag","CHF"
"4024","","2023","","ertrag","CHF"
"4025","","2023","","ertrag","CHF"
"4030","","2023","","ertrag","CHF"
"4031","","2023","","ertrag","CHF"
"4032","","2023","","ertrag","CHF"
"4033","","2023","","ertrag","CHF"
"4039","","2023","","ertrag","CHF"
"4040","","2023","","ertrag","CHF"
"4041","","2023","","ertrag","CHF"
"4042","","2023","","ertrag","CHF"
"4043","","2023","","ertrag","CHF"
"4044","","2023","","ertrag","CHF"
"4045","","2023","","ertrag","CHF"
"4046","","2023","","ertrag","CHF"
"4047","","2023","","ertrag","CHF"
"4049","","2023","","ertrag","CHF"
"4050","","2023","","ertrag","CHF"
"4051","","2023","","ertrag","CHF"
"4052","","2023","","ertrag","CHF"
"4053","","2023","","ertrag","CHF"
"4059","","2023","","ertrag","CHF"
"4060","","2023","","ertrag","CHF"
"4070","","2023","","ertrag","CHF"
"4071","","2023","","ertrag","CHF"
"4072","","2023","24231382.95","ertrag","CHF"
"4079","","2023","","ertrag","CHF"
"410","","2023","","ertrag","CHF"
"411","","2023","","ertrag","CHF"
"412","","2023","","ertrag","CHF"
"413","","2023","","ertrag","CHF"
"420","","2023","","ertrag","CHF"
"421","","2023","","ertrag","CHF"
"422","","2023","","ertrag","CHF"
"423","","2023","","ertrag","CHF"
"424","","2023","","ertrag","CHF"
"425","","2023","","ertrag","CHF"
"426","","2023","3117492.15","ertrag","CHF"
"427","","2023","","ertrag","CHF"
"429","","2023","5400.35","ertrag","CHF"
"430","","2023","","ertrag","CHF"
"431","","2023","","ertrag","CHF"
"432","","2023","","ertrag","CHF"
"439","","2023","","ertrag","CHF"
"440","","2023","59177","ertrag","CHF"
"441","","2023","","ertrag","CHF"
"442","","2023","","ertrag","CHF"
"443","","2023","","ertrag","CHF"
"444","","2023","","ertrag","CHF"
"445","","2023","","ertrag","CHF"
"446","","2023","","ertrag","CHF"
"447","","2023","","ertrag","CHF"
"448","","2023","","ertrag","CHF"
"449","","2023","","ertrag","CHF"
"450","","2023","","ertrag","CHF"
"451","","2023","","ertrag","CHF"
"452","","2023","","ertrag","CHF"
"46000","","2023","","ertrag","CHF"
"46001","","2023","","ertrag","CHF"
"46002","","2023","","ertrag","CHF"
"46003","","2023","","ertrag","CHF"
"46004","","2023","","ertrag","CHF"
"46005","","2023","","ertrag","CHF"
"46006","","2023","","ertrag","CHF"
"46007","","2023","","ertrag","CHF"
"46008","","2023","","ertrag","CHF"
