"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","90992740.48","bilanz","sv_iv","CHF","fs"
"101","","2023","529799617.5","bilanz","sv_iv","CHF","fs"
"102","","2023","247607941.26","bilanz","sv_iv","CHF","fs"
"104","","2023","163516517.79","bilanz","sv_iv","CHF","fs"
"106","","2023","","bilanz","sv_iv","CHF","fs"
"107","","2023","3307383225.42","bilanz","sv_iv","CHF","fs"
"108","","2023","15999376.06","bilanz","sv_iv","CHF","fs"
"109","","2023","","bilanz","sv_iv","CHF","fs"
"140","","2023","18733854.16","bilanz","sv_iv","CHF","fs"
"141","","2023","","bilanz","sv_iv","CHF","fs"
"142","","2023","","bilanz","sv_iv","CHF","fs"
"143","","2023","","bilanz","sv_iv","CHF","fs"
"144","","2023","","bilanz","sv_iv","CHF","fs"
"145","","2023","","bilanz","sv_iv","CHF","fs"
"146","","2023","","bilanz","sv_iv","CHF","fs"
"147","","2023","","bilanz","sv_iv","CHF","fs"
"148","","2023","","bilanz","sv_iv","CHF","fs"
"200","","2023","26609411.65","bilanz","sv_iv","CHF","fs"
"201","","2023","49430238.43","bilanz","sv_iv","CHF","fs"
"204","","2023","531953.51","bilanz","sv_iv","CHF","fs"
"205","","2023","16093756.84","bilanz","sv_iv","CHF","fs"
"206","","2023","10284204265.59","bilanz","sv_iv","CHF","fs"
"207","","2023","56372915","bilanz","sv_iv","CHF","fs"
"208","","2023","","bilanz","sv_iv","CHF","fs"
"209","","2023","","bilanz","sv_iv","CHF","fs"
"290","","2023","-6264769028.97","bilanz","sv_iv","CHF","fs"
"292","","2023","","bilanz","sv_iv","CHF","fs"
"293","","2023","","bilanz","sv_iv","CHF","fs"
"294","","2023","","bilanz","sv_iv","CHF","fs"
"295","","2023","","bilanz","sv_iv","CHF","fs"
"296","","2023","","bilanz","sv_iv","CHF","fs"
"298","","2023","","bilanz","sv_iv","CHF","fs"
"299","","2023","205559760.64","bilanz","sv_iv","CHF","fs"
"empty","","2023","","er","sv_iv","CHF","fs"
"empty","","2023","","er","sv_iv","CHF","fs"
"empty","","2023","","er","sv_iv","CHF","fs"
"empty","","2023","","er","sv_iv","CHF","fs"
"300","","2023","","aufwand","sv_iv","CHF","fs"
"301","","2023","233497988.54","aufwand","sv_iv","CHF","fs"
"302","","2023","","aufwand","sv_iv","CHF","fs"
"303","","2023","","aufwand","sv_iv","CHF","fs"
"304","","2023","","aufwand","sv_iv","CHF","fs"
"305","","2023","41205527.39","aufwand","sv_iv","CHF","fs"
"306","","2023","","aufwand","sv_iv","CHF","fs"
"309","","2023","","aufwand","sv_iv","CHF","fs"
"310","","2023","","aufwand","sv_iv","CHF","fs"
"311","","2023","","aufwand","sv_iv","CHF","fs"
"312","","2023","","aufwand","sv_iv","CHF","fs"
"313","","2023","502102028.54","aufwand","sv_iv","CHF","fs"
