"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","10042801","bilanz","sv_mat_ge","CHF","fs"
"101","","2021","2991356","bilanz","sv_mat_ge","CHF","fs"
"102","","2021","","bilanz","sv_mat_ge","CHF","fs"
"104","","2021","6978","bilanz","sv_mat_ge","CHF","fs"
"106","","2021","","bilanz","sv_mat_ge","CHF","fs"
"107","","2021","7507303","bilanz","sv_mat_ge","CHF","fs"
"108","","2021","","bilanz","sv_mat_ge","CHF","fs"
"109","","2021","","bilanz","sv_mat_ge","CHF","fs"
"140","","2021","","bilanz","sv_mat_ge","CHF","fs"
"141","","2021","","bilanz","sv_mat_ge","CHF","fs"
"142","","2021","","bilanz","sv_mat_ge","CHF","fs"
"143","","2021","","bilanz","sv_mat_ge","CHF","fs"
"144","","2021","","bilanz","sv_mat_ge","CHF","fs"
"145","","2021","","bilanz","sv_mat_ge","CHF","fs"
"146","","2021","","bilanz","sv_mat_ge","CHF","fs"
"147","","2021","","bilanz","sv_mat_ge","CHF","fs"
"148","","2021","","bilanz","sv_mat_ge","CHF","fs"
"200","","2021","363427","bilanz","sv_mat_ge","CHF","fs"
"201","","2021","","bilanz","sv_mat_ge","CHF","fs"
"204","","2021","76144","bilanz","sv_mat_ge","CHF","fs"
"205","","2021","104000","bilanz","sv_mat_ge","CHF","fs"
"206","","2021","","bilanz","sv_mat_ge","CHF","fs"
"207","","2021","","bilanz","sv_mat_ge","CHF","fs"
"208","","2021","","bilanz","sv_mat_ge","CHF","fs"
"209","","2021","","bilanz","sv_mat_ge","CHF","fs"
"290","","2021","","bilanz","sv_mat_ge","CHF","fs"
"292","","2021","","bilanz","sv_mat_ge","CHF","fs"
"293","","2021","","bilanz","sv_mat_ge","CHF","fs"
"294","","2021","","bilanz","sv_mat_ge","CHF","fs"
"295","","2021","","bilanz","sv_mat_ge","CHF","fs"
"296","","2021","","bilanz","sv_mat_ge","CHF","fs"
"298","","2021","","bilanz","sv_mat_ge","CHF","fs"
"299","","2021","20004867","bilanz","sv_mat_ge","CHF","fs"
"empty","","2021","","er","sv_mat_ge","CHF","fs"
"empty","","2021","","er","sv_mat_ge","CHF","fs"
"empty","","2021","","er","sv_mat_ge","CHF","fs"
"empty","","2021","","er","sv_mat_ge","CHF","fs"
"300","","2021","18265","aufwand","sv_mat_ge","CHF","fs"
"301","","2021","155081.65","aufwand","sv_mat_ge","CHF","fs"
"302","","2021","","aufwand","sv_mat_ge","CHF","fs"
"303","","2021","","aufwand","sv_mat_ge","CHF","fs"
"304","","2021","","aufwand","sv_mat_ge","CHF","fs"
"305","","2021","27367.35","aufwand","sv_mat_ge","CHF","fs"
"306","","2021","","aufwand","sv_mat_ge","CHF","fs"
"309","","2021","","aufwand","sv_mat_ge","CHF","fs"
"310","","2021","","aufwand","sv_mat_ge","CHF","fs"
"311","","2021","","aufwand","sv_mat_ge","CHF","fs"
"312","","2021","","aufwand","sv_mat_ge","CHF","fs"
"313","","2021","43716","aufwand","sv_mat_ge","CHF","fs"
"314","","2021","","aufwand","sv_mat_ge","CHF","fs"
"315","","2021","","aufwand","sv_mat_ge","CHF","fs"
"316","","2021","","aufwand","sv_mat_ge","CHF","fs"
"317","","2021","","aufwand","sv_mat_ge","CHF","fs"
"318","","2021","4000","aufwand","sv_mat_ge","CHF","fs"
"319","","2021","","aufwand","sv_mat_ge","CHF","fs"
"320","","2021","","aufwand","sv_mat_ge","CHF","fs"
"331","","2021","","aufwand","sv_mat_ge","CHF","fs"
"337","","2021","","aufwand","sv_mat_ge","CHF","fs"
"338","","2021","","aufwand","sv_mat_ge","CHF","fs"
"340","","2021","16543","aufwand","sv_mat_ge","CHF","fs"
"341","","2021","","aufwand","sv_mat_ge","CHF","fs"
"342","","2021","30036","aufwand","sv_mat_ge","CHF","fs"
"343","","2021","","aufwand","sv_mat_ge","CHF","fs"
"344","","2021","","aufwand","sv_mat_ge","CHF","fs"
"349","","2021","","aufwand","sv_mat_ge","CHF","fs"
"350","","2021","","aufwand","sv_mat_ge","CHF","fs"
"351","","2021","","aufwand","sv_mat_ge","CHF","fs"
"352","","2021","","aufwand","sv_mat_ge","CHF","fs"
"3600","","2021","","aufwand","sv_mat_ge","CHF","fs"
"36010","","2021","","aufwand","sv_mat_ge","CHF","fs"
"36011","","2021","","aufwand","sv_mat_ge","CHF","fs"
"36012","","2021","","aufwand","sv_mat_ge","CHF","fs"
"36013","","2021","","aufwand","sv_mat_ge","CHF","fs"
"36014","","2021","","aufwand","sv_mat_ge","CHF","fs"
