"arten","funk","jahr","value","dim","unit"
"100","","2022","9511929","bilanz","CHF"
"101","","2022","3137185","bilanz","CHF"
"102","","2022","","bilanz","CHF"
"104","","2022","1457","bilanz","CHF"
"106","","2022","","bilanz","CHF"
"107","","2022","7312158","bilanz","CHF"
"108","","2022","","bilanz","CHF"
"109","","2022","","bilanz","CHF"
"140","","2022","","bilanz","CHF"
"141","","2022","","bilanz","CHF"
"142","","2022","","bilanz","CHF"
"143","","2022","","bilanz","CHF"
"144","","2022","","bilanz","CHF"
"145","","2022","","bilanz","CHF"
"146","","2022","","bilanz","CHF"
"147","","2022","","bilanz","CHF"
"148","","2022","","bilanz","CHF"
"200","","2022","126295","bilanz","CHF"
"201","","2022","","bilanz","CHF"
"204","","2022","78371","bilanz","CHF"
"205","","2022","94000","bilanz","CHF"
"206","","2022","","bilanz","CHF"
"207","","2022","","bilanz","CHF"
"208","","2022","","bilanz","CHF"
"209","","2022","","bilanz","CHF"
"290","","2022","","bilanz","CHF"
"292","","2022","","bilanz","CHF"
"293","","2022","","bilanz","CHF"
"294","","2022","","bilanz","CHF"
"295","","2022","","bilanz","CHF"
"296","","2022","","bilanz","CHF"
"298","","2022","","bilanz","CHF"
"299","","2022","19664063","bilanz","CHF"
"300","","2022","18510","aufwand","CHF"
"301","","2022","158210.5","aufwand","CHF"
"302","","2022","","aufwand","CHF"
"303","","2022","","aufwand","CHF"
"304","","2022","","aufwand","CHF"
"305","","2022","27919.5","aufwand","CHF"
"306","","2022","","aufwand","CHF"
"309","","2022","","aufwand","CHF"
"310","","2022","","aufwand","CHF"
"311","","2022","","aufwand","CHF"
"312","","2022","","aufwand","CHF"
"313","","2022","44555","aufwand","CHF"
"314","","2022","","aufwand","CHF"
"315","","2022","","aufwand","CHF"
"316","","2022","","aufwand","CHF"
"317","","2022","","aufwand","CHF"
"318","","2022","-10000","aufwand","CHF"
"319","","2022","","aufwand","CHF"
"320","","2022","","aufwand","CHF"
"331","","2022","","aufwand","CHF"
"337","","2022","","aufwand","CHF"
"338","","2022","","aufwand","CHF"
"340","","2022","12809","aufwand","CHF"
"341","","2022","","aufwand","CHF"
"342","","2022","26163","aufwand","CHF"
"343","","2022","","aufwand","CHF"
"344","","2022","1752913","aufwand","CHF"
"349","","2022","","aufwand","CHF"
"350","","2022","","aufwand","CHF"
