"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2022","6970124799.3","aufwand","bund","CHF","gfs"
"2121","","2022","1551722861.14","aufwand","bund","CHF","gfs"
"2122","","2022","104184666.66","aufwand","bund","CHF","gfs"
"22","","2022","7495113975.29","aufwand","bund","CHF","gfs"
"23","","2022","6073461511.03","aufwand","bund","CHF","gfs"
"24","","2022","881506044.44","aufwand","bund","CHF","gfs"
"251","","2022","1768622624.41","aufwand","bund","CHF","gfs"
"252","","2022","2894087654.82","aufwand","bund","CHF","gfs"
"253","","2022","","aufwand","bund","CHF","gfs"
"2611","","2022","1674398461.44","aufwand","bund","CHF","gfs"
"2612","","2022","3499999.5","aufwand","bund","CHF","gfs"
"2621","","2022","1902053362.96","aufwand","bund","CHF","gfs"
"2622","","2022","","aufwand","bund","CHF","gfs"
"2631","","2022","41075849092.59","aufwand","bund","CHF","gfs"
"2632","","2022","1256255026.5","aufwand","bund","CHF","gfs"
"271","","2022","","aufwand","bund","CHF","gfs"
"272","","2022","660447645.67","aufwand","bund","CHF","gfs"
"273","","2022","104184666.66","aufwand","bund","CHF","gfs"
"281","","2022","","aufwand","bund","CHF","gfs"
"2821","","2022","1701590489.35","aufwand","bund","CHF","gfs"
"2822","","2022","5060186560.07","aufwand","bund","CHF","gfs"
"283","","2022","","aufwand","bund","CHF","gfs"
"1111","","2022","12897010679.5","ertrag","bund","CHF","gfs"
"1112","","2022","13600895021.27","ertrag","bund","CHF","gfs"
"1113","","2022","4362640285.99","ertrag","bund","CHF","gfs"
"112","","2022","","ertrag","bund","CHF","gfs"
"1131","","2022","","ertrag","bund","CHF","gfs"
"1132","","2022","","ertrag","bund","CHF","gfs"
"1133","","2022","","ertrag","bund","CHF","gfs"
"1135","","2022","","ertrag","bund","CHF","gfs"
"1136","","2022","","ertrag","bund","CHF","gfs"
"11411","","2022","24328423969.7","ertrag","bund","CHF","gfs"
"11412","","2022","331350924.47","ertrag","bund","CHF","gfs"
"11413","","2022","","ertrag","bund","CHF","gfs"
"11414","","2022","1713375319.79","ertrag","bund","CHF","gfs"
"1142","","2022","8209307871.06","ertrag","bund","CHF","gfs"
"1143","","2022","","ertrag","bund","CHF","gfs"
"1144","","2022","1122309079.42","ertrag","bund","CHF","gfs"
"11451","","2022","","ertrag","bund","CHF","gfs"
"11452","","2022","2895126025.44","ertrag","bund","CHF","gfs"
"1146","","2022","368283505.96","ertrag","bund","CHF","gfs"
"1151","","2022","1221271780.12","ertrag","bund","CHF","gfs"
"1152","","2022","","ertrag","bund","CHF","gfs"
"1153","","2022","","ertrag","bund","CHF","gfs"
"1154","","2022","","ertrag","bund","CHF","gfs"
"1155","","2022","","ertrag","bund","CHF","gfs"
"1156","","2022","","ertrag","bund","CHF","gfs"
"116","","2022","68221845","ertrag","bund","CHF","gfs"
"1211","","2022","","ertrag","bund","CHF","gfs"
"1212","","2022","","ertrag","bund","CHF","gfs"
"1213","","2022","","ertrag","bund","CHF","gfs"
"1214","","2022","","ertrag","bund","CHF","gfs"
"1221","","2022","","ertrag","bund","CHF","gfs"
"1222","","2022","","ertrag","bund","CHF","gfs"
"1223","","2022","104184666.66","ertrag","bund","CHF","gfs"
"1311","","2022","154612081.58","ertrag","bund","CHF","gfs"
"1312","","2022","","ertrag","bund","CHF","gfs"
"1321","","2022","","ertrag","bund","CHF","gfs"
"1322","","2022","","ertrag","bund","CHF","gfs"
"1331","","2022","29272439","ertrag","bund","CHF","gfs"
"1332","","2022","611959000","ertrag","bund","CHF","gfs"
"1411","","2022","241222892.48","ertrag","bund","CHF","gfs"
"1412","","2022","2637891553.27","ertrag","bund","CHF","gfs"
"1413","","2022","","ertrag","bund","CHF","gfs"
"1414","","2022","","ertrag","bund","CHF","gfs"
"1415","","2022","91436523.5","ertrag","bund","CHF","gfs"
"1416","","2022","","ertrag","bund","CHF","gfs"
"1421","","2022","","ertrag","bund","CHF","gfs"
"1422","","2022","399248495.35","ertrag","bund","CHF","gfs"
"1423","","2022","3978927665.41","ertrag","bund","CHF","gfs"
"1424","","2022","2760279463.1","ertrag","bund","CHF","gfs"
"143","","2022","148332092.34","ertrag","bund","CHF","gfs"
"1441","","2022","443279491.28","ertrag","bund","CHF","gfs"
"1442","","2022","140351038.24","ertrag","bund","CHF","gfs"
"145","","2022","18901550.69","ertrag","bund","CHF","gfs"
"","7011","2022","2611638213.51","ausgaben_funk","bund","CHF","gfs"
"","7012","2022","3062821785.4","ausgaben_funk","bund","CHF","gfs"
"","7013","2022","1643833601.16","ausgaben_funk","bund","CHF","gfs"
"","7014","2022","5870296737.28","ausgaben_funk","bund","CHF","gfs"
"","7015","2022","10606499.31","ausgaben_funk","bund","CHF","gfs"
"","7016","2022","","ausgaben_funk","bund","CHF","gfs"
"","7017","2022","881506044.44","ausgaben_funk","bund","CHF","gfs"
"","7018","2022","9660391886.64","ausgaben_funk","bund","CHF","gfs"
"","7021","2022","5597095652.3","ausgaben_funk","bund","CHF","gfs"
"","7022","2022","132780217.54","ausgaben_funk","bund","CHF","gfs"
"","7023","2022","138054572.35","ausgaben_funk","bund","CHF","gfs"
"","7024","2022","27699965.57","ausgaben_funk","bund","CHF","gfs"
"","7025","2022","","ausgaben_funk","bund","CHF","gfs"
"","7031","2022","848725332.35","ausgaben_funk","bund","CHF","gfs"
"","7032","2022","","ausgaben_funk","bund","CHF","gfs"
"","7033","2022","242350500.22","ausgaben_funk","bund","CHF","gfs"
"","7034","2022","56086939.34","ausgaben_funk","bund","CHF","gfs"
"","7035","2022","","ausgaben_funk","bund","CHF","gfs"
"","7036","2022","203178795.73","ausgaben_funk","bund","CHF","gfs"
"","7041","2022","722295455.09","ausgaben_funk","bund","CHF","gfs"
"","7042","2022","3803182067.35","ausgaben_funk","bund","CHF","gfs"
"","7043","2022","1487523100.6","ausgaben_funk","bund","CHF","gfs"
"","7044","2022","","ausgaben_funk","bund","CHF","gfs"
"","7045","2022","10178730341.25","ausgaben_funk","bund","CHF","gfs"
"","7046","2022","49471653.74","ausgaben_funk","bund","CHF","gfs"
"","7047","2022","375664652.19","ausgaben_funk","bund","CHF","gfs"
"","7048","2022","886621061.02","ausgaben_funk","bund","CHF","gfs"
"","7049","2022","","ausgaben_funk","bund","CHF","gfs"
"","7051","2022","51700232.21","ausgaben_funk","bund","CHF","gfs"
"","7052","2022","67702413","ausgaben_funk","bund","CHF","gfs"
"","7053","2022","26450310.24","ausgaben_funk","bund","CHF","gfs"
"","7054","2022","189854868.18","ausgaben_funk","bund","CHF","gfs"
"","7055","2022","210487626.41","ausgaben_funk","bund","CHF","gfs"
"","7056","2022","175493604.34","ausgaben_funk","bund","CHF","gfs"
"","7061","2022","","ausgaben_funk","bund","CHF","gfs"
"","7062","2022","20307489.75","ausgaben_funk","bund","CHF","gfs"
"","7063","2022","","ausgaben_funk","bund","CHF","gfs"
"","7064","2022","","ausgaben_funk","bund","CHF","gfs"
"","7065","2022","","ausgaben_funk","bund","CHF","gfs"
"","7066","2022","","ausgaben_funk","bund","CHF","gfs"
