"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2023","48152859103.49","aufwand","bund_ktn_gdn","CHF","gfs"
"2121","","2023","9915659605.13","aufwand","bund_ktn_gdn","CHF","gfs"
"2122","","2023","417622070.41","aufwand","bund_ktn_gdn","CHF","gfs"
"22","","2023","29128992300.87","aufwand","bund_ktn_gdn","CHF","gfs"
"23","","2023","22792478838.54","aufwand","bund_ktn_gdn","CHF","gfs"
"24","","2023","2187283131.5","aufwand","bund_ktn_gdn","CHF","gfs"
"251","","2023","16432334910.71","aufwand","bund_ktn_gdn","CHF","gfs"
"252","","2023","8762253474.77","aufwand","bund_ktn_gdn","CHF","gfs"
"253","","2023","","aufwand","bund_ktn_gdn","CHF","gfs"
"2611","","2023","2306041895.96","aufwand","bund_ktn_gdn","CHF","gfs"
"2612","","2023","25289598.62","aufwand","bund_ktn_gdn","CHF","gfs"
"2621","","2023","2062090327.66","aufwand","bund_ktn_gdn","CHF","gfs"
"2622","","2023","","aufwand","bund_ktn_gdn","CHF","gfs"
"2631","","2023","18532927679.95","aufwand","bund_ktn_gdn","CHF","gfs"
"2632","","2023","","aufwand","bund_ktn_gdn","CHF","gfs"
"271","","2023","","aufwand","bund_ktn_gdn","CHF","gfs"
"272","","2023","19486964366.74","aufwand","bund_ktn_gdn","CHF","gfs"
"273","","2023","417622070.41","aufwand","bund_ktn_gdn","CHF","gfs"
"281","","2023","","aufwand","bund_ktn_gdn","CHF","gfs"
"2821","","2023","14588268748.43","aufwand","bund_ktn_gdn","CHF","gfs"
"2822","","2023","8962984725.51","aufwand","bund_ktn_gdn","CHF","gfs"
"283","","2023","537972418.12","aufwand","bund_ktn_gdn","CHF","gfs"
"1111","","2023","67481734991.1","ertrag","bund_ktn_gdn","CHF","gfs"
"1112","","2023","27424269836.19","ertrag","bund_ktn_gdn","CHF","gfs"
"1113","","2023","8212077170","ertrag","bund_ktn_gdn","CHF","gfs"
"112","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1131","","2023","1433785104.75","ertrag","bund_ktn_gdn","CHF","gfs"
"1132","","2023","10757491578.43","ertrag","bund_ktn_gdn","CHF","gfs"
"1133","","2023","1402908223.46","ertrag","bund_ktn_gdn","CHF","gfs"
"1135","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1136","","2023","1246556314.28","ertrag","bund_ktn_gdn","CHF","gfs"
"11411","","2023","24888431793.86","ertrag","bund_ktn_gdn","CHF","gfs"
"11412","","2023","383458588.56","ertrag","bund_ktn_gdn","CHF","gfs"
"11413","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"11414","","2023","1694272916.46","ertrag","bund_ktn_gdn","CHF","gfs"
"1142","","2023","7995124607.09","ertrag","bund_ktn_gdn","CHF","gfs"
"1143","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1144","","2023","1841835057.51","ertrag","bund_ktn_gdn","CHF","gfs"
"11451","","2023","2350096244.49","ertrag","bund_ktn_gdn","CHF","gfs"
"11452","","2023","2722631001","ertrag","bund_ktn_gdn","CHF","gfs"
"1146","","2023","372572460.78","ertrag","bund_ktn_gdn","CHF","gfs"
"1151","","2023","1183570784.29","ertrag","bund_ktn_gdn","CHF","gfs"
"1152","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1153","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1154","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
"1155","","2023","","ertrag","bund_ktn_gdn","CHF","gfs"
