"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2019","12453619432.99","aufwand","gdn","CHF","gfs"
"2121","","2019","2409004536.84","aufwand","gdn","CHF","gfs"
"2122","","2019","115319471.74","aufwand","gdn","CHF","gfs"
"22","","2019","13754947246.48","aufwand","gdn","CHF","gfs"
"23","","2019","5610852110.37","aufwand","gdn","CHF","gfs"
"24","","2019","445658056.27","aufwand","gdn","CHF","gfs"
"251","","2019","1321138858.16","aufwand","gdn","CHF","gfs"
"252","","2019","297786074.98","aufwand","gdn","CHF","gfs"
"253","","2019","","aufwand","gdn","CHF","gfs"
"2611","","2019","101034607.06","aufwand","gdn","CHF","gfs"
"2612","","2019","167459.1","aufwand","gdn","CHF","gfs"
"2621","","2019","","aufwand","gdn","CHF","gfs"
"2622","","2019","","aufwand","gdn","CHF","gfs"
"2631","","2019","3141324266.87","aufwand","gdn","CHF","gfs"
"2632","","2019","212013008.4","aufwand","gdn","CHF","gfs"
"271","","2019","","aufwand","gdn","CHF","gfs"
"272","","2019","4460362884.33","aufwand","gdn","CHF","gfs"
"273","","2019","115319471.74","aufwand","gdn","CHF","gfs"
"281","","2019","","aufwand","gdn","CHF","gfs"
"2821","","2019","2817759746.04","aufwand","gdn","CHF","gfs"
"2822","","2019","1038830593.88","aufwand","gdn","CHF","gfs"
"283","","2019","118471134.83","aufwand","gdn","CHF","gfs"
"1111","","2019","19820163854.51","ertrag","gdn","CHF","gfs"
"1112","","2019","3583892703.24","ertrag","gdn","CHF","gfs"
"1113","","2019","1230405168.27","ertrag","gdn","CHF","gfs"
"112","","2019","","ertrag","gdn","CHF","gfs"
"1131","","2019","894950301.55","ertrag","gdn","CHF","gfs"
"1132","","2019","3757696767.03","ertrag","gdn","CHF","gfs"
"1133","","2019","167537673.81","ertrag","gdn","CHF","gfs"
"1135","","2019","","ertrag","gdn","CHF","gfs"
"1136","","2019","239953206.96","ertrag","gdn","CHF","gfs"
"11411","","2019","","ertrag","gdn","CHF","gfs"
"11412","","2019","","ertrag","gdn","CHF","gfs"
"11413","","2019","","ertrag","gdn","CHF","gfs"
"11414","","2019","59988301.74","ertrag","gdn","CHF","gfs"
"1142","","2019","","ertrag","gdn","CHF","gfs"
"1143","","2019","","ertrag","gdn","CHF","gfs"
"1144","","2019","15143011.63","ertrag","gdn","CHF","gfs"
"11451","","2019","","ertrag","gdn","CHF","gfs"
"11452","","2019","54383944.3","ertrag","gdn","CHF","gfs"
"1146","","2019","","ertrag","gdn","CHF","gfs"
"1151","","2019","","ertrag","gdn","CHF","gfs"
"1152","","2019","","ertrag","gdn","CHF","gfs"
"1153","","2019","","ertrag","gdn","CHF","gfs"
"1154","","2019","","ertrag","gdn","CHF","gfs"
"1155","","2019","","ertrag","gdn","CHF","gfs"
"1156","","2019","","ertrag","gdn","CHF","gfs"
"116","","2019","729138153.69","ertrag","gdn","CHF","gfs"
"1211","","2019","","ertrag","gdn","CHF","gfs"
"1212","","2019","","ertrag","gdn","CHF","gfs"
"1213","","2019","","ertrag","gdn","CHF","gfs"
"1214","","2019","","ertrag","gdn","CHF","gfs"
"1221","","2019","","ertrag","gdn","CHF","gfs"
"1222","","2019","","ertrag","gdn","CHF","gfs"
"1223","","2019","115319471.74","ertrag","gdn","CHF","gfs"
"1311","","2019","279981.6","ertrag","gdn","CHF","gfs"
"1312","","2019","","ertrag","gdn","CHF","gfs"
"1321","","2019","","ertrag","gdn","CHF","gfs"
"1322","","2019","","ertrag","gdn","CHF","gfs"
"1331","","2019","4588249736.03","ertrag","gdn","CHF","gfs"
"1332","","2019","418323392.81","ertrag","gdn","CHF","gfs"
"1411","","2019","427922899.45","ertrag","gdn","CHF","gfs"
"1412","","2019","600868407.67","ertrag","gdn","CHF","gfs"
"1413","","2019","3549541.99","ertrag","gdn","CHF","gfs"
"1414","","2019","21120207.89","ertrag","gdn","CHF","gfs"
"1415","","2019","362509756.26","ertrag","gdn","CHF","gfs"
"1416","","2019","","ertrag","gdn","CHF","gfs"
"1421","","2019","","ertrag","gdn","CHF","gfs"
"1422","","2019","609888467.48","ertrag","gdn","CHF","gfs"
"1423","","2019","7696648869.33","ertrag","gdn","CHF","gfs"
"1424","","2019","","ertrag","gdn","CHF","gfs"
"143","","2019","261340902.83","ertrag","gdn","CHF","gfs"
"1441","","2019","2817887740.48","ertrag","gdn","CHF","gfs"
"1442","","2019","796051298.91","ertrag","gdn","CHF","gfs"
"145","","2019","55105618.04","ertrag","gdn","CHF","gfs"
"","7011","2019","2037392737.39","ausgaben_funk","gdn","CHF","gfs"
"","7012","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7013","2019","3982621799.34","ausgaben_funk","gdn","CHF","gfs"
"","7014","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7015","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7016","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7017","2019","445658056.27","ausgaben_funk","gdn","CHF","gfs"
"","7018","2019","394780636.16","ausgaben_funk","gdn","CHF","gfs"
"","7021","2019","34100064.7","ausgaben_funk","gdn","CHF","gfs"
"","7022","2019","168701561.43","ausgaben_funk","gdn","CHF","gfs"
"","7023","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7024","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7025","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7031","2019","1128140852.43","ausgaben_funk","gdn","CHF","gfs"
"","7032","2019","698307562.98","ausgaben_funk","gdn","CHF","gfs"
"","7033","2019","47358208.11","ausgaben_funk","gdn","CHF","gfs"
"","7034","2019","869726.85","ausgaben_funk","gdn","CHF","gfs"
"","7035","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7036","2019","1051811841.7","ausgaben_funk","gdn","CHF","gfs"
"","7041","2019","87013459.05","ausgaben_funk","gdn","CHF","gfs"
"","7042","2019","407188364.25","ausgaben_funk","gdn","CHF","gfs"
"","7043","2019","896326029.12","ausgaben_funk","gdn","CHF","gfs"
"","7044","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7045","2019","4668706823.71","ausgaben_funk","gdn","CHF","gfs"
"","7046","2019","29891710.25","ausgaben_funk","gdn","CHF","gfs"
"","7047","2019","512315883.61","ausgaben_funk","gdn","CHF","gfs"
"","7048","2019","","ausgaben_funk","gdn","CHF","gfs"
"","7049","2019","23178478.39","ausgaben_funk","gdn","CHF","gfs"
"","7051","2019","949989213.17","ausgaben_funk","gdn","CHF","gfs"
"","7052","2019","1648122275.52","ausgaben_funk","gdn","CHF","gfs"
"","7053","2019","98729305.65","ausgaben_funk","gdn","CHF","gfs"
"","7054","2019","64533324.09","ausgaben_funk","gdn","CHF","gfs"
