"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2017","23154306045.97","aufwand","ktn","CHF","gfs"
"2121","","2017","4636902941.36","aufwand","ktn","CHF","gfs"
"2122","","2017","202427964.67","aufwand","ktn","CHF","gfs"
"22","","2017","9997372997.82","aufwand","ktn","CHF","gfs"
"23","","2017","8144530672.22","aufwand","ktn","CHF","gfs"
"24","","2017","729521090.28","aufwand","ktn","CHF","gfs"
"251","","2017","10920880641.28","aufwand","ktn","CHF","gfs"
"252","","2017","4788704747.62","aufwand","ktn","CHF","gfs"
"253","","2017","","aufwand","ktn","CHF","gfs"
"2611","","2017","333612443.83","aufwand","ktn","CHF","gfs"
"2612","","2017","1619980.26","aufwand","ktn","CHF","gfs"
"2621","","2017","","aufwand","ktn","CHF","gfs"
"2622","","2017","","aufwand","ktn","CHF","gfs"
"2631","","2017","4814600369.09","aufwand","ktn","CHF","gfs"
"2632","","2017","900076652.66","aufwand","ktn","CHF","gfs"
"271","","2017","","aufwand","ktn","CHF","gfs"
"272","","2017","12368026124.55","aufwand","ktn","CHF","gfs"
"273","","2017","202427964.67","aufwand","ktn","CHF","gfs"
"281","","2017","","aufwand","ktn","CHF","gfs"
"2821","","2017","7658203607.3","aufwand","ktn","CHF","gfs"
"2822","","2017","1458311760.34","aufwand","ktn","CHF","gfs"
"283","","2017","292689413.29","aufwand","ktn","CHF","gfs"
"1111","","2017","27714017516.5","ertrag","ktn","CHF","gfs"
"1112","","2017","6381392435.63","ertrag","ktn","CHF","gfs"
"1113","","2017","1254561496.6","ertrag","ktn","CHF","gfs"
"112","","2017","","ertrag","ktn","CHF","gfs"
"1131","","2017","342219617.68","ertrag","ktn","CHF","gfs"
"1132","","2017","5598670274.42","ertrag","ktn","CHF","gfs"
"1133","","2017","1030212443.66","ertrag","ktn","CHF","gfs"
"1135","","2017","","ertrag","ktn","CHF","gfs"
"1136","","2017","764554220.97","ertrag","ktn","CHF","gfs"
"11411","","2017","","ertrag","ktn","CHF","gfs"
"11412","","2017","","ertrag","ktn","CHF","gfs"
"11413","","2017","","ertrag","ktn","CHF","gfs"
"11414","","2017","191138555.24","ertrag","ktn","CHF","gfs"
"1142","","2017","","ertrag","ktn","CHF","gfs"
"1143","","2017","","ertrag","ktn","CHF","gfs"
"1144","","2017","612696321.61","ertrag","ktn","CHF","gfs"
