"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2019","43486175157.68","aufwand","staat","CHF","gfs"
"2121","","2019","8796441133.19","aufwand","staat","CHF","gfs"
"2122","","2019","392512312.93","aufwand","staat","CHF","gfs"
"22","","2019","25378403535.06","aufwand","staat","CHF","gfs"
"23","","2019","19232861314.9","aufwand","staat","CHF","gfs"
"24","","2019","2104945124","aufwand","staat","CHF","gfs"
"251","","2019","14112175579.03","aufwand","staat","CHF","gfs"
"252","","2019","8416433406.13","aufwand","staat","CHF","gfs"
"253","","2019","","aufwand","staat","CHF","gfs"
"2611","","2019","2493581515.14","aufwand","staat","CHF","gfs"
"2612","","2019","369904.9","aufwand","staat","CHF","gfs"
"2621","","2019","1595757156.78","aufwand","staat","CHF","gfs"
"2622","","2019","","aufwand","staat","CHF","gfs"
"2631","","2019","","aufwand","staat","CHF","gfs"
"2632","","2019","","aufwand","staat","CHF","gfs"
"271","","2019","61379274857.07","aufwand","staat","CHF","gfs"
"272","","2019","17698867508.91","aufwand","staat","CHF","gfs"
"273","","2019","392512312.93","aufwand","staat","CHF","gfs"
"281","","2019","","aufwand","staat","CHF","gfs"
"2821","","2019","13065013339.16","aufwand","staat","CHF","gfs"
"2822","","2019","7022575063.16","aufwand","staat","CHF","gfs"
"283","","2019","355413404.48","aufwand","staat","CHF","gfs"
"1111","","2019","60793883704.29","ertrag","staat","CHF","gfs"
"1112","","2019","22191119371.42","ertrag","staat","CHF","gfs"
"1113","","2019","12543554403.25","ertrag","staat","CHF","gfs"
"112","","2019","","ertrag","staat","CHF","gfs"
"1131","","2019","1290040936.26","ertrag","staat","CHF","gfs"
"1132","","2019","9937975760.08","ertrag","staat","CHF","gfs"
"1133","","2019","1218625507.6","ertrag","staat","CHF","gfs"
"1135","","2019","","ertrag","staat","CHF","gfs"
"1136","","2019","1066940662.97","ertrag","staat","CHF","gfs"
"11411","","2019","22212877020.76","ertrag","staat","CHF","gfs"
"11412","","2019","406784884.13","ertrag","staat","CHF","gfs"
"11413","","2019","","ertrag","staat","CHF","gfs"
"11414","","2019","1701198150.7","ertrag","staat","CHF","gfs"
"1142","","2019","8353072503.79","ertrag","staat","CHF","gfs"
"1143","","2019","","ertrag","staat","CHF","gfs"
"1144","","2019","1608760801.44","ertrag","staat","CHF","gfs"
"11451","","2019","2293827600.03","ertrag","staat","CHF","gfs"
"11452","","2019","2952140932.09","ertrag","staat","CHF","gfs"
"1146","","2019","327145545.21","ertrag","staat","CHF","gfs"
"1151","","2019","1142771849.57","ertrag","staat","CHF","gfs"
"1152","","2019","","ertrag","staat","CHF","gfs"
"1153","","2019","","ertrag","staat","CHF","gfs"
"1154","","2019","","ertrag","staat","CHF","gfs"
"1155","","2019","","ertrag","staat","CHF","gfs"
"1156","","2019","","ertrag","staat","CHF","gfs"
"116","","2019","1173185888.31","ertrag","staat","CHF","gfs"
"1211","","2019","21973959974.17","ertrag","staat","CHF","gfs"
"1212","","2019","22015435155.44","ertrag","staat","CHF","gfs"
"1213","","2019","3087967512.68","ertrag","staat","CHF","gfs"
"1214","","2019","","ertrag","staat","CHF","gfs"
"1221","","2019","","ertrag","staat","CHF","gfs"
"1222","","2019","","ertrag","staat","CHF","gfs"
"1223","","2019","392512312.93","ertrag","staat","CHF","gfs"
