"arten","funk","jahr","value","dim","hh","unit","model"
"211","","2020","361185759.99","aufwand","sv","CHF","gfs"
"2121","","2020","70395265.83","aufwand","sv","CHF","gfs"
"2122","","2020","1374217.9","aufwand","sv","CHF","gfs"
"22","","2020","1568494948.3","aufwand","sv","CHF","gfs"
"23","","2020","1691121.63","aufwand","sv","CHF","gfs"
"24","","2020","42393657.22","aufwand","sv","CHF","gfs"
"251","","2020","12610756","aufwand","sv","CHF","gfs"
"252","","2020","50001524.2","aufwand","sv","CHF","gfs"
"253","","2020","","aufwand","sv","CHF","gfs"
"2611","","2020","","aufwand","sv","CHF","gfs"
"2612","","2020","","aufwand","sv","CHF","gfs"
"2621","","2020","","aufwand","sv","CHF","gfs"
"2622","","2020","","aufwand","sv","CHF","gfs"
"2631","","2020","","aufwand","sv","CHF","gfs"
"2632","","2020","","aufwand","sv","CHF","gfs"
"271","","2020","74502117155.76","aufwand","sv","CHF","gfs"
"272","","2020","","aufwand","sv","CHF","gfs"
"273","","2020","1374217.9","aufwand","sv","CHF","gfs"
"281","","2020","","aufwand","sv","CHF","gfs"
"2821","","2020","513101915.01","aufwand","sv","CHF","gfs"
"2822","","2020","9261917.86","aufwand","sv","CHF","gfs"
"283","","2020","","aufwand","sv","CHF","gfs"
"1111","","2020","","ertrag","sv","CHF","gfs"
"1112","","2020","","ertrag","sv","CHF","gfs"
"1113","","2020","","ertrag","sv","CHF","gfs"
"112","","2020","","ertrag","sv","CHF","gfs"
"1131","","2020","","ertrag","sv","CHF","gfs"
"1132","","2020","","ertrag","sv","CHF","gfs"
"1133","","2020","","ertrag","sv","CHF","gfs"
"1135","","2020","","ertrag","sv","CHF","gfs"
"1136","","2020","","ertrag","sv","CHF","gfs"
"11411","","2020","","ertrag","sv","CHF","gfs"
"11412","","2020","","ertrag","sv","CHF","gfs"
"11413","","2020","","ertrag","sv","CHF","gfs"
"11414","","2020","","ertrag","sv","CHF","gfs"
"1142","","2020","","ertrag","sv","CHF","gfs"
"1143","","2020","","ertrag","sv","CHF","gfs"
"1144","","2020","","ertrag","sv","CHF","gfs"
"11451","","2020","","ertrag","sv","CHF","gfs"
"11452","","2020","","ertrag","sv","CHF","gfs"
"1146","","2020","","ertrag","sv","CHF","gfs"
"1151","","2020","","ertrag","sv","CHF","gfs"
"1152","","2020","","ertrag","sv","CHF","gfs"
"1153","","2020","","ertrag","sv","CHF","gfs"
"1154","","2020","","ertrag","sv","CHF","gfs"
"1155","","2020","","ertrag","sv","CHF","gfs"
"1156","","2020","","ertrag","sv","CHF","gfs"
"116","","2020","","ertrag","sv","CHF","gfs"
"1211","","2020","23706419825.26","ertrag","sv","CHF","gfs"
"1212","","2020","21997516418.89","ertrag","sv","CHF","gfs"
"1213","","2020","3211941653.67","ertrag","sv","CHF","gfs"
"1214","","2020","","ertrag","sv","CHF","gfs"
"1221","","2020","","ertrag","sv","CHF","gfs"
"1222","","2020","","ertrag","sv","CHF","gfs"
"1223","","2020","1374217.9","ertrag","sv","CHF","gfs"
"1311","","2020","","ertrag","sv","CHF","gfs"
"1312","","2020","","ertrag","sv","CHF","gfs"
"1321","","2020","","ertrag","sv","CHF","gfs"
"1322","","2020","","ertrag","sv","CHF","gfs"
"1331","","2020","27058657020.16","ertrag","sv","CHF","gfs"
"1332","","2020","","ertrag","sv","CHF","gfs"
"1411","","2020","462164550.48","ertrag","sv","CHF","gfs"
"1412","","2020","152795596.51","ertrag","sv","CHF","gfs"
"1413","","2020","","ertrag","sv","CHF","gfs"
"1414","","2020","169422642.05","ertrag","sv","CHF","gfs"
"1415","","2020","","ertrag","sv","CHF","gfs"
"1416","","2020","","ertrag","sv","CHF","gfs"
"1421","","2020","","ertrag","sv","CHF","gfs"
"1422","","2020","","ertrag","sv","CHF","gfs"
"1423","","2020","19585760.92","ertrag","sv","CHF","gfs"
"1424","","2020","","ertrag","sv","CHF","gfs"
"143","","2020","43688482.59","ertrag","sv","CHF","gfs"
"1441","","2020","734464270.62","ertrag","sv","CHF","gfs"
"1442","","2020","5158.4","ertrag","sv","CHF","gfs"
"145","","2020","","ertrag","sv","CHF","gfs"
"","7011","2020","26385957.71","ausgaben_funk","sv","CHF","gfs"
"","7012","2020","","ausgaben_funk","sv","CHF","gfs"
"","7013","2020","169422642.05","ausgaben_funk","sv","CHF","gfs"
"","7014","2020","","ausgaben_funk","sv","CHF","gfs"
"","7015","2020","","ausgaben_funk","sv","CHF","gfs"
"","7016","2020","","ausgaben_funk","sv","CHF","gfs"
"","7017","2020","42393657.22","ausgaben_funk","sv","CHF","gfs"
"","7018","2020","","ausgaben_funk","sv","CHF","gfs"
"","7021","2020","","ausgaben_funk","sv","CHF","gfs"
"","7022","2020","","ausgaben_funk","sv","CHF","gfs"
"","7023","2020","","ausgaben_funk","sv","CHF","gfs"
"","7024","2020","","ausgaben_funk","sv","CHF","gfs"
"","7025","2020","","ausgaben_funk","sv","CHF","gfs"
"","7031","2020","","ausgaben_funk","sv","CHF","gfs"
"","7032","2020","","ausgaben_funk","sv","CHF","gfs"
"","7033","2020","","ausgaben_funk","sv","CHF","gfs"
"","7034","2020","","ausgaben_funk","sv","CHF","gfs"
"","7035","2020","","ausgaben_funk","sv","CHF","gfs"
"","7036","2020","","ausgaben_funk","sv","CHF","gfs"
"","7041","2020","","ausgaben_funk","sv","CHF","gfs"
"","7042","2020","","ausgaben_funk","sv","CHF","gfs"
"","7043","2020","","ausgaben_funk","sv","CHF","gfs"
"","7044","2020","","ausgaben_funk","sv","CHF","gfs"
"","7045","2020","","ausgaben_funk","sv","CHF","gfs"
"","7046","2020","","ausgaben_funk","sv","CHF","gfs"
"","7047","2020","","ausgaben_funk","sv","CHF","gfs"
"","7048","2020","","ausgaben_funk","sv","CHF","gfs"
"","7049","2020","","ausgaben_funk","sv","CHF","gfs"
"","7051","2020","","ausgaben_funk","sv","CHF","gfs"
"","7052","2020","","ausgaben_funk","sv","CHF","gfs"
"","7053","2020","","ausgaben_funk","sv","CHF","gfs"
"","7054","2020","","ausgaben_funk","sv","CHF","gfs"
"","7055","2020","","ausgaben_funk","sv","CHF","gfs"
"","7056","2020","","ausgaben_funk","sv","CHF","gfs"
"","7061","2020","","ausgaben_funk","sv","CHF","gfs"
"","7062","2020","","ausgaben_funk","sv","CHF","gfs"
"","7063","2020","","ausgaben_funk","sv","CHF","gfs"
"","7064","2020","","ausgaben_funk","sv","CHF","gfs"
"","7065","2020","","ausgaben_funk","sv","CHF","gfs"
"","7066","2020","","ausgaben_funk","sv","CHF","gfs"
"","7071","2020","","ausgaben_funk","sv","CHF","gfs"
"","7072","2020","","ausgaben_funk","sv","CHF","gfs"
"","7073","2020","","ausgaben_funk","sv","CHF","gfs"
"","7074","2020","","ausgaben_funk","sv","CHF","gfs"
"","7075","2020","","ausgaben_funk","sv","CHF","gfs"
"","7076","2020","","ausgaben_funk","sv","CHF","gfs"
"","7081","2020","","ausgaben_funk","sv","CHF","gfs"
"","7082","2020","","ausgaben_funk","sv","CHF","gfs"
"","7083","2020","","ausgaben_funk","sv","CHF","gfs"
"","7084","2020","","ausgaben_funk","sv","CHF","gfs"
"","7085","2020","","ausgaben_funk","sv","CHF","gfs"
"","7086","2020","","ausgaben_funk","sv","CHF","gfs"
"","7091","2020","","ausgaben_funk","sv","CHF","gfs"
"","7092","2020","","ausgaben_funk","sv","CHF","gfs"
"","7093","2020","","ausgaben_funk","sv","CHF","gfs"
"","7094","2020","","ausgaben_funk","sv","CHF","gfs"
"","7095","2020","6695215.33","ausgaben_funk","sv","CHF","gfs"
"","7096","2020","","ausgaben_funk","sv","CHF","gfs"
"","7097","2020","","ausgaben_funk","sv","CHF","gfs"
"","7098","2020","","ausgaben_funk","sv","CHF","gfs"
"","7101","2020","9780338207","ausgaben_funk","sv","CHF","gfs"
"","7102","2020","44155361232.68","ausgaben_funk","sv","CHF","gfs"
"","7103","2020","2004648870.55","ausgaben_funk","sv","CHF","gfs"
"","7104","2020","1326802164.44","ausgaben_funk","sv","CHF","gfs"
"","7105","2020","18900834822.44","ausgaben_funk","sv","CHF","gfs"
"","7106","2020","","ausgaben_funk","sv","CHF","gfs"
"","7107","2020","721005955.51","ausgaben_funk","sv","CHF","gfs"
"","7108","2020","","ausgaben_funk","sv","CHF","gfs"
"","7109","2020","","ausgaben_funk","sv","CHF","gfs"
"","7011","2020","161784722.28","einnahmen_funk","sv","CHF","gfs"
"","7012","2020","","einnahmen_funk","sv","CHF","gfs"
"","7013","2020","169422642.05","einnahmen_funk","sv","CHF","gfs"
"","7014","2020","","einnahmen_funk","sv","CHF","gfs"
"","7015","2020","","einnahmen_funk","sv","CHF","gfs"
"","7016","2020","","einnahmen_funk","sv","CHF","gfs"
"","7017","2020","462164550.48","einnahmen_funk","sv","CHF","gfs"
"","7018","2020","","einnahmen_funk","sv","CHF","gfs"
"","7021","2020","","einnahmen_funk","sv","CHF","gfs"
"","7022","2020","","einnahmen_funk","sv","CHF","gfs"
"","7023","2020","","einnahmen_funk","sv","CHF","gfs"
"","7024","2020","","einnahmen_funk","sv","CHF","gfs"
"","7025","2020","","einnahmen_funk","sv","CHF","gfs"
"","7031","2020","","einnahmen_funk","sv","CHF","gfs"
"","7032","2020","","einnahmen_funk","sv","CHF","gfs"
"","7033","2020","","einnahmen_funk","sv","CHF","gfs"
"","7034","2020","","einnahmen_funk","sv","CHF","gfs"
"","7035","2020","","einnahmen_funk","sv","CHF","gfs"
"","7036","2020","","einnahmen_funk","sv","CHF","gfs"
"","7041","2020","","einnahmen_funk","sv","CHF","gfs"
"","7042","2020","","einnahmen_funk","sv","CHF","gfs"
"","7043","2020","","einnahmen_funk","sv","CHF","gfs"
"","7044","2020","","einnahmen_funk","sv","CHF","gfs"
"","7045","2020","","einnahmen_funk","sv","CHF","gfs"
"","7046","2020","","einnahmen_funk","sv","CHF","gfs"
"","7047","2020","","einnahmen_funk","sv","CHF","gfs"
"","7048","2020","","einnahmen_funk","sv","CHF","gfs"
"","7049","2020","","einnahmen_funk","sv","CHF","gfs"
"","7051","2020","","einnahmen_funk","sv","CHF","gfs"
"","7052","2020","","einnahmen_funk","sv","CHF","gfs"
"","7053","2020","","einnahmen_funk","sv","CHF","gfs"
"","7054","2020","","einnahmen_funk","sv","CHF","gfs"
"","7055","2020","","einnahmen_funk","sv","CHF","gfs"
"","7056","2020","","einnahmen_funk","sv","CHF","gfs"
"","7061","2020","","einnahmen_funk","sv","CHF","gfs"
"","7062","2020","","einnahmen_funk","sv","CHF","gfs"
"","7063","2020","","einnahmen_funk","sv","CHF","gfs"
"","7064","2020","","einnahmen_funk","sv","CHF","gfs"
"","7065","2020","","einnahmen_funk","sv","CHF","gfs"
"","7066","2020","","einnahmen_funk","sv","CHF","gfs"
"","7071","2020","","einnahmen_funk","sv","CHF","gfs"
