"arten","funk","d","f","i","e","dim","model"
"3","","Aufwand","Charges","Spese","Expenses","aufwand","fs"
"30","","Personalaufwand","Charges de personnel","Spese per il personale","Personnel expenses","aufwand","fs"
"300","","Behörden, Kommissionen und Richter","Autorités, commissions et juges","Autorità, commissioni e giudici","Authorities, commissions and judges","aufwand","fs"
"301","","Löhne des Verwaltungs- und Betriebspersonals","Salaires du personnel administratif et d'exploitation","Stipendi del personale amministrativo e d'esercizio","Salaries of administrative and operating personnel","aufwand","fs"
"302","","Löhne der Lehrpersonen","Salaires des enseignants","Stipendi del corpo docenti","Salaries of teaching staff","aufwand","fs"
"303","","Temporäre Arbeitskräfte","Travailleurs temporaires","Personale temporaneo","Temporary staff","aufwand","fs"
"304","","Zulagen","Allocations","Assegni e indennità","Allowances","aufwand","fs"
"305","","Arbeitgeberbeiträge","Cotisations de l'employeur","Contributi del datore di lavoro","Employer contributions","aufwand","fs"
"306","","Arbeitgeberleistungen","Prestations de l'employeur","Prestazioni del datore di lavoro","Employer benefits","aufwand","fs"
"309","","Übriger Personalaufwand","Autres charges de personnel","Rimanenti spese per il personale","Other personnel expenses","aufwand","fs"
"31","","Sach- und übriger Betriebsaufwand","Charges de biens et services et autres charges d'exploitation","Spese per beni e servizi e altre spese d’esercizio","General, administrative and operating expenses","aufwand","fs"
"310","","Material- und Warenaufwand","Charges de matériel et de marchandises","Spese per materiale e merci","Cost of goods and materials","aufwand","fs"
"311","","Nicht aktivierbare Anlagen","Immobilisations non portées à l'actif","Investimenti non attivabili","Non-capitalized assets","aufwand","fs"
"312","","Ver- und Entsorgung Liegenschaften VV","Approvisionnement et élimination","Approvvigionamento e smaltimento di immobili beni amministrativi","Supply and disposal","aufwand","fs"
"313","","Dienstleistungen und Honorare","Prestations de service et honoraires","Prestazioni di servizi e onorari","Services and fees","aufwand","fs"
"314","","Baulicher und betrieblicher Unterhalt","Travaux d'entretien","Manutenzione edile e d'esercizio","Building maintenance","aufwand","fs"
"315","","Unterhalt Mobilien und immaterielle Anlagen","Entretien des biens meubles et immobilisations incorporelles","Manutenzione di beni mobili e investimenti immateriali","Upkeep of movables and intangible fixed assets","aufwand","fs"
"316","","Mieten, Leasing, Pachten, Benützungsgebühren","Loyers, leasing, fermages, émoluments d'utilisation","Pigioni, leasing, fitti, emolumenti di utilizzazione","Rental, lease, tenancy, user charges","aufwand","fs"
"317","","Spesenentschädigungen","Remboursement des frais","Indennità per il rimborso spese","Compensation for expenses","aufwand","fs"
"318","","Wertberichtigungen auf Forderungen","Réévaluation de créances","Rettificazioni di valore su crediti","Value adjustments on receivables","aufwand","fs"
"319","","Übriger Betriebsaufwand","Autres charges d'exploitation","Rimanenti spese d'esercizio","Other operating expenses","aufwand","fs"
"32","","Rüstungsaufwand","Charges d'armement","Spese per l'armamento","Defense expenses","aufwand","fs"
"320","","Rüstungsaufwand","Charges d'armement","Spese per l'armamento","Defense expenses","aufwand","fs"
"33","","Abschreibungen auf das Verwaltungsvermögen","Amortissement du patrimoine administratif","Ammortamenti sui beni amministrativi","Depreciation, administrative assets","aufwand","fs"
"331","","Abschreibungen n.a.g.","Amortissements n.c.a.","Ammortamenti n.m.a.","Depreciation and amortization n.e.c.","aufwand","fs"
"337","","Planmässige Abschreibungen","Amortissements planifiés","Ammortamenti pianificati","Planned depreciation and amortization","aufwand","fs"
"338","","Ausserplanmässige Abschreibungen","Amortissements non planifiés","Ammortamenti non pianificati","Unplanned depreciation and amortization","aufwand","fs"
"34","","Finanzaufwand","Charges financières","Spese finanziarie","Financial expense","aufwand","fs"
"340","","Zinsaufwand","Charges d'intérêts","Spese a titolo di interessi","Interest expense","aufwand","fs"
"341","","Realisierte Verluste FV","Pertes réalisées PF","Perdite conseguite beni patrimoniali","Realized losses NAA","aufwand","fs"
"342","","Kapitalbeschaffung und -verwaltung","Acquisition et administration de capital","Raccolta e gestione di capitale","Capital procurement and administration","aufwand","fs"
"343","","Liegenschaftenaufwand, FV","Charges d'immeubles, PF","Spese per immobili, beni patrimoniali","Real estate expense, NAA","aufwand","fs"
"344","","Wertberichtigungen Anlagen, FV","Réévaluation d'immobilisations, PF","Rettificazioni di valore su investimenti, beni patrimoniali","Value adjustments on investments, NAA","aufwand","fs"
"349","","Übriger Finanzaufwand","Autres charges financières","Rimanenti spese finanziarie","Other financial expense","aufwand","fs"
"35","","Einlagen in Fonds und Spezialfinanzierungen","Apports aux fonds et financements spéciaux","Versamenti a fondi e a finanziamenti speciali","Net expense for funds and special financing","aufwand","fs"
"350","","Einlagen in Fonds und Spezialfinanzierungen im Fremdkapital","Apports aux fonds et financements spéciaux enregistrés sous capitaux de tiers","Versamenti a fondi e a finanziamenti speciali nel capitale di terzi","Net expense for funds and special financing in liabilities","aufwand","fs"
"351","","Einlagen in Fonds und Spezialfinanzierungen im Eigenkapital","Apports aux fonds et financements spéciaux enregistrés sous le capital propre","Versamenti a fondi e a finanziamenti speciali nel capitale proprio","Net expense for funds and special financing in net assets/equity","aufwand","fs"
"352","","Einlagen in Fonds und Spezialfinanzierungen n.a.g.","Apports aux fonds et financements spéciaux n.c.a.","Versamenti a fondi e a finanziamenti speciali n.m.a.","Net expense for funds and special financing n.e.c.","aufwand","fs"
"36","","Transferaufwand","Charges de transfert","Spese di riversamento","Transfer expenses","aufwand","fs"
"360","","Ertragsanteile","Parts de revenus","Partecipazioni a ricavi","Revenue shares","aufwand","fs"
"3600","","Ertragsanteile an Bund","Parts de revenus destinées à la Confédération","Partecipazioni della Confederazione a ricavi","Revenue shares for the Confederation","aufwand","fs"
"3601","","Ertragsanteile an Kantone und Konkordate","Parts de revenus destinées aux cantons et aux concordats","Partecipazioni di Cantoni e Concordati a ricavi","Revenue shares for cantons and concordats","aufwand","fs"
"36010","","Ertragsanteil direkte Bundessteuer","Part des revenus de l'impôt fédéral direct","Partecipazioni a ricavi, imposta federale diretta","Share in direct federal tax revenue","aufwand","fs"
"36011","","Ertragsanteil Verrechnungssteuer","Part des revenus de l'impôt anticipé","Partecipazioni a ricavi, imposta preventiva","Share in withholding tax revenue","aufwand","fs"
"36012","","Ertragsanteil Wehrpflichtersatzabgabe","Part des revenus de la taxe d'exemption de l'obligation de servir","Partecipazioni a ricavi, tassa d'esenzione dall'obbligo militare","Share in military service exemption tax revenue","aufwand","fs"
"36013","","Ertraganteil Eidg. Alkoholverwaltung","Part des revenus de la Régie fédérale des alcools","Partecipazioni a ricavi, Regìa federale degli alcool","Share in Swiss Alcohol Board revenue","aufwand","fs"
"36014","","Ertraganteil Eidg. Bussen und Taxen","Part des revenus des amendes et taxes fédérales","Partecipazioni a ricavi, multe e tasse federali","Share in revenue from federal fines and duties","aufwand","fs"
"36015","","Ertraganteil Eidg. Mineralölsteuer","Part des revenus de l'impôt fédéral sur les huiles minérales","Partecipazioni a ricavi, imposta federale sugli oli minerali","Share in federal mineral oil tax revenue","aufwand","fs"
"36016","","Ertraganteil Eidg. Stempelabgabe","Part des revenus des droits de timbre fédéraux","Partecipazioni a ricavi, tasse di bollo federali","Share in federal stamp duty revenue","aufwand","fs"
"36017","","Ertraganteil EU-Zinsbesteuerung","Part des revenus de la fiscalité de l'épargne UE","Partecipazioni a ricavi, fiscalità del risparmio UE","Share in EU savings tax revenue","aufwand","fs"
