"arten","funk","d","f","i","e","dim","model"
"","","Gesamteinnahmen","Recettes totales","Entrate totali","Total receipts","einnahmen_funk","fs"
"","0","Allgemeine Verwaltung","Administration générale","Amministrazione generale","General administration","einnahmen_funk","fs"
"","01","Legislative und Exekutive","Législatif et exécutif","Legislativo ed Esecutivo","Executive and legislative organs","einnahmen_funk","fs"
"","02","Allgemeine Dienste","Services généraux","Servizi generali","General services","einnahmen_funk","fs"
"","03","Beziehungen zum Ausland","Relations avec l'étranger","Relazioni con l'estero","International relations","einnahmen_funk","fs"
"","08","F&E in allgemeine Verwaltung","R-D administration générale","R&S materia di amministrazione generale","R&D general services","einnahmen_funk","fs"
"","1","Öffentliche Ordnung und Sicherheit, Verteidigung","Ordre et sécurité publique, défense","Ordine pubblico e sicurezza, difesa","Public order and security, defense","einnahmen_funk","fs"
"","11","Öffentliche Sicherheit","Sécurité publique","Sicurezza pubblica","Public security","einnahmen_funk","fs"
"","12","Rechtssprechung","Justice","Giurisprudenza","Administration of justice","einnahmen_funk","fs"
"","13","Strafvollzug","Exécution des peines","Esecuzione delle pene","Prison system","einnahmen_funk","fs"
"","14","Allgemeines Rechtswesen","Questions juridiques","Diritto generale","General legal issues","einnahmen_funk","fs"
"","15","Feuerwehr","Service du feu","Vigili del fuoco","Fire protection services","einnahmen_funk","fs"
"","16","Verteidigung","Défense","Difesa","Defense","einnahmen_funk","fs"
"","18","F&E in Öffentliche Ordnung und Sicherheit, Verteidigung","R-D ordre et sécurité publique, défense
","R&S in materia di pubblica sicurezza e ordine pubblico, difesa","R&D public order and security, defense","einnahmen_funk","fs"
"","2","Bildung","Formation","Educazione","Education","einnahmen_funk","fs"
"","21","Obligatorische Schule","Ecole obligatoire","Scuola dell'obbligo","Compulsory education","einnahmen_funk","fs"
"","22","Sonderschulen","Ecoles spéciales","Scuole speciali","Special schools","einnahmen_funk","fs"
"","23","Berufliche Grundbildung","Formation professionnelle initiale","Formazione professionale di base","Basic vocational training","einnahmen_funk","fs"
"","25","Allgemeinbildende Schulen","Ecoles de formation générale","Scuole di formazione generale","General education schools","einnahmen_funk","fs"
"","26","Höhere Berufsbildung","Formation professionnelle supérieure","Formazione professionale superiore","Post-secondary vocational education","einnahmen_funk","fs"
"","27","Hochschulen","Hautes écoles","Università","Tertiary-level institutions","einnahmen_funk","fs"
"","28","Forschung","Recherche","Ricerca","Research","einnahmen_funk","fs"
"","29","Übriges Bildungswesen","Autres systèmes éducatifs","Rimanente settore dell'istruzione","Other education","einnahmen_funk","fs"
"","3","Kultur, Sport und Freizeit, Kirche","Culture, sport et loisirs, église","Cultura, sport e ricreazione, religione","Culture, sport and leisure, church","einnahmen_funk","fs"
"","31","Kulturerbe","Héritage culturel","Patrimonio culturale","Cultural heritage","einnahmen_funk","fs"
"","32","Kultur, übrige","Culture, autres","Cultura, altro","Other culture","einnahmen_funk","fs"
"","33","Medien","Médias","Media","Media","einnahmen_funk","fs"
"","34","Sport und Freizeit","Sport et loisirs","Sport e ricreazione","Sporting and recreational services","einnahmen_funk","fs"
"","35","Kirchen und religiöse Angelegenheiten","Eglises et affaires religieuses","Religione e attività religiose","Churches and religious services","einnahmen_funk","fs"
"","38","F&E in Kultur, Sport und Freizeit, Kirche","R-D culture, sport et loisirs, église","R&S in materia di cultura, sport e ricreazione, religione","R&D culture, sport and leisure, church","einnahmen_funk","fs"
"","4","Gesundheit","Santé","Sanità","Health","einnahmen_funk","fs"
"","41","Spitäler, Kranken- und Pflegeheime","Hôpitaux, homes médicalisés","Ospedali e case di cura","Hospital, convalescent and nursing home services","einnahmen_funk","fs"
"","42","Ambulante Krankenpflege","Soins ambulatoires","Cure ambulatoriali","Outpatient care","einnahmen_funk","fs"
"","43","Gesundheitsprävention","Prévention","Prevenzione della salute","Preventive healthcare","einnahmen_funk","fs"
"","48","F&E in Gesundheit","R-D santé","R&S i materia di sanità","R&D health","einnahmen_funk","fs"
"","49","Gesundheitswesen n.a.g.","Santé publique n.c.a.","Sanità n.m.a.","Health n.e.c.","einnahmen_funk","fs"
"","5","Soziale Sicherheit","Sécurité sociale","Sicurezza sociale","Social security","einnahmen_funk","fs"
"","51","Krankheit und Unfall","Maladie et accidents","Malattia e infortunio","Sickness and accident","einnahmen_funk","fs"
"","52","Invalidität","Invalidité","Invalidità","Disability","einnahmen_funk","fs"
"","53","Alter + Hinterlassene","Vieillesse et survivants","Vecchiaia + Superstiti","Old age and survivors","einnahmen_funk","fs"
"","54","Familie und Jugend","Famille et jeunesse","Famiglia e gioventù","Family and young people","einnahmen_funk","fs"
"","55","Arbeitslosigkeit","Chômage","Disoccupazione","Unemployment","einnahmen_funk","fs"
"","56","Sozialer Wohnungsbau","Construction de logements sociaux","Costruzione di abitazioni sociali","Subsidized housing","einnahmen_funk","fs"
"","57","Sozialhilfe und Asylwesen","Aide sociale et domaine de l'asile","Aiuto sociale e settore dell'asilo","Social welfare and asylum affairs","einnahmen_funk","fs"
