"arten","funk","d","f","i","e","dim","model"
"","7","Ertrag","Revenus","Ricavi","Revenue","einnahmen_funk","gfs"
"","701","Allgemeine öffentliche Verwaltung","Services généraux des administrations publiques","Servizi generali delle amministrazioni pubbliche","General public services","einnahmen_funk","gfs"
"","7011","Legislative, Exekutive, Finanz- und Steuerverwaltung, Auswärtige Angelegenheiten","Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","Organi esecutivi e legislativi, amministrazione finanziaria e fiscale, affari esteri","Executive and legislative organs, financial and fiscal affairs, external affairs","einnahmen_funk","gfs"
"","7012","Wirtschaftliche Auslandhilfe","Aide économique extérieure","Aiuto economico a Paesi stranieri","Foreign economic aid","einnahmen_funk","gfs"
"","7013","Allgemeine Dienste","Services généraux","Servizi generali","General services","einnahmen_funk","gfs"
"","7014","Grundlagenforschung","Recherche fondamentale","Ricerca di base","Basic research","einnahmen_funk","gfs"
"","7015","F-E im Bereich der öffentlichen Verwaltung","R-D concernant des services généraux des administrations publiques","R&S in materia di amministrazioni pubbliche","R&D General public services","einnahmen_funk","gfs"
"","7016","Allgemeine öffentliche Verwaltung n.a.g.","Services généraux des administrations publiques n.c.a.","Servizi generali delle amministrazioni pubbliche n.m.a.","General public services n.e.c.","einnahmen_funk","gfs"
"","7017","Schulden- und Zinsendienst","Opérations concernant la dette publique","Servizi in materia di debito e di interessi","Public debt transactions","einnahmen_funk","gfs"
"","7018","Allgemeine Übertragungen an öffentliche Haushalte","Transferts de caractère général entre les administrations publiques","Trasferimenti di carattere generale tra vari livelli delle finanze pubbliche","Transfers of a general nature between different levels of government","einnahmen_funk","gfs"
"","702","Verteidigung","Défense","Difesa nazionale","Defense","einnahmen_funk","gfs"
"","7021","Militärische Verteidigung","Défense militaire","Difesa militare","Military defense","einnahmen_funk","gfs"
"","7022","Zivile Landesverteidigung","Défense civile","Difesa nazionale civile","Civil defense","einnahmen_funk","gfs"
"","7023","Militärische Hilfe im Ausland","Aide militaire à des pays étrangers","Aiuti militari all'estero","Foreign military aid","einnahmen_funk","gfs"
"","7024","F-E im Bereich der Landesverteidigung","R-D concernant la défense","R&S in materia di difesa nazionale","R&D Defense","einnahmen_funk","gfs"
"","7025","Verteidigung n.a.g.","Défense n.c.a.","Difesa nazionale n.m.a.","Defense n.e.c.","einnahmen_funk","gfs"
"","703","Öffentliche Ordnung und Sicherheit","Ordre et sécurité publics","Pubblica sicurezza e ordine pubblico","Public order and safety","einnahmen_funk","gfs"
"","7031","Polizei","Services de police","Servizi di polizia","Police services","einnahmen_funk","gfs"
"","7032","Feuerwehr","Service du feu","Servizi di lotta contro gli incendi","Fire protection services","einnahmen_funk","gfs"
"","7033","Gerichte und Rechtssprechung","Tribunaux","Tribunali","Law courts","einnahmen_funk","gfs"
"","7034","Strafvollzug","Administration pénitentiaire","Stabilimenti carcerari","Prisons","einnahmen_funk","gfs"
"","7035","F-E im Bereich der öffentlichen Ordnung und Sicherheit","R-D concernant l'ordre et la sécurité publics","R&S in materia di pubblica sicurezza e ordine pubblico","R&D Public order and safety","einnahmen_funk","gfs"
"","7036","Öffentliche Ordnung und Sicherheit n.a.g.","Ordre et sécurité publics n.c.a.","Pubblica sicurezza e ordine pubblico n.m.a.","Public order and safety n.e.c.","einnahmen_funk","gfs"
"","704","Wirtschaftliche Angelegenheiten","Affaires économiques","Attività economiche","Economic affairs","einnahmen_funk","gfs"
"","7041","Wirtschaft, Handel und Arbeit","Affaires économiques, commerciales et de l'emploi","Attività economiche e commerciali e questioni del lavoro","General economic, commercial and labor affairs","einnahmen_funk","gfs"
"","7042","Landwirtschaft, Forstwirtschaft, Fischerei und Jagd","Agriculture, sylviculture, pêche et chasse","Agricoltura, silvicoltura, pesca e caccia","Agriculture, forestry, fishing and hunting","einnahmen_funk","gfs"
"","7043","Brennstoffe und Energie","Combustibles et énergie","Combustibili ed energia","Fuel and energy","einnahmen_funk","gfs"
"","7044","Bergbau, Verarbeitendes Gewerbe, Baugewerbe","Industries extractives et manufacturières, construction","Attività estrattive, manifatturiere e di costruzione","Mining, manufacturing and construction","einnahmen_funk","gfs"
"","7045","Verkehr","Transports","Trasporti","Transport","einnahmen_funk","gfs"
"","7046","Kommunikation","Communications","Comunicazione","Communication","einnahmen_funk","gfs"
