"arten","funk","d","f","i","e","dim","model"
"","","Forderungen","Créances","Attività finanziarie","Financial assets","sws_volumen","gfs"
"520","","Forderungen","Créances ","Conti attivi","Domestic & external","sws_volumen","gfs"
"5201","","Währungsgold und Sonderziehungsrechte","Or monétaire et DTS","Oro monetario e diritti speciali di prelievo","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5202","","Bargeld und Einlagen ","Numéraire et dépôts ","Biglietti, monete e depositi","Currency and deposits","sws_volumen","gfs"
"5203","","Schuldtitel","Titres de créance","Titoli di debito","Debt securities","sws_volumen","gfs"
"5204","","Kredite","Crédits ","Prestiti","Loans","sws_volumen","gfs"
"5205","","Anteilsrechte und Anteile an Investmentfonds","Actions et parts de fonds d'investissement","Partecipazioni e quote di fondi di investimento","Equity and investment fund shares","sws_volumen","gfs"
"5206","","Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme","Systèmes d'assurances, d'assurance-vieillesse et de garanties standard ","Assicurazioni, pensioni e garanzie standard","Insurance, pension, and standardized guarantee schemes","sws_volumen","gfs"
"5207","","Finanzderivate und Mitarbeiteraktienoptionen","Produits financiers dérivés et options sur titres des salariés","Strumenti finanziari derivati e stock option conferite ai dipendenti","Financial derivatives and employee stock options","sws_volumen","gfs"
"5208","","Sonstige Forderungen","Autres comptes à recevoir","Altri conti attivi","Other accounts receivable","sws_volumen","gfs"
"52081","","Handelskredite und Anzahlungen","Crédits commerciaux et avances","Crediti commerciali e anticipazioni","Trade credit and advances","sws_volumen","gfs"
"52082","","Sonstige Forderungen, n.a.g.","Autres comptes à recevoir, n.c.a.","Altri conti attivi, n.m.a.","Miscellaneous other accounts receivable","sws_volumen","gfs"
"521","","Forderungen, Inland","Créances, intérieur","Conti attivi, interno","Domestic","sws_volumen","gfs"
"5211","","Währungsgold und Sonderziehungsrechte, Inland","Or monétaire et DTS, intérieur","Oro monetario e diritti speciali di prelievo, interno","Monetary gold and Special Drawing Rights (SDRs)","sws_volumen","gfs"
"5212","","Bargeld und Einlagen, Inland","Numéraire et dépôts, intérieur","Biglietti, monete e depositi, interno","Currency and deposits","sws_volumen","gfs"
"5213","","Schuldtitel, Inland","Titres de créance, intérieur","Titoli di debito, interno","Debt securities","sws_volumen","gfs"
"5214","","Kredite, Inland","Crédits, intérieur","Prestiti, interno","Loans","sws_volumen","gfs"
