"jahr";"nr";"gemeinde";"konto";"funktion";"betrag"
"2018";"112500";"Trimbach";"100";"";"3701674.56"
"2018";"112500";"Trimbach";"101";"";"5634648.90"
"2018";"112500";"Trimbach";"104";"";"98172.30"
"2018";"112500";"Trimbach";"108";"";"5893038.75"
"2018";"112500";"Trimbach";"140";"";"15673615.76"
"2018";"112500";"Trimbach";"142";"";"424164.85"
"2018";"112500";"Trimbach";"144";"";"140000.00"
"2018";"112500";"Trimbach";"145";"";"383201.00"
"2018";"112500";"Trimbach";"146";"";"306499.70"
"2018";"112500";"Trimbach";"200";"";"1963483.28"
"2018";"112500";"Trimbach";"204";"";"656457.80"
"2018";"112500";"Trimbach";"206";"";"18000000.00"
"2018";"112500";"Trimbach";"209";"";"1744805.84"
"2018";"112500";"Trimbach";"290";"";"4530909.86"
"2018";"112500";"Trimbach";"296";"";"1490352.00"
"2018";"112500";"Trimbach";"299";"";"3869007.04"
"2018";"112500";"Trimbach";"300";"01";"182542.60"
"2018";"112500";"Trimbach";"300";"12";"1500.00"
"2018";"112500";"Trimbach";"300";"15";"153459.35"
"2018";"112500";"Trimbach";"300";"81";"1120.00"
"2018";"112500";"Trimbach";"301";"02";"845591.45"
"2018";"112500";"Trimbach";"301";"14";"140734.00"
"2018";"112500";"Trimbach";"301";"15";"30558.00"
"2018";"112500";"Trimbach";"301";"16";"2550.00"
"2018";"112500";"Trimbach";"301";"21";"1070272.30"
"2018";"112500";"Trimbach";"301";"32";"92890.05"
"2018";"112500";"Trimbach";"301";"43";"18656.05"
"2018";"112500";"Trimbach";"301";"54";"145747.30"
"2018";"112500";"Trimbach";"301";"57";"15303.00"
"2018";"112500";"Trimbach";"301";"61";"420513.75"
"2018";"112500";"Trimbach";"301";"72";"72250.00"
"2018";"112500";"Trimbach";"301";"73";"114750.00"
"2018";"112500";"Trimbach";"301";"76";"29750.00"
"2018";"112500";"Trimbach";"301";"77";"4069.00"
"2018";"112500";"Trimbach";"301";"96";"25500.00"
"2018";"112500";"Trimbach";"302";"21";"7306555.10"
"2018";"112500";"Trimbach";"305";"01";"26483.90"
"2018";"112500";"Trimbach";"305";"02";"187933.50"
"2018";"112500";"Trimbach";"305";"14";"24835.00"
"2018";"112500";"Trimbach";"305";"15";"5065.65"
"2018";"112500";"Trimbach";"305";"16";"450.00"
"2018";"112500";"Trimbach";"305";"21";"1858747.25"
"2018";"112500";"Trimbach";"305";"32";"16221.60"
"2018";"112500";"Trimbach";"305";"34";"115.75"
"2018";"112500";"Trimbach";"305";"43";"1785.05"
"2018";"112500";"Trimbach";"305";"54";"28286.50"
"2018";"112500";"Trimbach";"305";"57";"2700.00"
"2018";"112500";"Trimbach";"305";"61";"103995.60"
"2018";"112500";"Trimbach";"305";"72";"12750.00"
"2018";"112500";"Trimbach";"305";"73";"20250.00"
"2018";"112500";"Trimbach";"305";"76";"5250.00"
"2018";"112500";"Trimbach";"305";"77";"393.30"
"2018";"112500";"Trimbach";"305";"96";"4500.00"
"2018";"112500";"Trimbach";"306";"53";"150959.05"
"2018";"112500";"Trimbach";"309";"02";"40035.85"
"2018";"112500";"Trimbach";"309";"15";"48224.15"
"2018";"112500";"Trimbach";"309";"21";"49758.85"
"2018";"112500";"Trimbach";"309";"54";"371.80"
"2018";"112500";"Trimbach";"309";"61";"4678.35"
"2018";"112500";"Trimbach";"310";"01";"2875.80"
"2018";"112500";"Trimbach";"310";"02";"52313.80"
"2018";"112500";"Trimbach";"310";"15";"5625.69"
"2018";"112500";"Trimbach";"310";"21";"318718.13"
"2018";"112500";"Trimbach";"310";"32";"7766.55"
"2018";"112500";"Trimbach";"310";"43";"655.95"
"2018";"112500";"Trimbach";"310";"54";"1058.07"
"2018";"112500";"Trimbach";"310";"61";"60283.20"
"2018";"112500";"Trimbach";"310";"73";"28501.75"
"2018";"112500";"Trimbach";"310";"77";"23338.80"
"2018";"112500";"Trimbach";"310";"84";"20321.30"
"2018";"112500";"Trimbach";"311";"02";"41374.45"
"2018";"112500";"Trimbach";"311";"15";"36438.45"
"2018";"112500";"Trimbach";"311";"21";"95365.60"
"2018";"112500";"Trimbach";"311";"32";"11351.65"
"2018";"112500";"Trimbach";"311";"34";"828.70"
"2018";"112500";"Trimbach";"311";"61";"9212.50"
"2018";"112500";"Trimbach";"311";"77";"86.85"
"2018";"112500";"Trimbach";"311";"84";"520.25"
"2018";"112500";"Trimbach";"312";"02";"11600.65"
"2018";"112500";"Trimbach";"312";"15";"7386.15"
"2018";"112500";"Trimbach";"312";"16";"6352.80"
"2018";"112500";"Trimbach";"312";"21";"167755.05"
"2018";"112500";"Trimbach";"312";"32";"45347.85"
"2018";"112500";"Trimbach";"312";"61";"67251.45"
"2018";"112500";"Trimbach";"312";"77";"3930.80"
"2018";"112500";"Trimbach";"313";"01";"70284.77"
"2018";"112500";"Trimbach";"313";"02";"238914.72"
"2018";"112500";"Trimbach";"313";"11";"6624.40"
"2018";"112500";"Trimbach";"313";"15";"29028.58"
"2018";"112500";"Trimbach";"313";"16";"1352.50"
"2018";"112500";"Trimbach";"313";"21";"153387.05"
"2018";"112500";"Trimbach";"313";"32";"9403.20"
"2018";"112500";"Trimbach";"313";"34";"139992.00"
"2018";"112500";"Trimbach";"313";"43";"15181.75"
"2018";"112500";"Trimbach";"313";"54";"1500.00"
"2018";"112500";"Trimbach";"313";"61";"294026.25"
"2018";"112500";"Trimbach";"313";"72";"556835.85"
"2018";"112500";"Trimbach";"313";"73";"451801.60"
"2018";"112500";"Trimbach";"313";"76";"2200.00"
"2018";"112500";"Trimbach";"313";"84";"1313.15"
"2018";"112500";"Trimbach";"313";"96";"140.00"
"2018";"112500";"Trimbach";"314";"02";"30963.21"
"2018";"112500";"Trimbach";"314";"15";"4767.34"
"2018";"112500";"Trimbach";"314";"16";"485.15"
"2018";"112500";"Trimbach";"314";"21";"272042.44"
"2018";"112500";"Trimbach";"314";"32";"44801.60"
"2018";"112500";"Trimbach";"314";"34";"54867.45"
"2018";"112500";"Trimbach";"314";"61";"124135.84"
"2018";"112500";"Trimbach";"314";"62";"6444.40"
"2018";"112500";"Trimbach";"314";"71";"10974.60"
"2018";"112500";"Trimbach";"314";"72";"34619.05"
"2018";"112500";"Trimbach";"314";"73";"52.45"
"2018";"112500";"Trimbach";"314";"74";"11597.90"
"2018";"112500";"Trimbach";"314";"77";"3525.99"
"2018";"112500";"Trimbach";"315";"02";"84441.79"
"2018";"112500";"Trimbach";"315";"15";"27972.70"
"2018";"112500";"Trimbach";"315";"21";"57800.00"
"2018";"112500";"Trimbach";"315";"32";"5488.00"
"2018";"112500";"Trimbach";"315";"54";"1540.40"
"2018";"112500";"Trimbach";"315";"61";"43948.42"
