"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","23899790216.61","bilanz","bund","CHF","fs"
"101","","2019","7128869171.76","bilanz","bund","CHF","fs"
"102","","2019","1485324420.5","bilanz","bund","CHF","fs"
"104","","2019","3602040863.53","bilanz","bund","CHF","fs"
"106","","2019","600593.97","bilanz","bund","CHF","fs"
"107","","2019","4522222919.98","bilanz","bund","CHF","fs"
"108","","2019","269912497","bilanz","bund","CHF","fs"
"109","","2019","","bilanz","bund","CHF","fs"
"140","","2019","66380853853.09","bilanz","bund","CHF","fs"
"141","","2019","3770165322.41","bilanz","bund","CHF","fs"
"142","","2019","270473443.25","bilanz","bund","CHF","fs"
"143","","2019","","bilanz","bund","CHF","fs"
"144","","2019","5136953761.40001","bilanz","bund","CHF","fs"
"145","","2019","62933197604.45","bilanz","bund","CHF","fs"
"146","","2019","","bilanz","bund","CHF","fs"
"147","","2019","101835211.85","bilanz","bund","CHF","fs"
"148","","2019","-7213007061","bilanz","bund","CHF","fs"
"200","","2019","18983599513.84","bilanz","bund","CHF","fs"
"201","","2019","9067008725.93","bilanz","bund","CHF","fs"
"204","","2019","9118959160.17","bilanz","bund","CHF","fs"
"205","","2019","748470725.36","bilanz","bund","CHF","fs"
"206","","2019","66567531353.49","bilanz","bund","CHF","fs"
"207","","2019","1677446228.72","bilanz","bund","CHF","fs"
"208","","2019","37127862733.29","bilanz","bund","CHF","fs"
"209","","2019","6742341849.64","bilanz","bund","CHF","fs"
"290","","2019","6703467741.57","bilanz","bund","CHF","fs"
"292","","2019","5032634043.97","bilanz","bund","CHF","fs"
"293","","2019","","bilanz","bund","CHF","fs"
"294","","2019","","bilanz","bund","CHF","fs"
"295","","2019","","bilanz","bund","CHF","fs"
"296","","2019","-7574410376.08","bilanz","bund","CHF","fs"
"298","","2019","482887354.56","bilanz","bund","CHF","fs"
"299","","2019","17611433764.34","bilanz","bund","CHF","fs"
"empty","","2019","","er","bund","CHF","fs"
"empty","","2019","","er","bund","CHF","fs"
"empty","","2019","","er","bund","CHF","fs"
"empty","","2019","","er","bund","CHF","fs"
"300","","2019","79530080.52","aufwand","bund","CHF","fs"
"301","","2019","6551471611.39","aufwand","bund","CHF","fs"
"302","","2019","","aufwand","bund","CHF","fs"
"303","","2019","64999764.76","aufwand","bund","CHF","fs"
"304","","2019","","aufwand","bund","CHF","fs"
"305","","2019","1529750245.44","aufwand","bund","CHF","fs"
