"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","28213093828.81","bilanz","bund_ktn_gdn","CHF","fs"
"101","","2015","38251533251.48","bilanz","bund_ktn_gdn","CHF","fs"
"102","","2015","4457408021.21","bilanz","bund_ktn_gdn","CHF","fs"
"104","","2015","12730370297.9","bilanz","bund_ktn_gdn","CHF","fs"
"106","","2015","367026805.88","bilanz","bund_ktn_gdn","CHF","fs"
"107","","2015","14100451302.28","bilanz","bund_ktn_gdn","CHF","fs"
"108","","2015","24087699815.61","bilanz","bund_ktn_gdn","CHF","fs"
"109","","2015","935272927.71","bilanz","bund_ktn_gdn","CHF","fs"
"140","","2015","141736574475.17","bilanz","bund_ktn_gdn","CHF","fs"
"141","","2015","222976369.31","bilanz","bund_ktn_gdn","CHF","fs"
"142","","2015","812844220.22","bilanz","bund_ktn_gdn","CHF","fs"
"143","","2015","4825276956.36","bilanz","bund_ktn_gdn","CHF","fs"
"144","","2015","8138839806.7","bilanz","bund_ktn_gdn","CHF","fs"
"145","","2015","32633351726.34","bilanz","bund_ktn_gdn","CHF","fs"
"146","","2015","8265342941.72","bilanz","bund_ktn_gdn","CHF","fs"
"147","","2015","2630019332.81","bilanz","bund_ktn_gdn","CHF","fs"
"148","","2015","-3469270918.39","bilanz","bund_ktn_gdn","CHF","fs"
"200","","2015","39016656987.55","bilanz","bund_ktn_gdn","CHF","fs"
"201","","2015","20163232876.96","bilanz","bund_ktn_gdn","CHF","fs"
"204","","2015","21132006569.89","bilanz","bund_ktn_gdn","CHF","fs"
"205","","2015","1931596748.01","bilanz","bund_ktn_gdn","CHF","fs"
"206","","2015","158309465236.17","bilanz","bund_ktn_gdn","CHF","fs"
"207","","2015","1258189460.82","bilanz","bund_ktn_gdn","CHF","fs"
"208","","2015","25548253683.13","bilanz","bund_ktn_gdn","CHF","fs"
"209","","2015","18911307301.62","bilanz","bund_ktn_gdn","CHF","fs"
"290","","2015","15255219538.78","bilanz","bund_ktn_gdn","CHF","fs"
"292","","2015","406186705.28","bilanz","bund_ktn_gdn","CHF","fs"
