"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","11541688257.91","bilanz","gdn","CHF","fs"
"101","","2019","12308121491.18","bilanz","gdn","CHF","fs"
"102","","2019","514686522.43","bilanz","gdn","CHF","fs"
"104","","2019","3825235169.77","bilanz","gdn","CHF","fs"
"106","","2019","190632427.15","bilanz","gdn","CHF","fs"
"107","","2019","4604329342.48","bilanz","gdn","CHF","fs"
"108","","2019","25282748877.81","bilanz","gdn","CHF","fs"
"109","","2019","164812144.15","bilanz","gdn","CHF","fs"
"140","","2019","58060811730.68","bilanz","gdn","CHF","fs"
"141","","2019","12339709.77","bilanz","gdn","CHF","fs"
"142","","2019","493360318.75","bilanz","gdn","CHF","fs"
"143","","2019","1054916798.09","bilanz","gdn","CHF","fs"
"144","","2019","966695289.92","bilanz","gdn","CHF","fs"
"145","","2019","3777307790.49","bilanz","gdn","CHF","fs"
"146","","2019","2656485692.13","bilanz","gdn","CHF","fs"
"147","","2019","","bilanz","gdn","CHF","fs"
"148","","2019","-188590279.68","bilanz","gdn","CHF","fs"
"200","","2019","11143665494.1","bilanz","gdn","CHF","fs"
"201","","2019","6094683678.85","bilanz","gdn","CHF","fs"
"204","","2019","2151174283.69","bilanz","gdn","CHF","fs"
"205","","2019","1113886875.48","bilanz","gdn","CHF","fs"
"206","","2019","37910688174.13","bilanz","gdn","CHF","fs"
"207","","2019","","bilanz","gdn","CHF","fs"
"208","","2019","2452987749.44","bilanz","gdn","CHF","fs"
"209","","2019","3079883146.91","bilanz","gdn","CHF","fs"
"290","","2019","13703382261.35","bilanz","gdn","CHF","fs"
"292","","2019","34100351.67","bilanz","gdn","CHF","fs"
"293","","2019","4870359510.05","bilanz","gdn","CHF","fs"
"294","","2019","1686856229.09","bilanz","gdn","CHF","fs"
"295","","2019","6181743995.39","bilanz","gdn","CHF","fs"
"296","","2019","1929807589.9","bilanz","gdn","CHF","fs"
"298","","2019","91429437","bilanz","gdn","CHF","fs"
"299","","2019","32820932505.98","bilanz","gdn","CHF","fs"
"empty","","2019","","er","gdn","CHF","fs"
"empty","","2019","","er","gdn","CHF","fs"
"empty","","2019","","er","gdn","CHF","fs"
"empty","","2019","","er","gdn","CHF","fs"
"300","","2019","428846964.17","aufwand","gdn","CHF","fs"
"301","","2019","8631444925.94","aufwand","gdn","CHF","fs"
"302","","2019","3360585091.89","aufwand","gdn","CHF","fs"
"303","","2019","31234180.75","aufwand","gdn","CHF","fs"
"304","","2019","99890419.09","aufwand","gdn","CHF","fs"
"305","","2019","2409004536.84","aufwand","gdn","CHF","fs"
"306","","2019","48171503.64","aufwand","gdn","CHF","fs"
"309","","2019","202142289.87","aufwand","gdn","CHF","fs"
"310","","2019","1155183395.21","aufwand","gdn","CHF","fs"
"311","","2019","467948738.34","aufwand","gdn","CHF","fs"
"312","","2019","904878262.15","aufwand","gdn","CHF","fs"
"313","","2019","3940054867.68","aufwand","gdn","CHF","fs"
"314","","2019","1888900637.93","aufwand","gdn","CHF","fs"
"315","","2019","454849912.83","aufwand","gdn","CHF","fs"
"316","","2019","559172348.66","aufwand","gdn","CHF","fs"
"317","","2019","254302529.7","aufwand","gdn","CHF","fs"
"318","","2019","315805661.82","aufwand","gdn","CHF","fs"
"319","","2019","192018463.76","aufwand","gdn","CHF","fs"
"320","","2019","","aufwand","gdn","CHF","fs"
"331","","2019","","aufwand","gdn","CHF","fs"
"337","","2019","3906541633.72","aufwand","gdn","CHF","fs"
"338","","2019","328365086.21","aufwand","gdn","CHF","fs"
"340","","2019","533054027.61","aufwand","gdn","CHF","fs"
"341","","2019","17494285.72","aufwand","gdn","CHF","fs"
"342","","2019","1393024.5","aufwand","gdn","CHF","fs"
"343","","2019","275841042.93","aufwand","gdn","CHF","fs"
"344","","2019","107271761.38","aufwand","gdn","CHF","fs"
"349","","2019","42474610.49","aufwand","gdn","CHF","fs"
"350","","2019","69664179.21","aufwand","gdn","CHF","fs"
"351","","2019","608407236.69","aufwand","gdn","CHF","fs"
"352","","2019","352915794.19","aufwand","gdn","CHF","fs"
"3600","","2019","","aufwand","gdn","CHF","fs"
"36010","","2019","","aufwand","gdn","CHF","fs"
"36011","","2019","","aufwand","gdn","CHF","fs"
"36012","","2019","","aufwand","gdn","CHF","fs"
"36013","","2019","","aufwand","gdn","CHF","fs"
"36014","","2019","","aufwand","gdn","CHF","fs"
"36015","","2019","","aufwand","gdn","CHF","fs"
"36016","","2019","","aufwand","gdn","CHF","fs"
"36017","","2019","","aufwand","gdn","CHF","fs"
"36018","","2019","","aufwand","gdn","CHF","fs"
"36019","","2019","","aufwand","gdn","CHF","fs"
"36021","","2019","","aufwand","gdn","CHF","fs"
"36022","","2019","","aufwand","gdn","CHF","fs"
"36023","","2019","","aufwand","gdn","CHF","fs"
"36029","","2019","","aufwand","gdn","CHF","fs"
"3603","","2019","","aufwand","gdn","CHF","fs"
"3604","","2019","","aufwand","gdn","CHF","fs"
"3610","","2019","","aufwand","gdn","CHF","fs"
"3611","","2019","3583639486.56","aufwand","gdn","CHF","fs"
"3612","","2019","","aufwand","gdn","CHF","fs"
"3613","","2019","","aufwand","gdn","CHF","fs"
"3614","","2019","65728926.57","aufwand","gdn","CHF","fs"
"3620","","2019","","aufwand","gdn","CHF","fs"
"36211","","2019","","aufwand","gdn","CHF","fs"
"36212","","2019","","aufwand","gdn","CHF","fs"
"36213","","2019","","aufwand","gdn","CHF","fs"
"36214","","2019","","aufwand","gdn","CHF","fs"
"36215","","2019","166714538.16","aufwand","gdn","CHF","fs"
"36216","","2019","226515798","aufwand","gdn","CHF","fs"
"36217","","2019","","aufwand","gdn","CHF","fs"
"36219","","2019","","aufwand","gdn","CHF","fs"
"36221","","2019","","aufwand","gdn","CHF","fs"
"36222","","2019","","aufwand","gdn","CHF","fs"
"36223","","2019","","aufwand","gdn","CHF","fs"
"36224","","2019","","aufwand","gdn","CHF","fs"
"36225","","2019","","aufwand","gdn","CHF","fs"
"36226","","2019","","aufwand","gdn","CHF","fs"
"36227","","2019","","aufwand","gdn","CHF","fs"
"36228","","2019","","aufwand","gdn","CHF","fs"
"3624","","2019","","aufwand","gdn","CHF","fs"
"3629","","2019","1550300","aufwand","gdn","CHF","fs"
"3630","","2019","77743","aufwand","gdn","CHF","fs"
"3631","","2019","2746465887.69","aufwand","gdn","CHF","fs"
"3632","","2019","","aufwand","gdn","CHF","fs"
"3633","","2019","","aufwand","gdn","CHF","fs"
"3634","","2019","1382277797.91","aufwand","gdn","CHF","fs"
"3635","","2019","314023118.9","aufwand","gdn","CHF","fs"
"3636","","2019","2748393615.63","aufwand","gdn","CHF","fs"
"3637","","2019","4436565650.34","aufwand","gdn","CHF","fs"
"3638","","2019","101034607.06","aufwand","gdn","CHF","fs"
"3639","","2019","7494981.74","aufwand","gdn","CHF","fs"
"364","","2019","4766300.5","aufwand","gdn","CHF","fs"
"365","","2019","5835611.36","aufwand","gdn","CHF","fs"
"366","","2019","118897668.93","aufwand","gdn","CHF","fs"
"369","","2019","1147405.26","aufwand","gdn","CHF","fs"
"380","","2019","-63775719.79","aufwand","gdn","CHF","fs"
"381","","2019","8119091.65","aufwand","gdn","CHF","fs"
"383","","2019","84732153.69","aufwand","gdn","CHF","fs"
"384","","2019","17790996.28","aufwand","gdn","CHF","fs"
"3860","","2019","","aufwand","gdn","CHF","fs"
"3861","","2019","","aufwand","gdn","CHF","fs"
"3862","","2019","","aufwand","gdn","CHF","fs"
"3863","","2019","","aufwand","gdn","CHF","fs"
"3864","","2019","1602.35","aufwand","gdn","CHF","fs"
"3865","","2019","","aufwand","gdn","CHF","fs"
"3866","","2019","","aufwand","gdn","CHF","fs"
"3867","","2019","","aufwand","gdn","CHF","fs"
"3868","","2019","","aufwand","gdn","CHF","fs"
"387","","2019","4094149.51","aufwand","gdn","CHF","fs"
"389","","2019","676123311.98","aufwand","gdn","CHF","fs"
"4000","","2019","18953579409","ertrag","gdn","CHF","fs"
"4001","","2019","3111812040.73","ertrag","gdn","CHF","fs"
"4002","","2019","1037509867.53","ertrag","gdn","CHF","fs"
"4008","","2019","45162279.05","ertrag","gdn","CHF","fs"
"4009","","2019","107667596.34","ertrag","gdn","CHF","fs"
"4010","","2019","3626209588.29","ertrag","gdn","CHF","fs"
"4011","","2019","671171108.3","ertrag","gdn","CHF","fs"
"4012","","2019","","ertrag","gdn","CHF","fs"
"4019","","2019","208995912.68","ertrag","gdn","CHF","fs"
"4020","","2019","","ertrag","gdn","CHF","fs"
"4021","","2019","894950301.55","ertrag","gdn","CHF","fs"
"4022","","2019","1240147595.69","ertrag","gdn","CHF","fs"
"4023","","2019","299941508.7","ertrag","gdn","CHF","fs"
"4024","","2019","168902996.71","ertrag","gdn","CHF","fs"
"4025","","2019","329000","ertrag","gdn","CHF","fs"
"4030","","2019","","ertrag","gdn","CHF","fs"
"4031","","2019","","ertrag","gdn","CHF","fs"
"4032","","2019","14814011.63","ertrag","gdn","CHF","fs"
"4033","","2019","42773823.74","ertrag","gdn","CHF","fs"
"4039","","2019","82989080.63","ertrag","gdn","CHF","fs"
"4040","","2019","","ertrag","gdn","CHF","fs"
"4041","","2019","","ertrag","gdn","CHF","fs"
"4042","","2019","","ertrag","gdn","CHF","fs"
"4043","","2019","","ertrag","gdn","CHF","fs"
"4044","","2019","","ertrag","gdn","CHF","fs"
"4045","","2019","","ertrag","gdn","CHF","fs"
"4046","","2019","","ertrag","gdn","CHF","fs"
"4047","","2019","","ertrag","gdn","CHF","fs"
"4049","","2019","","ertrag","gdn","CHF","fs"
"4050","","2019","","ertrag","gdn","CHF","fs"
"4051","","2019","","ertrag","gdn","CHF","fs"
"4052","","2019","","ertrag","gdn","CHF","fs"
"4053","","2019","","ertrag","gdn","CHF","fs"
"4059","","2019","","ertrag","gdn","CHF","fs"
"4060","","2019","","ertrag","gdn","CHF","fs"
"4070","","2019","","ertrag","gdn","CHF","fs"
"4071","","2019","","ertrag","gdn","CHF","fs"
"4072","","2019","","ertrag","gdn","CHF","fs"
"4079","","2019","3466606.5","ertrag","gdn","CHF","fs"
"410","","2019","1805465.67","ertrag","gdn","CHF","fs"
"411","","2019","","ertrag","gdn","CHF","fs"
"412","","2019","415088234.89","ertrag","gdn","CHF","fs"
"413","","2019","","ertrag","gdn","CHF","fs"
"420","","2019","238082854.75","ertrag","gdn","CHF","fs"
"421","","2019","609888467.48","ertrag","gdn","CHF","fs"
"422","","2019","13947113.15","ertrag","gdn","CHF","fs"
"423","","2019","133116888.52","ertrag","gdn","CHF","fs"
"424","","2019","3808626531.84","ertrag","gdn","CHF","fs"
"425","","2019","611036316.03","ertrag","gdn","CHF","fs"
"426","","2019","2633155716.42","ertrag","gdn","CHF","fs"
"427","","2019","261340902.83","ertrag","gdn","CHF","fs"
"429","","2019","37595556.24","ertrag","gdn","CHF","fs"
"430","","2019","21841876.52","ertrag","gdn","CHF","fs"
"431","","2019","121037218.99","ertrag","gdn","CHF","fs"
"432","","2019","594676.63","ertrag","gdn","CHF","fs"
"439","","2019","95631629.42","ertrag","gdn","CHF","fs"
"440","","2019","261913971.46","ertrag","gdn","CHF","fs"
"441","","2019","159827383.99","ertrag","gdn","CHF","fs"
"442","","2019","45823386.82","ertrag","gdn","CHF","fs"
"443","","2019","885102552.72","ertrag","gdn","CHF","fs"
"444","","2019","266218177.51","ertrag","gdn","CHF","fs"
"445","","2019","80675230.08","ertrag","gdn","CHF","fs"
"446","","2019","499856606.04","ertrag","gdn","CHF","fs"
"447","","2019","1035484960.25","ertrag","gdn","CHF","fs"
"448","","2019","36503555.61","ertrag","gdn","CHF","fs"
"449","","2019","3922204.46","ertrag","gdn","CHF","fs"
"450","","2019","52912618.74","ertrag","gdn","CHF","fs"
"451","","2019","260316696.94","ertrag","gdn","CHF","fs"
"452","","2019","244535135.5","ertrag","gdn","CHF","fs"
"46000","","2019","","ertrag","gdn","CHF","fs"
"46001","","2019","","ertrag","gdn","CHF","fs"
"46002","","2019","","ertrag","gdn","CHF","fs"
"46003","","2019","","ertrag","gdn","CHF","fs"
"46004","","2019","","ertrag","gdn","CHF","fs"
"46005","","2019","","ertrag","gdn","CHF","fs"
"46006","","2019","","ertrag","gdn","CHF","fs"
"46007","","2019","","ertrag","gdn","CHF","fs"
"46008","","2019","","ertrag","gdn","CHF","fs"
"46009","","2019","","ertrag","gdn","CHF","fs"
"46010","","2019","803740736.76","ertrag","gdn","CHF","fs"
"46011","","2019","497818.95","ertrag","gdn","CHF","fs"
"46012","","2019","6098260.26","ertrag","gdn","CHF","fs"
