"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","1074601363.33","bilanz","gdn_ag","CHF","fs"
"101","","2022","874247052.44","bilanz","gdn_ag","CHF","fs"
"102","","2022","126989550.74","bilanz","gdn_ag","CHF","fs"
"104","","2022","145151198.28","bilanz","gdn_ag","CHF","fs"
"106","","2022","3535832.46","bilanz","gdn_ag","CHF","fs"
"107","","2022","461825725.09","bilanz","gdn_ag","CHF","fs"
"108","","2022","1310859757.37","bilanz","gdn_ag","CHF","fs"
"109","","2022","","bilanz","gdn_ag","CHF","fs"
"140","","2022","8872984069.17","bilanz","gdn_ag","CHF","fs"
"141","","2022","","bilanz","gdn_ag","CHF","fs"
"142","","2022","95211549.3","bilanz","gdn_ag","CHF","fs"
"143","","2022","","bilanz","gdn_ag","CHF","fs"
"144","","2022","137563650.39","bilanz","gdn_ag","CHF","fs"
"145","","2022","340396123.47","bilanz","gdn_ag","CHF","fs"
"146","","2022","904429934.2","bilanz","gdn_ag","CHF","fs"
"147","","2022","","bilanz","gdn_ag","CHF","fs"
"148","","2022","","bilanz","gdn_ag","CHF","fs"
"200","","2022","1052524722.81","bilanz","gdn_ag","CHF","fs"
"201","","2022","317012646.61","bilanz","gdn_ag","CHF","fs"
"204","","2022","191387506.83","bilanz","gdn_ag","CHF","fs"
"205","","2022","15823758.09","bilanz","gdn_ag","CHF","fs"
"206","","2022","1910490825.16","bilanz","gdn_ag","CHF","fs"
"207","","2022","","bilanz","gdn_ag","CHF","fs"
"208","","2022","48502708.9","bilanz","gdn_ag","CHF","fs"
"209","","2022","98789423.25","bilanz","gdn_ag","CHF","fs"
"290","","2022","2550127235.53","bilanz","gdn_ag","CHF","fs"
"292","","2022","12200724.24","bilanz","gdn_ag","CHF","fs"
"293","","2022","50603177.97","bilanz","gdn_ag","CHF","fs"
"294","","2022","","bilanz","gdn_ag","CHF","fs"
"295","","2022","3511392081.27","bilanz","gdn_ag","CHF","fs"
"296","","2022","7878993.21","bilanz","gdn_ag","CHF","fs"
"298","","2022","","bilanz","gdn_ag","CHF","fs"
"299","","2022","4581062002.38","bilanz","gdn_ag","CHF","fs"
"empty","","2022","","er","gdn_ag","CHF","fs"
"empty","","2022","","er","gdn_ag","CHF","fs"
"empty","","2022","","er","gdn_ag","CHF","fs"
"empty","","2022","","er","gdn_ag","CHF","fs"
"300","","2022","32425043.58","aufwand","gdn_ag","CHF","fs"
"301","","2022","532142251.43","aufwand","gdn_ag","CHF","fs"
"302","","2022","79508456.92","aufwand","gdn_ag","CHF","fs"
"303","","2022","1192325.95","aufwand","gdn_ag","CHF","fs"
