"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","43813211.09","bilanz","gdn_ar","CHF","fs"
"101","","2015","47044646.75","bilanz","gdn_ar","CHF","fs"
"102","","2015","173000","bilanz","gdn_ar","CHF","fs"
"104","","2015","8014466.94","bilanz","gdn_ar","CHF","fs"
"106","","2015","457518.25","bilanz","gdn_ar","CHF","fs"
"107","","2015","17007504","bilanz","gdn_ar","CHF","fs"
"108","","2015","70618592.2","bilanz","gdn_ar","CHF","fs"
"109","","2015","","bilanz","gdn_ar","CHF","fs"
"140","","2015","242382222.7","bilanz","gdn_ar","CHF","fs"
"141","","2015","","bilanz","gdn_ar","CHF","fs"
"142","","2015","963007.07","bilanz","gdn_ar","CHF","fs"
"143","","2015","","bilanz","gdn_ar","CHF","fs"
"144","","2015","140565.7","bilanz","gdn_ar","CHF","fs"
"145","","2015","3548656","bilanz","gdn_ar","CHF","fs"
"146","","2015","17751856.6","bilanz","gdn_ar","CHF","fs"
"147","","2015","","bilanz","gdn_ar","CHF","fs"
"148","","2015","-15263616.93","bilanz","gdn_ar","CHF","fs"
"200","","2015","52318046.62","bilanz","gdn_ar","CHF","fs"
"201","","2015","23185255.3","bilanz","gdn_ar","CHF","fs"
"204","","2015","8113845.79","bilanz","gdn_ar","CHF","fs"
"205","","2015","1075994.53","bilanz","gdn_ar","CHF","fs"
"206","","2015","163530053.15","bilanz","gdn_ar","CHF","fs"
"207","","2015","","bilanz","gdn_ar","CHF","fs"
"208","","2015","5690803.21","bilanz","gdn_ar","CHF","fs"
"209","","2015","9519954.79","bilanz","gdn_ar","CHF","fs"
"290","","2015","58891914.74","bilanz","gdn_ar","CHF","fs"
"292","","2015","143634.65","bilanz","gdn_ar","CHF","fs"
"293","","2015","840731.2","bilanz","gdn_ar","CHF","fs"
"294","","2015","","bilanz","gdn_ar","CHF","fs"
"295","","2015","7397674.54","bilanz","gdn_ar","CHF","fs"
"296","","2015","29940646.99","bilanz","gdn_ar","CHF","fs"
"298","","2015","","bilanz","gdn_ar","CHF","fs"
"299","","2015","76003074.86","bilanz","gdn_ar","CHF","fs"
"empty","","2015","","er","gdn_ar","CHF","fs"
"empty","","2015","","er","gdn_ar","CHF","fs"
"empty","","2015","","er","gdn_ar","CHF","fs"
"empty","","2015","","er","gdn_ar","CHF","fs"
"300","","2015","3688695.79","aufwand","gdn_ar","CHF","fs"
"301","","2015","44179308.06","aufwand","gdn_ar","CHF","fs"
"302","","2015","52326093.28","aufwand","gdn_ar","CHF","fs"
"303","","2015","41568.45","aufwand","gdn_ar","CHF","fs"
"304","","2015","33061.3","aufwand","gdn_ar","CHF","fs"
"305","","2015","16824230.86","aufwand","gdn_ar","CHF","fs"
"306","","2015","14677.5","aufwand","gdn_ar","CHF","fs"
"309","","2015","1403187.53","aufwand","gdn_ar","CHF","fs"
"310","","2015","8371636.17","aufwand","gdn_ar","CHF","fs"
"311","","2015","3132980.81","aufwand","gdn_ar","CHF","fs"
"312","","2015","4881068.69","aufwand","gdn_ar","CHF","fs"
"313","","2015","27380106.4","aufwand","gdn_ar","CHF","fs"
"314","","2015","16047213.28","aufwand","gdn_ar","CHF","fs"
"315","","2015","2892520.23","aufwand","gdn_ar","CHF","fs"
"316","","2015","1767107.26","aufwand","gdn_ar","CHF","fs"
"317","","2015","1623738.46","aufwand","gdn_ar","CHF","fs"
"318","","2015","707618.35","aufwand","gdn_ar","CHF","fs"
"319","","2015","1723035.32","aufwand","gdn_ar","CHF","fs"
"320","","2015","","aufwand","gdn_ar","CHF","fs"
"331","","2015","","aufwand","gdn_ar","CHF","fs"
"337","","2015","14658831.85","aufwand","gdn_ar","CHF","fs"
"338","","2015","","aufwand","gdn_ar","CHF","fs"
"340","","2015","2554729.04","aufwand","gdn_ar","CHF","fs"
"341","","2015","","aufwand","gdn_ar","CHF","fs"
"342","","2015","","aufwand","gdn_ar","CHF","fs"
"343","","2015","1123185.59","aufwand","gdn_ar","CHF","fs"
"344","","2015","22119.82","aufwand","gdn_ar","CHF","fs"
"349","","2015","-39.3","aufwand","gdn_ar","CHF","fs"
"350","","2015","13395.7","aufwand","gdn_ar","CHF","fs"
"351","","2015","5132791.31","aufwand","gdn_ar","CHF","fs"
"352","","2015","","aufwand","gdn_ar","CHF","fs"
"3600","","2015","","aufwand","gdn_ar","CHF","fs"
"36010","","2015","","aufwand","gdn_ar","CHF","fs"
"36011","","2015","","aufwand","gdn_ar","CHF","fs"
"36012","","2015","","aufwand","gdn_ar","CHF","fs"
"36013","","2015","","aufwand","gdn_ar","CHF","fs"
"36014","","2015","","aufwand","gdn_ar","CHF","fs"
"36015","","2015","","aufwand","gdn_ar","CHF","fs"
"36016","","2015","","aufwand","gdn_ar","CHF","fs"
