"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","1199040795.57","bilanz","gdn_be","CHF","fs"
"101","","2019","1653218351.89","bilanz","gdn_be","CHF","fs"
"102","","2019","54393521.64","bilanz","gdn_be","CHF","fs"
"104","","2019","140173577.88","bilanz","gdn_be","CHF","fs"
"106","","2019","11710518.09","bilanz","gdn_be","CHF","fs"
"107","","2019","1277543467.78","bilanz","gdn_be","CHF","fs"
"108","","2019","3579183042.73","bilanz","gdn_be","CHF","fs"
"109","","2019","1796927.85","bilanz","gdn_be","CHF","fs"
"140","","2019","3825959244.76","bilanz","gdn_be","CHF","fs"
"141","","2019","","bilanz","gdn_be","CHF","fs"
"142","","2019","112303633.26","bilanz","gdn_be","CHF","fs"
"143","","2019","","bilanz","gdn_be","CHF","fs"
"144","","2019","218782551.52","bilanz","gdn_be","CHF","fs"
"145","","2019","687399522.29","bilanz","gdn_be","CHF","fs"
"146","","2019","74120301.15","bilanz","gdn_be","CHF","fs"
"147","","2019","","bilanz","gdn_be","CHF","fs"
"148","","2019","","bilanz","gdn_be","CHF","fs"
"200","","2019","622408667.2","bilanz","gdn_be","CHF","fs"
"201","","2019","677561735.48","bilanz","gdn_be","CHF","fs"
"204","","2019","214854924.4","bilanz","gdn_be","CHF","fs"
"205","","2019","74579988.1","bilanz","gdn_be","CHF","fs"
"206","","2019","4987114558.3","bilanz","gdn_be","CHF","fs"
"207","","2019","","bilanz","gdn_be","CHF","fs"
"208","","2019","176056346.6","bilanz","gdn_be","CHF","fs"
"209","","2019","246737312.14","bilanz","gdn_be","CHF","fs"
"290","","2019","1113992801.04","bilanz","gdn_be","CHF","fs"
"292","","2019","6007611.03","bilanz","gdn_be","CHF","fs"
"293","","2019","1969451465.88","bilanz","gdn_be","CHF","fs"
"294","","2019","242363153.54","bilanz","gdn_be","CHF","fs"
"295","","2019","","bilanz","gdn_be","CHF","fs"
"296","","2019","889117038.64","bilanz","gdn_be","CHF","fs"
"298","","2019","8399204.9","bilanz","gdn_be","CHF","fs"
"299","","2019","1606980649.16","bilanz","gdn_be","CHF","fs"
"empty","","2019","","er","gdn_be","CHF","fs"
"empty","","2019","","er","gdn_be","CHF","fs"
"empty","","2019","","er","gdn_be","CHF","fs"
"empty","","2019","","er","gdn_be","CHF","fs"
"300","","2019","39649955.28","aufwand","gdn_be","CHF","fs"
"301","","2019","956856625.8","aufwand","gdn_be","CHF","fs"
"302","","2019","5991522.52","aufwand","gdn_be","CHF","fs"
"303","","2019","3058343.39","aufwand","gdn_be","CHF","fs"
"304","","2019","10157457.79","aufwand","gdn_be","CHF","fs"
"305","","2019","186696563.36","aufwand","gdn_be","CHF","fs"
"306","","2019","2588065.9","aufwand","gdn_be","CHF","fs"
"309","","2019","19302756.92","aufwand","gdn_be","CHF","fs"
"310","","2019","155719153.2","aufwand","gdn_be","CHF","fs"
"311","","2019","56823897.13","aufwand","gdn_be","CHF","fs"
"312","","2019","122496037.33","aufwand","gdn_be","CHF","fs"
