"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","411335250.18","bilanz","gdn_fr","CHF","fs"
"101","","2019","52284584.58","bilanz","gdn_fr","CHF","fs"
"102","","2019","47104.5","bilanz","gdn_fr","CHF","fs"
"104","","2019","409939124.7","bilanz","gdn_fr","CHF","fs"
"106","","2019","","bilanz","gdn_fr","CHF","fs"
"107","","2019","174229600.64","bilanz","gdn_fr","CHF","fs"
"108","","2019","168803632.44","bilanz","gdn_fr","CHF","fs"
"109","","2019","","bilanz","gdn_fr","CHF","fs"
"140","","2019","1782756039.99","bilanz","gdn_fr","CHF","fs"
"141","","2019","369434.4","bilanz","gdn_fr","CHF","fs"
"142","","2019","5578989.45","bilanz","gdn_fr","CHF","fs"
"143","","2019","125677997.88","bilanz","gdn_fr","CHF","fs"
"144","","2019","2011970","bilanz","gdn_fr","CHF","fs"
"145","","2019","58548917.23","bilanz","gdn_fr","CHF","fs"
"146","","2019","10561710.77","bilanz","gdn_fr","CHF","fs"
"147","","2019","","bilanz","gdn_fr","CHF","fs"
"148","","2019","","bilanz","gdn_fr","CHF","fs"
"200","","2019","181188381.68","bilanz","gdn_fr","CHF","fs"
"201","","2019","61348762.06","bilanz","gdn_fr","CHF","fs"
"204","","2019","112794961.13","bilanz","gdn_fr","CHF","fs"
"205","","2019","15569048.5","bilanz","gdn_fr","CHF","fs"
"206","","2019","1653119076.88","bilanz","gdn_fr","CHF","fs"
"207","","2019","","bilanz","gdn_fr","CHF","fs"
"208","","2019","159559802.77","bilanz","gdn_fr","CHF","fs"
"209","","2019","266243306.51","bilanz","gdn_fr","CHF","fs"
"290","","2019","","bilanz","gdn_fr","CHF","fs"
"292","","2019","","bilanz","gdn_fr","CHF","fs"
"293","","2019","241719673.49","bilanz","gdn_fr","CHF","fs"
"294","","2019","","bilanz","gdn_fr","CHF","fs"
"295","","2019","","bilanz","gdn_fr","CHF","fs"
"296","","2019","29739543.45","bilanz","gdn_fr","CHF","fs"
"298","","2019","3480215.95","bilanz","gdn_fr","CHF","fs"
"299","","2019","477381584.34","bilanz","gdn_fr","CHF","fs"
"empty","","2019","","er","gdn_fr","CHF","fs"
"empty","","2019","","er","gdn_fr","CHF","fs"
"empty","","2019","","er","gdn_fr","CHF","fs"
"empty","","2019","","er","gdn_fr","CHF","fs"
"300","","2019","15658558.69","aufwand","gdn_fr","CHF","fs"
"301","","2019","227682421.12","aufwand","gdn_fr","CHF","fs"
"302","","2019","16220643.2","aufwand","gdn_fr","CHF","fs"
"303","","2019","1067362.62","aufwand","gdn_fr","CHF","fs"
"304","","2019","3286454.96","aufwand","gdn_fr","CHF","fs"
"305","","2019","45932527.36","aufwand","gdn_fr","CHF","fs"
"306","","2019","1162184.25","aufwand","gdn_fr","CHF","fs"
"309","","2019","3216396.44","aufwand","gdn_fr","CHF","fs"
"310","","2019","30771828.2","aufwand","gdn_fr","CHF","fs"
"311","","2019","12393025.37","aufwand","gdn_fr","CHF","fs"
"312","","2019","35881788.21","aufwand","gdn_fr","CHF","fs"
"313","","2019","131777225.79","aufwand","gdn_fr","CHF","fs"
"314","","2019","61021859.27","aufwand","gdn_fr","CHF","fs"
"315","","2019","15499864.78","aufwand","gdn_fr","CHF","fs"
"316","","2019","12025108.53","aufwand","gdn_fr","CHF","fs"
"317","","2019","12186897.84","aufwand","gdn_fr","CHF","fs"
"318","","2019","16529407.62","aufwand","gdn_fr","CHF","fs"
"319","","2019","6445066.68","aufwand","gdn_fr","CHF","fs"
"320","","2019","","aufwand","gdn_fr","CHF","fs"
"331","","2019","","aufwand","gdn_fr","CHF","fs"
"337","","2019","85548591.72","aufwand","gdn_fr","CHF","fs"
"338","","2019","51635200.4","aufwand","gdn_fr","CHF","fs"
