"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","19600000.85","bilanz","gdn_gl","CHF","fs"
"101","","2016","67209592.7","bilanz","gdn_gl","CHF","fs"
"102","","2016","6e+06","bilanz","gdn_gl","CHF","fs"
"104","","2016","1079944.5","bilanz","gdn_gl","CHF","fs"
"106","","2016","682124.05","bilanz","gdn_gl","CHF","fs"
"107","","2016","18559019.25","bilanz","gdn_gl","CHF","fs"
"108","","2016","94407964.75","bilanz","gdn_gl","CHF","fs"
"109","","2016","","bilanz","gdn_gl","CHF","fs"
"140","","2016","95606779.18","bilanz","gdn_gl","CHF","fs"
"141","","2016","","bilanz","gdn_gl","CHF","fs"
"142","","2016","1864542.78","bilanz","gdn_gl","CHF","fs"
"143","","2016","","bilanz","gdn_gl","CHF","fs"
"144","","2016","500006","bilanz","gdn_gl","CHF","fs"
"145","","2016","67848080.82","bilanz","gdn_gl","CHF","fs"
"146","","2016","8530913.45","bilanz","gdn_gl","CHF","fs"
"147","","2016","","bilanz","gdn_gl","CHF","fs"
"148","","2016","-9194225.4","bilanz","gdn_gl","CHF","fs"
"200","","2016","17935434.63","bilanz","gdn_gl","CHF","fs"
"201","","2016","39874565","bilanz","gdn_gl","CHF","fs"
"204","","2016","1636446.77","bilanz","gdn_gl","CHF","fs"
"205","","2016","663599.35","bilanz","gdn_gl","CHF","fs"
"206","","2016","61484172.2","bilanz","gdn_gl","CHF","fs"
"207","","2016","","bilanz","gdn_gl","CHF","fs"
"208","","2016","721778.5","bilanz","gdn_gl","CHF","fs"
"209","","2016","9054896.65","bilanz","gdn_gl","CHF","fs"
"290","","2016","34958655.37","bilanz","gdn_gl","CHF","fs"
"292","","2016","","bilanz","gdn_gl","CHF","fs"
"293","","2016","1582643.36","bilanz","gdn_gl","CHF","fs"
"294","","2016","","bilanz","gdn_gl","CHF","fs"
"295","","2016","52177289.36","bilanz","gdn_gl","CHF","fs"
"296","","2016","49355201.49","bilanz","gdn_gl","CHF","fs"
"298","","2016","","bilanz","gdn_gl","CHF","fs"
"299","","2016","103250060.25","bilanz","gdn_gl","CHF","fs"
"empty","","2016","","er","gdn_gl","CHF","fs"
"empty","","2016","","er","gdn_gl","CHF","fs"
"empty","","2016","","er","gdn_gl","CHF","fs"
"empty","","2016","","er","gdn_gl","CHF","fs"
"300","","2016","1739162.15","aufwand","gdn_gl","CHF","fs"
"301","","2016","30446476.09","aufwand","gdn_gl","CHF","fs"
"302","","2016","37777453.2","aufwand","gdn_gl","CHF","fs"
"303","","2016","","aufwand","gdn_gl","CHF","fs"
"304","","2016","15685","aufwand","gdn_gl","CHF","fs"
"305","","2016","12370317.19","aufwand","gdn_gl","CHF","fs"
"306","","2016","267799.9","aufwand","gdn_gl","CHF","fs"
"309","","2016","935326.21","aufwand","gdn_gl","CHF","fs"
"310","","2016","4710100.05","aufwand","gdn_gl","CHF","fs"
"311","","2016","2663446.76","aufwand","gdn_gl","CHF","fs"
"312","","2016","3348207.89","aufwand","gdn_gl","CHF","fs"
"313","","2016","24346564.63","aufwand","gdn_gl","CHF","fs"
"314","","2016","8549399.01","aufwand","gdn_gl","CHF","fs"
"315","","2016","1270305.53","aufwand","gdn_gl","CHF","fs"
"316","","2016","1425058.7","aufwand","gdn_gl","CHF","fs"
"317","","2016","877961.48","aufwand","gdn_gl","CHF","fs"
"318","","2016","1361790.52","aufwand","gdn_gl","CHF","fs"
"319","","2016","68729.91","aufwand","gdn_gl","CHF","fs"
"320","","2016","","aufwand","gdn_gl","CHF","fs"
"331","","2016","","aufwand","gdn_gl","CHF","fs"
"337","","2016","9910085.35","aufwand","gdn_gl","CHF","fs"
"338","","2016","","aufwand","gdn_gl","CHF","fs"
"340","","2016","704953.22","aufwand","gdn_gl","CHF","fs"
"341","","2016","","aufwand","gdn_gl","CHF","fs"
"342","","2016","23763.91","aufwand","gdn_gl","CHF","fs"
"343","","2016","1902162.87","aufwand","gdn_gl","CHF","fs"
"344","","2016","","aufwand","gdn_gl","CHF","fs"
"349","","2016","","aufwand","gdn_gl","CHF","fs"
"350","","2016","","aufwand","gdn_gl","CHF","fs"
"351","","2016","1141839.08","aufwand","gdn_gl","CHF","fs"
"352","","2016","216120.55","aufwand","gdn_gl","CHF","fs"
"3600","","2016","","aufwand","gdn_gl","CHF","fs"
"36010","","2016","","aufwand","gdn_gl","CHF","fs"
