"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","521103865.25","bilanz","gdn_gr","CHF","fs"
"101","","2020","504470500.33","bilanz","gdn_gr","CHF","fs"
"102","","2020","4671323.2","bilanz","gdn_gr","CHF","fs"
"104","","2020","240206558.64","bilanz","gdn_gr","CHF","fs"
"106","","2020","5942878.1","bilanz","gdn_gr","CHF","fs"
"107","","2020","127721340.92","bilanz","gdn_gr","CHF","fs"
"108","","2020","1196223824.69","bilanz","gdn_gr","CHF","fs"
"109","","2020","243555.4","bilanz","gdn_gr","CHF","fs"
"140","","2020","1547062632.98","bilanz","gdn_gr","CHF","fs"
"141","","2020","","bilanz","gdn_gr","CHF","fs"
"142","","2020","19728006.51","bilanz","gdn_gr","CHF","fs"
"143","","2020","1","bilanz","gdn_gr","CHF","fs"
"144","","2020","74583080.49","bilanz","gdn_gr","CHF","fs"
"145","","2020","156166524.96","bilanz","gdn_gr","CHF","fs"
"146","","2020","69356598.77","bilanz","gdn_gr","CHF","fs"
"147","","2020","","bilanz","gdn_gr","CHF","fs"
"148","","2020","-30655745.06","bilanz","gdn_gr","CHF","fs"
"200","","2020","236194766.49","bilanz","gdn_gr","CHF","fs"
"201","","2020","54503762.1","bilanz","gdn_gr","CHF","fs"
"204","","2020","55424489.8","bilanz","gdn_gr","CHF","fs"
"205","","2020","7629281.49","bilanz","gdn_gr","CHF","fs"
"206","","2020","823069360.41","bilanz","gdn_gr","CHF","fs"
"207","","2020","","bilanz","gdn_gr","CHF","fs"
"208","","2020","21913528.13","bilanz","gdn_gr","CHF","fs"
"209","","2020","36212735.15","bilanz","gdn_gr","CHF","fs"
"290","","2020","636470325","bilanz","gdn_gr","CHF","fs"
"292","","2020","","bilanz","gdn_gr","CHF","fs"
"293","","2020","160119297.93","bilanz","gdn_gr","CHF","fs"
"294","","2020","","bilanz","gdn_gr","CHF","fs"
"295","","2020","","bilanz","gdn_gr","CHF","fs"
"296","","2020","7592646.55","bilanz","gdn_gr","CHF","fs"
"298","","2020","-6827345.1","bilanz","gdn_gr","CHF","fs"
"299","","2020","2404522098.23","bilanz","gdn_gr","CHF","fs"
"empty","","2020","","er","gdn_gr","CHF","fs"
"empty","","2020","","er","gdn_gr","CHF","fs"
"empty","","2020","","er","gdn_gr","CHF","fs"
"empty","","2020","","er","gdn_gr","CHF","fs"
"300","","2020","15986615.13","aufwand","gdn_gr","CHF","fs"
"301","","2020","241888590.19","aufwand","gdn_gr","CHF","fs"
"302","","2020","204485351.39","aufwand","gdn_gr","CHF","fs"
"303","","2020","852088.43","aufwand","gdn_gr","CHF","fs"
"304","","2020","1700047.44","aufwand","gdn_gr","CHF","fs"
"305","","2020","79850527.48","aufwand","gdn_gr","CHF","fs"
"306","","2020","602562.5","aufwand","gdn_gr","CHF","fs"
"309","","2020","5437212.3","aufwand","gdn_gr","CHF","fs"
"310","","2020","58478012.53","aufwand","gdn_gr","CHF","fs"
"311","","2020","20984637.61","aufwand","gdn_gr","CHF","fs"
"312","","2020","31208923.59","aufwand","gdn_gr","CHF","fs"
"313","","2020","161744859.51","aufwand","gdn_gr","CHF","fs"
"314","","2020","100165071.55","aufwand","gdn_gr","CHF","fs"
"315","","2020","21252550.99","aufwand","gdn_gr","CHF","fs"
"316","","2020","14146140.87","aufwand","gdn_gr","CHF","fs"
"317","","2020","5239207.77","aufwand","gdn_gr","CHF","fs"
"318","","2020","4190291.2","aufwand","gdn_gr","CHF","fs"
"319","","2020","8244984.59","aufwand","gdn_gr","CHF","fs"
"320","","2020","","aufwand","gdn_gr","CHF","fs"
"331","","2020","","aufwand","gdn_gr","CHF","fs"
"337","","2020","137982224.1","aufwand","gdn_gr","CHF","fs"
"338","","2020","18335058.27","aufwand","gdn_gr","CHF","fs"
"340","","2020","7402548.26","aufwand","gdn_gr","CHF","fs"
"341","","2020","204031.67","aufwand","gdn_gr","CHF","fs"
"342","","2020","102862.98","aufwand","gdn_gr","CHF","fs"
"343","","2020","9390911.45","aufwand","gdn_gr","CHF","fs"
"344","","2020","4403000.22","aufwand","gdn_gr","CHF","fs"
"349","","2020","344483.75","aufwand","gdn_gr","CHF","fs"
"350","","2020","1456255.39","aufwand","gdn_gr","CHF","fs"
"351","","2020","24447445.2","aufwand","gdn_gr","CHF","fs"
"352","","2020","217748.47","aufwand","gdn_gr","CHF","fs"
"3600","","2020","","aufwand","gdn_gr","CHF","fs"
"36010","","2020","","aufwand","gdn_gr","CHF","fs"
"36011","","2020","","aufwand","gdn_gr","CHF","fs"
"36012","","2020","","aufwand","gdn_gr","CHF","fs"
"36013","","2020","","aufwand","gdn_gr","CHF","fs"
"36014","","2020","","aufwand","gdn_gr","CHF","fs"
"36015","","2020","","aufwand","gdn_gr","CHF","fs"
"36016","","2020","","aufwand","gdn_gr","CHF","fs"
"36017","","2020","","aufwand","gdn_gr","CHF","fs"
"36018","","2020","","aufwand","gdn_gr","CHF","fs"
"36019","","2020","","aufwand","gdn_gr","CHF","fs"
"36021","","2020","","aufwand","gdn_gr","CHF","fs"
"36022","","2020","","aufwand","gdn_gr","CHF","fs"
"36023","","2020","","aufwand","gdn_gr","CHF","fs"
"36029","","2020","","aufwand","gdn_gr","CHF","fs"
"3603","","2020","","aufwand","gdn_gr","CHF","fs"
"3604","","2020","","aufwand","gdn_gr","CHF","fs"
"3610","","2020","","aufwand","gdn_gr","CHF","fs"
"3611","","2020","36516693.5","aufwand","gdn_gr","CHF","fs"
"3612","","2020","","aufwand","gdn_gr","CHF","fs"
"3613","","2020","","aufwand","gdn_gr","CHF","fs"
"3614","","2020","200182.2","aufwand","gdn_gr","CHF","fs"
"3620","","2020","","aufwand","gdn_gr","CHF","fs"
"36211","","2020","","aufwand","gdn_gr","CHF","fs"
"36212","","2020","","aufwand","gdn_gr","CHF","fs"
"36213","","2020","","aufwand","gdn_gr","CHF","fs"
"36214","","2020","","aufwand","gdn_gr","CHF","fs"
"36215","","2020","18960373.61","aufwand","gdn_gr","CHF","fs"
"36216","","2020","","aufwand","gdn_gr","CHF","fs"
"36217","","2020","","aufwand","gdn_gr","CHF","fs"
"36219","","2020","","aufwand","gdn_gr","CHF","fs"
"36221","","2020","","aufwand","gdn_gr","CHF","fs"
"36222","","2020","","aufwand","gdn_gr","CHF","fs"
"36223","","2020","","aufwand","gdn_gr","CHF","fs"
"36224","","2020","","aufwand","gdn_gr","CHF","fs"
"36225","","2020","","aufwand","gdn_gr","CHF","fs"
"36226","","2020","","aufwand","gdn_gr","CHF","fs"
"36227","","2020","","aufwand","gdn_gr","CHF","fs"
"36228","","2020","","aufwand","gdn_gr","CHF","fs"
"3624","","2020","","aufwand","gdn_gr","CHF","fs"
"3629","","2020","","aufwand","gdn_gr","CHF","fs"
"3630","","2020","","aufwand","gdn_gr","CHF","fs"
"3631","","2020","4376889.5","aufwand","gdn_gr","CHF","fs"
"3632","","2020","","aufwand","gdn_gr","CHF","fs"
"3633","","2020","","aufwand","gdn_gr","CHF","fs"
"3634","","2020","63688529.62","aufwand","gdn_gr","CHF","fs"
"3635","","2020","54463709.91","aufwand","gdn_gr","CHF","fs"
"3636","","2020","47594774.65","aufwand","gdn_gr","CHF","fs"
"3637","","2020","52321770.2","aufwand","gdn_gr","CHF","fs"
"3638","","2020","","aufwand","gdn_gr","CHF","fs"
"3639","","2020","2160","aufwand","gdn_gr","CHF","fs"
"364","","2020","1100999","aufwand","gdn_gr","CHF","fs"
"365","","2020","1610000","aufwand","gdn_gr","CHF","fs"
"366","","2020","2529705.01","aufwand","gdn_gr","CHF","fs"
"369","","2020","28068.85","aufwand","gdn_gr","CHF","fs"
"380","","2020","166622.75","aufwand","gdn_gr","CHF","fs"
"381","","2020","2658716.34","aufwand","gdn_gr","CHF","fs"
"383","","2020","8543311.3","aufwand","gdn_gr","CHF","fs"
"384","","2020","471172.05","aufwand","gdn_gr","CHF","fs"
"3860","","2020","","aufwand","gdn_gr","CHF","fs"
"3861","","2020","217695.6","aufwand","gdn_gr","CHF","fs"
"3862","","2020","","aufwand","gdn_gr","CHF","fs"
"3863","","2020","","aufwand","gdn_gr","CHF","fs"
"3864","","2020","","aufwand","gdn_gr","CHF","fs"
"3865","","2020","115941.85","aufwand","gdn_gr","CHF","fs"
"3866","","2020","660178.75","aufwand","gdn_gr","CHF","fs"
"3867","","2020","400","aufwand","gdn_gr","CHF","fs"
"3868","","2020","","aufwand","gdn_gr","CHF","fs"
"387","","2020","254172.3","aufwand","gdn_gr","CHF","fs"
"389","","2020","19114203.75","aufwand","gdn_gr","CHF","fs"
"4000","","2020","381768798.66","ertrag","gdn_gr","CHF","fs"
"4001","","2020","96161270.15","ertrag","gdn_gr","CHF","fs"
"4002","","2020","37036210.03","ertrag","gdn_gr","CHF","fs"
"4008","","2020","1558556","ertrag","gdn_gr","CHF","fs"
"4009","","2020","3654322","ertrag","gdn_gr","CHF","fs"
"4010","","2020","61406387.33","ertrag","gdn_gr","CHF","fs"
"4011","","2020","31690015.78","ertrag","gdn_gr","CHF","fs"
"4012","","2020","","ertrag","gdn_gr","CHF","fs"
"4019","","2020","9739","ertrag","gdn_gr","CHF","fs"
"4020","","2020","","ertrag","gdn_gr","CHF","fs"
"4021","","2020","79564857.6","ertrag","gdn_gr","CHF","fs"
"4022","","2020","43802049.45","ertrag","gdn_gr","CHF","fs"
"4023","","2020","68317951.99","ertrag","gdn_gr","CHF","fs"
"4024","","2020","8163485.81","ertrag","gdn_gr","CHF","fs"
"4025","","2020","","ertrag","gdn_gr","CHF","fs"
"4030","","2020","","ertrag","gdn_gr","CHF","fs"
"4031","","2020","","ertrag","gdn_gr","CHF","fs"
"4032","","2020","","ertrag","gdn_gr","CHF","fs"
"4033","","2020","1420406.98","ertrag","gdn_gr","CHF","fs"
"4039","","2020","56038565.82","ertrag","gdn_gr","CHF","fs"
"4040","","2020","","ertrag","gdn_gr","CHF","fs"
"4041","","2020","","ertrag","gdn_gr","CHF","fs"
"4042","","2020","","ertrag","gdn_gr","CHF","fs"
"4043","","2020","","ertrag","gdn_gr","CHF","fs"
"4044","","2020","","ertrag","gdn_gr","CHF","fs"
"4045","","2020","","ertrag","gdn_gr","CHF","fs"
"4046","","2020","","ertrag","gdn_gr","CHF","fs"
"4047","","2020","","ertrag","gdn_gr","CHF","fs"
"4049","","2020","","ertrag","gdn_gr","CHF","fs"
"4050","","2020","","ertrag","gdn_gr","CHF","fs"
"4051","","2020","","ertrag","gdn_gr","CHF","fs"
