"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","56340705.15","bilanz","gdn_ju","CHF","fs"
"101","","2015","77392508.75","bilanz","gdn_ju","CHF","fs"
"102","","2015","79999.89","bilanz","gdn_ju","CHF","fs"
"104","","2015","33874534.62","bilanz","gdn_ju","CHF","fs"
"106","","2015","5053.41","bilanz","gdn_ju","CHF","fs"
"107","","2015","27339825.4","bilanz","gdn_ju","CHF","fs"
"108","","2015","86562290.87","bilanz","gdn_ju","CHF","fs"
"109","","2015","54039554.11","bilanz","gdn_ju","CHF","fs"
"140","","2015","501993554.2","bilanz","gdn_ju","CHF","fs"
"141","","2015","45377.72","bilanz","gdn_ju","CHF","fs"
"142","","2015","1226759.89","bilanz","gdn_ju","CHF","fs"
"143","","2015","1990072.52","bilanz","gdn_ju","CHF","fs"
"144","","2015","","bilanz","gdn_ju","CHF","fs"
"145","","2015","","bilanz","gdn_ju","CHF","fs"
"146","","2015","1471898.49","bilanz","gdn_ju","CHF","fs"
"147","","2015","","bilanz","gdn_ju","CHF","fs"
"148","","2015","","bilanz","gdn_ju","CHF","fs"
"200","","2015","48831429.03","bilanz","gdn_ju","CHF","fs"
"201","","2015","43946530.73","bilanz","gdn_ju","CHF","fs"
"204","","2015","30039711.29","bilanz","gdn_ju","CHF","fs"
"205","","2015","","bilanz","gdn_ju","CHF","fs"
"206","","2015","526696076.81","bilanz","gdn_ju","CHF","fs"
"207","","2015","","bilanz","gdn_ju","CHF","fs"
"208","","2015","50543402.43","bilanz","gdn_ju","CHF","fs"
"209","","2015","54325612.38","bilanz","gdn_ju","CHF","fs"
"290","","2015","","bilanz","gdn_ju","CHF","fs"
"292","","2015","","bilanz","gdn_ju","CHF","fs"
"293","","2015","","bilanz","gdn_ju","CHF","fs"
"294","","2015","","bilanz","gdn_ju","CHF","fs"
"295","","2015","","bilanz","gdn_ju","CHF","fs"
"296","","2015","","bilanz","gdn_ju","CHF","fs"
"298","","2015","","bilanz","gdn_ju","CHF","fs"
"299","","2015","87979372.31","bilanz","gdn_ju","CHF","fs"
"empty","","2015","","er","gdn_ju","CHF","fs"
"empty","","2015","","er","gdn_ju","CHF","fs"
"empty","","2015","","er","gdn_ju","CHF","fs"
"empty","","2015","","er","gdn_ju","CHF","fs"
"300","","2015","3297473.25","aufwand","gdn_ju","CHF","fs"
"301","","2015","51378626.07","aufwand","gdn_ju","CHF","fs"
"302","","2015","16464.27","aufwand","gdn_ju","CHF","fs"
"303","","2015","22035.99","aufwand","gdn_ju","CHF","fs"
"304","","2015","673653.38","aufwand","gdn_ju","CHF","fs"
"305","","2015","14355359.33","aufwand","gdn_ju","CHF","fs"
"306","","2015","52501.28","aufwand","gdn_ju","CHF","fs"
"309","","2015","317747.08","aufwand","gdn_ju","CHF","fs"
"310","","2015","8218686.81","aufwand","gdn_ju","CHF","fs"
"311","","2015","2401359.92","aufwand","gdn_ju","CHF","fs"
"312","","2015","13664968.89","aufwand","gdn_ju","CHF","fs"
"313","","2015","26935310.73","aufwand","gdn_ju","CHF","fs"
"314","","2015","10596605.63","aufwand","gdn_ju","CHF","fs"
"315","","2015","2869664.46","aufwand","gdn_ju","CHF","fs"
"316","","2015","3320867.06","aufwand","gdn_ju","CHF","fs"
"317","","2015","2397858.47","aufwand","gdn_ju","CHF","fs"
"318","","2015","12016135.62","aufwand","gdn_ju","CHF","fs"
"319","","2015","2729139.7","aufwand","gdn_ju","CHF","fs"
"320","","2015","","aufwand","gdn_ju","CHF","fs"
"331","","2015","","aufwand","gdn_ju","CHF","fs"
"337","","2015","19474459.99","aufwand","gdn_ju","CHF","fs"
"338","","2015","7738918.99","aufwand","gdn_ju","CHF","fs"
"340","","2015","11817248.47","aufwand","gdn_ju","CHF","fs"
"341","","2015","","aufwand","gdn_ju","CHF","fs"
"342","","2015","","aufwand","gdn_ju","CHF","fs"
"343","","2015","1124149.52","aufwand","gdn_ju","CHF","fs"
"344","","2015","1619872.66","aufwand","gdn_ju","CHF","fs"
"349","","2015","","aufwand","gdn_ju","CHF","fs"
"350","","2015","","aufwand","gdn_ju","CHF","fs"
"351","","2015","","aufwand","gdn_ju","CHF","fs"
"352","","2015","19870421.15","aufwand","gdn_ju","CHF","fs"
"3600","","2015","","aufwand","gdn_ju","CHF","fs"
"36010","","2015","","aufwand","gdn_ju","CHF","fs"
"36011","","2015","","aufwand","gdn_ju","CHF","fs"
"36012","","2015","","aufwand","gdn_ju","CHF","fs"
"36013","","2015","","aufwand","gdn_ju","CHF","fs"
"36014","","2015","","aufwand","gdn_ju","CHF","fs"
"36015","","2015","","aufwand","gdn_ju","CHF","fs"
"36016","","2015","","aufwand","gdn_ju","CHF","fs"
"36017","","2015","","aufwand","gdn_ju","CHF","fs"
"36018","","2015","","aufwand","gdn_ju","CHF","fs"
"36019","","2015","","aufwand","gdn_ju","CHF","fs"
"36021","","2015","","aufwand","gdn_ju","CHF","fs"
"36022","","2015","","aufwand","gdn_ju","CHF","fs"
"36023","","2015","","aufwand","gdn_ju","CHF","fs"
"36029","","2015","","aufwand","gdn_ju","CHF","fs"
"3603","","2015","","aufwand","gdn_ju","CHF","fs"
"3604","","2015","","aufwand","gdn_ju","CHF","fs"
"3610","","2015","","aufwand","gdn_ju","CHF","fs"
"3611","","2015","74973946.17","aufwand","gdn_ju","CHF","fs"
"3612","","2015","","aufwand","gdn_ju","CHF","fs"
"3613","","2015","","aufwand","gdn_ju","CHF","fs"
"3614","","2015","","aufwand","gdn_ju","CHF","fs"
