"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","134417531.67","bilanz","gdn_ne","CHF","fs"
"101","","2020","172988627.15","bilanz","gdn_ne","CHF","fs"
"102","","2020","3000800","bilanz","gdn_ne","CHF","fs"
"104","","2020","74698396.1","bilanz","gdn_ne","CHF","fs"
"106","","2020","2496507.4","bilanz","gdn_ne","CHF","fs"
"107","","2020","93770173.66","bilanz","gdn_ne","CHF","fs"
"108","","2020","682368633.71","bilanz","gdn_ne","CHF","fs"
"109","","2020","403.24","bilanz","gdn_ne","CHF","fs"
"140","","2020","2278511980.16","bilanz","gdn_ne","CHF","fs"
"141","","2020","35864.05","bilanz","gdn_ne","CHF","fs"
"142","","2020","11968513.58","bilanz","gdn_ne","CHF","fs"
"143","","2020","","bilanz","gdn_ne","CHF","fs"
"144","","2020","8694195.36","bilanz","gdn_ne","CHF","fs"
"145","","2020","148299905.29","bilanz","gdn_ne","CHF","fs"
"146","","2020","4499943.25","bilanz","gdn_ne","CHF","fs"
"147","","2020","","bilanz","gdn_ne","CHF","fs"
"148","","2020","","bilanz","gdn_ne","CHF","fs"
"200","","2020","108510222.29","bilanz","gdn_ne","CHF","fs"
"201","","2020","250633208.94","bilanz","gdn_ne","CHF","fs"
"204","","2020","41313323.99","bilanz","gdn_ne","CHF","fs"
"205","","2020","9440461.49","bilanz","gdn_ne","CHF","fs"
"206","","2020","1389321303.75","bilanz","gdn_ne","CHF","fs"
"207","","2020","","bilanz","gdn_ne","CHF","fs"
"208","","2020","20937582.97","bilanz","gdn_ne","CHF","fs"
"209","","2020","20238592.39","bilanz","gdn_ne","CHF","fs"
"290","","2020","139947754.87","bilanz","gdn_ne","CHF","fs"
"292","","2020","4249740.9","bilanz","gdn_ne","CHF","fs"
"293","","2020","67911408.16","bilanz","gdn_ne","CHF","fs"
"294","","2020","187917210.18","bilanz","gdn_ne","CHF","fs"
"295","","2020","592841876.06","bilanz","gdn_ne","CHF","fs"
"296","","2020","151564140.98","bilanz","gdn_ne","CHF","fs"
"298","","2020","7224659.39","bilanz","gdn_ne","CHF","fs"
"299","","2020","623699988.26","bilanz","gdn_ne","CHF","fs"
"empty","","2020","","er","gdn_ne","CHF","fs"
"empty","","2020","","er","gdn_ne","CHF","fs"
"empty","","2020","","er","gdn_ne","CHF","fs"
"empty","","2020","","er","gdn_ne","CHF","fs"
"300","","2020","6016993.89","aufwand","gdn_ne","CHF","fs"
"301","","2020","207296612.16","aufwand","gdn_ne","CHF","fs"
"302","","2020","163442847.24","aufwand","gdn_ne","CHF","fs"
"303","","2020","1552584.1","aufwand","gdn_ne","CHF","fs"
"304","","2020","4965420.45","aufwand","gdn_ne","CHF","fs"
"305","","2020","90166295.7699999","aufwand","gdn_ne","CHF","fs"
"306","","2020","1927797.6","aufwand","gdn_ne","CHF","fs"
"309","","2020","2518651.28","aufwand","gdn_ne","CHF","fs"
"310","","2020","21534804.12","aufwand","gdn_ne","CHF","fs"
"311","","2020","5465797.98","aufwand","gdn_ne","CHF","fs"
"312","","2020","24093593.17","aufwand","gdn_ne","CHF","fs"
"313","","2020","94162064.5","aufwand","gdn_ne","CHF","fs"
"314","","2020","24734224.75","aufwand","gdn_ne","CHF","fs"
"315","","2020","9978339.31","aufwand","gdn_ne","CHF","fs"
"316","","2020","17519298.01","aufwand","gdn_ne","CHF","fs"
"317","","2020","3800052.39","aufwand","gdn_ne","CHF","fs"
"318","","2020","7247273.82","aufwand","gdn_ne","CHF","fs"
"319","","2020","3481299.68","aufwand","gdn_ne","CHF","fs"
"320","","2020","","aufwand","gdn_ne","CHF","fs"
"331","","2020","","aufwand","gdn_ne","CHF","fs"
"337","","2020","99307445.89","aufwand","gdn_ne","CHF","fs"
"338","","2020","411033.75","aufwand","gdn_ne","CHF","fs"
"340","","2020","21343025.77","aufwand","gdn_ne","CHF","fs"
"341","","2020","2064798.8","aufwand","gdn_ne","CHF","fs"
"342","","2020","203406.89","aufwand","gdn_ne","CHF","fs"
"343","","2020","16405163.85","aufwand","gdn_ne","CHF","fs"
"344","","2020","3775896.05","aufwand","gdn_ne","CHF","fs"
"349","","2020","505561.59","aufwand","gdn_ne","CHF","fs"
"350","","2020","164528.8","aufwand","gdn_ne","CHF","fs"
"351","","2020","24720123.45","aufwand","gdn_ne","CHF","fs"
"352","","2020","","aufwand","gdn_ne","CHF","fs"
"3600","","2020","","aufwand","gdn_ne","CHF","fs"
"36010","","2020","","aufwand","gdn_ne","CHF","fs"
"36011","","2020","","aufwand","gdn_ne","CHF","fs"
"36012","","2020","","aufwand","gdn_ne","CHF","fs"
"36013","","2020","","aufwand","gdn_ne","CHF","fs"
"36014","","2020","","aufwand","gdn_ne","CHF","fs"
"36015","","2020","","aufwand","gdn_ne","CHF","fs"
"36016","","2020","","aufwand","gdn_ne","CHF","fs"
"36017","","2020","","aufwand","gdn_ne","CHF","fs"
"36018","","2020","","aufwand","gdn_ne","CHF","fs"
"36019","","2020","","aufwand","gdn_ne","CHF","fs"
"36021","","2020","","aufwand","gdn_ne","CHF","fs"
"36022","","2020","","aufwand","gdn_ne","CHF","fs"
"36023","","2020","","aufwand","gdn_ne","CHF","fs"
"36029","","2020","","aufwand","gdn_ne","CHF","fs"
"3603","","2020","","aufwand","gdn_ne","CHF","fs"
