"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","45940603.2","bilanz","gdn_nw","CHF","fs"
"101","","2020","21233012.22","bilanz","gdn_nw","CHF","fs"
"102","","2020","722466.57","bilanz","gdn_nw","CHF","fs"
"104","","2020","2154723.72","bilanz","gdn_nw","CHF","fs"
"106","","2020","3198936.35","bilanz","gdn_nw","CHF","fs"
"107","","2020","3637143.85","bilanz","gdn_nw","CHF","fs"
"108","","2020","33438233.5","bilanz","gdn_nw","CHF","fs"
"109","","2020","","bilanz","gdn_nw","CHF","fs"
"140","","2020","290806744.42","bilanz","gdn_nw","CHF","fs"
"141","","2020","1","bilanz","gdn_nw","CHF","fs"
"142","","2020","497538.4","bilanz","gdn_nw","CHF","fs"
"143","","2020","","bilanz","gdn_nw","CHF","fs"
"144","","2020","1840002","bilanz","gdn_nw","CHF","fs"
"145","","2020","1134501","bilanz","gdn_nw","CHF","fs"
"146","","2020","21624892.67","bilanz","gdn_nw","CHF","fs"
"147","","2020","","bilanz","gdn_nw","CHF","fs"
"148","","2020","","bilanz","gdn_nw","CHF","fs"
"200","","2020","23175801.9","bilanz","gdn_nw","CHF","fs"
"201","","2020","11862.95","bilanz","gdn_nw","CHF","fs"
"204","","2020","3834223.15","bilanz","gdn_nw","CHF","fs"
"205","","2020","208783.79","bilanz","gdn_nw","CHF","fs"
"206","","2020","125651740.35","bilanz","gdn_nw","CHF","fs"
"207","","2020","","bilanz","gdn_nw","CHF","fs"
"208","","2020","746663.2","bilanz","gdn_nw","CHF","fs"
"209","","2020","2325248.18","bilanz","gdn_nw","CHF","fs"
"290","","2020","58280478.59","bilanz","gdn_nw","CHF","fs"
"292","","2020","","bilanz","gdn_nw","CHF","fs"
"293","","2020","11784000","bilanz","gdn_nw","CHF","fs"
"294","","2020","103589479.87","bilanz","gdn_nw","CHF","fs"
"295","","2020","","bilanz","gdn_nw","CHF","fs"
"296","","2020","13810981.6","bilanz","gdn_nw","CHF","fs"
"298","","2020","","bilanz","gdn_nw","CHF","fs"
"299","","2020","82809535.32","bilanz","gdn_nw","CHF","fs"
"empty","","2020","","er","gdn_nw","CHF","fs"
"empty","","2020","","er","gdn_nw","CHF","fs"
"empty","","2020","","er","gdn_nw","CHF","fs"
"empty","","2020","","er","gdn_nw","CHF","fs"
"300","","2020","2728699.65","aufwand","gdn_nw","CHF","fs"
"301","","2020","25406123.19","aufwand","gdn_nw","CHF","fs"
"302","","2020","43797866.63","aufwand","gdn_nw","CHF","fs"
"303","","2020","449775.35","aufwand","gdn_nw","CHF","fs"
"304","","2020","485063.35","aufwand","gdn_nw","CHF","fs"
"305","","2020","12355998.38","aufwand","gdn_nw","CHF","fs"
"306","","2020","100645.15","aufwand","gdn_nw","CHF","fs"
"309","","2020","1018575.36","aufwand","gdn_nw","CHF","fs"
"310","","2020","3849728.12","aufwand","gdn_nw","CHF","fs"
"311","","2020","2257267.56","aufwand","gdn_nw","CHF","fs"
"312","","2020","3162356.24","aufwand","gdn_nw","CHF","fs"
"313","","2020","13460711.21","aufwand","gdn_nw","CHF","fs"
"314","","2020","7942825.62","aufwand","gdn_nw","CHF","fs"
"315","","2020","1694275.1","aufwand","gdn_nw","CHF","fs"
"316","","2020","865377.25","aufwand","gdn_nw","CHF","fs"
"317","","2020","627391.75","aufwand","gdn_nw","CHF","fs"
"318","","2020","354756.68","aufwand","gdn_nw","CHF","fs"
"319","","2020","1224083.14","aufwand","gdn_nw","CHF","fs"
"320","","2020","","aufwand","gdn_nw","CHF","fs"
"331","","2020","","aufwand","gdn_nw","CHF","fs"
"337","","2020","20215683.42","aufwand","gdn_nw","CHF","fs"
"338","","2020","2965669.66","aufwand","gdn_nw","CHF","fs"
"340","","2020","1002495.67","aufwand","gdn_nw","CHF","fs"
"341","","2020","","aufwand","gdn_nw","CHF","fs"
"342","","2020","","aufwand","gdn_nw","CHF","fs"
"343","","2020","227357.57","aufwand","gdn_nw","CHF","fs"
"344","","2020","98643.13","aufwand","gdn_nw","CHF","fs"
"349","","2020","505.49","aufwand","gdn_nw","CHF","fs"
"350","","2020","74393.26","aufwand","gdn_nw","CHF","fs"
"351","","2020","4286359.8","aufwand","gdn_nw","CHF","fs"
"352","","2020","","aufwand","gdn_nw","CHF","fs"
"3600","","2020","","aufwand","gdn_nw","CHF","fs"
"36010","","2020","","aufwand","gdn_nw","CHF","fs"
"36011","","2020","","aufwand","gdn_nw","CHF","fs"
"36012","","2020","","aufwand","gdn_nw","CHF","fs"
"36013","","2020","","aufwand","gdn_nw","CHF","fs"
"36014","","2020","","aufwand","gdn_nw","CHF","fs"
"36015","","2020","","aufwand","gdn_nw","CHF","fs"
"36016","","2020","","aufwand","gdn_nw","CHF","fs"
"36017","","2020","","aufwand","gdn_nw","CHF","fs"
"36018","","2020","","aufwand","gdn_nw","CHF","fs"
"36019","","2020","","aufwand","gdn_nw","CHF","fs"
"36021","","2020","","aufwand","gdn_nw","CHF","fs"
"36022","","2020","","aufwand","gdn_nw","CHF","fs"
"36023","","2020","","aufwand","gdn_nw","CHF","fs"
"36029","","2020","","aufwand","gdn_nw","CHF","fs"
"3603","","2020","","aufwand","gdn_nw","CHF","fs"
