"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","37960276.96","bilanz","gdn_ow","CHF","fs"
"101","","2017","35349255.39","bilanz","gdn_ow","CHF","fs"
"102","","2017","5208.35","bilanz","gdn_ow","CHF","fs"
"104","","2017","8813901.12","bilanz","gdn_ow","CHF","fs"
"106","","2017","544786.44","bilanz","gdn_ow","CHF","fs"
"107","","2017","19507001.25","bilanz","gdn_ow","CHF","fs"
"108","","2017","17419631.79","bilanz","gdn_ow","CHF","fs"
"109","","2017","","bilanz","gdn_ow","CHF","fs"
"140","","2017","141456579.02","bilanz","gdn_ow","CHF","fs"
"141","","2017","57171.63","bilanz","gdn_ow","CHF","fs"
"142","","2017","64900","bilanz","gdn_ow","CHF","fs"
"143","","2017","","bilanz","gdn_ow","CHF","fs"
"144","","2017","14654786.19","bilanz","gdn_ow","CHF","fs"
"145","","2017","5786880","bilanz","gdn_ow","CHF","fs"
"146","","2017","2824060.52","bilanz","gdn_ow","CHF","fs"
"147","","2017","","bilanz","gdn_ow","CHF","fs"
"148","","2017","-2106535.7","bilanz","gdn_ow","CHF","fs"
"200","","2017","20952916.02","bilanz","gdn_ow","CHF","fs"
"201","","2017","4149081","bilanz","gdn_ow","CHF","fs"
"204","","2017","2946788.93","bilanz","gdn_ow","CHF","fs"
"205","","2017","1509087.33","bilanz","gdn_ow","CHF","fs"
"206","","2017","103803471.1","bilanz","gdn_ow","CHF","fs"
"207","","2017","","bilanz","gdn_ow","CHF","fs"
"208","","2017","9093622.77","bilanz","gdn_ow","CHF","fs"
"209","","2017","996280.7","bilanz","gdn_ow","CHF","fs"
"290","","2017","18777529.98","bilanz","gdn_ow","CHF","fs"
"292","","2017","","bilanz","gdn_ow","CHF","fs"
"293","","2017","36384615.87","bilanz","gdn_ow","CHF","fs"
"294","","2017","14600000","bilanz","gdn_ow","CHF","fs"
"295","","2017","","bilanz","gdn_ow","CHF","fs"
"296","","2017","5004175.48","bilanz","gdn_ow","CHF","fs"
"298","","2017","","bilanz","gdn_ow","CHF","fs"
"299","","2017","64120333.78","bilanz","gdn_ow","CHF","fs"
"empty","","2017","","er","gdn_ow","CHF","fs"
"empty","","2017","","er","gdn_ow","CHF","fs"
"empty","","2017","","er","gdn_ow","CHF","fs"
"empty","","2017","","er","gdn_ow","CHF","fs"
"300","","2017","1372972.05","aufwand","gdn_ow","CHF","fs"
"301","","2017","26890441.54","aufwand","gdn_ow","CHF","fs"
"302","","2017","38159739.65","aufwand","gdn_ow","CHF","fs"
"303","","2017","77837.3","aufwand","gdn_ow","CHF","fs"
"304","","2017","587339.45","aufwand","gdn_ow","CHF","fs"
"305","","2017","10713945.91","aufwand","gdn_ow","CHF","fs"
"306","","2017","264137.21","aufwand","gdn_ow","CHF","fs"
"309","","2017","979720.19","aufwand","gdn_ow","CHF","fs"
"310","","2017","4395434.13","aufwand","gdn_ow","CHF","fs"
"311","","2017","3022903.42","aufwand","gdn_ow","CHF","fs"
"312","","2017","2749065.28","aufwand","gdn_ow","CHF","fs"
"313","","2017","11841274","aufwand","gdn_ow","CHF","fs"
"314","","2017","14365188.48","aufwand","gdn_ow","CHF","fs"
"315","","2017","1830786.61","aufwand","gdn_ow","CHF","fs"
"316","","2017","1686743.99","aufwand","gdn_ow","CHF","fs"
"317","","2017","751783.66","aufwand","gdn_ow","CHF","fs"
"318","","2017","656095.56","aufwand","gdn_ow","CHF","fs"
"319","","2017","-666212.69","aufwand","gdn_ow","CHF","fs"
"320","","2017","","aufwand","gdn_ow","CHF","fs"
"331","","2017","","aufwand","gdn_ow","CHF","fs"
"337","","2017","11540263.7","aufwand","gdn_ow","CHF","fs"
"338","","2017","","aufwand","gdn_ow","CHF","fs"
"340","","2017","1235924.09","aufwand","gdn_ow","CHF","fs"
"341","","2017","","aufwand","gdn_ow","CHF","fs"
"342","","2017","11843.5","aufwand","gdn_ow","CHF","fs"
"343","","2017","131223.95","aufwand","gdn_ow","CHF","fs"
"344","","2017","986660","aufwand","gdn_ow","CHF","fs"
"349","","2017","286863.63","aufwand","gdn_ow","CHF","fs"
"350","","2017","28968.75","aufwand","gdn_ow","CHF","fs"
"351","","2017","1902919.32","aufwand","gdn_ow","CHF","fs"
"352","","2017","25000","aufwand","gdn_ow","CHF","fs"
"3600","","2017","","aufwand","gdn_ow","CHF","fs"
"36010","","2017","","aufwand","gdn_ow","CHF","fs"
"36011","","2017","","aufwand","gdn_ow","CHF","fs"
"36012","","2017","","aufwand","gdn_ow","CHF","fs"
"36013","","2017","","aufwand","gdn_ow","CHF","fs"
"36014","","2017","","aufwand","gdn_ow","CHF","fs"
"36015","","2017","","aufwand","gdn_ow","CHF","fs"
"36016","","2017","","aufwand","gdn_ow","CHF","fs"
"36017","","2017","","aufwand","gdn_ow","CHF","fs"
"36018","","2017","","aufwand","gdn_ow","CHF","fs"
"36019","","2017","","aufwand","gdn_ow","CHF","fs"
"36021","","2017","","aufwand","gdn_ow","CHF","fs"
"36022","","2017","","aufwand","gdn_ow","CHF","fs"
"36023","","2017","","aufwand","gdn_ow","CHF","fs"
"36029","","2017","","aufwand","gdn_ow","CHF","fs"
"3603","","2017","","aufwand","gdn_ow","CHF","fs"
"3604","","2017","","aufwand","gdn_ow","CHF","fs"
"3610","","2017","","aufwand","gdn_ow","CHF","fs"
"3611","","2017","2336030.21","aufwand","gdn_ow","CHF","fs"
"3612","","2017","","aufwand","gdn_ow","CHF","fs"
"3613","","2017","","aufwand","gdn_ow","CHF","fs"
"3614","","2017","2000","aufwand","gdn_ow","CHF","fs"
"3620","","2017","","aufwand","gdn_ow","CHF","fs"
"36211","","2017","","aufwand","gdn_ow","CHF","fs"
"36212","","2017","","aufwand","gdn_ow","CHF","fs"
"36213","","2017","","aufwand","gdn_ow","CHF","fs"
"36214","","2017","","aufwand","gdn_ow","CHF","fs"
"36215","","2017","","aufwand","gdn_ow","CHF","fs"
"36216","","2017","305062.22","aufwand","gdn_ow","CHF","fs"
"36217","","2017","","aufwand","gdn_ow","CHF","fs"
"36219","","2017","","aufwand","gdn_ow","CHF","fs"
"36221","","2017","","aufwand","gdn_ow","CHF","fs"
"36222","","2017","","aufwand","gdn_ow","CHF","fs"
"36223","","2017","","aufwand","gdn_ow","CHF","fs"
"36224","","2017","","aufwand","gdn_ow","CHF","fs"
"36225","","2017","","aufwand","gdn_ow","CHF","fs"
"36226","","2017","","aufwand","gdn_ow","CHF","fs"
"36227","","2017","","aufwand","gdn_ow","CHF","fs"
"36228","","2017","","aufwand","gdn_ow","CHF","fs"
"3624","","2017","","aufwand","gdn_ow","CHF","fs"
"3629","","2017","","aufwand","gdn_ow","CHF","fs"
"3630","","2017","","aufwand","gdn_ow","CHF","fs"
"3631","","2017","3554580.35","aufwand","gdn_ow","CHF","fs"
"3632","","2017","","aufwand","gdn_ow","CHF","fs"
"3633","","2017","","aufwand","gdn_ow","CHF","fs"
"3634","","2017","4530411.41","aufwand","gdn_ow","CHF","fs"
"3635","","2017","4868959.5","aufwand","gdn_ow","CHF","fs"
"3636","","2017","9233690.45","aufwand","gdn_ow","CHF","fs"
"3637","","2017","5920176.07","aufwand","gdn_ow","CHF","fs"
"3638","","2017","250","aufwand","gdn_ow","CHF","fs"
"3639","","2017","9700","aufwand","gdn_ow","CHF","fs"
"364","","2017","208000","aufwand","gdn_ow","CHF","fs"
"365","","2017","","aufwand","gdn_ow","CHF","fs"
"366","","2017","357444.95","aufwand","gdn_ow","CHF","fs"
"369","","2017","","aufwand","gdn_ow","CHF","fs"
"380","","2017","","aufwand","gdn_ow","CHF","fs"
"381","","2017","","aufwand","gdn_ow","CHF","fs"
