"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","529565201.57","bilanz","gdn_sg","CHF","fs"
"101","","2016","539563334.09","bilanz","gdn_sg","CHF","fs"
"102","","2016","39118826.23","bilanz","gdn_sg","CHF","fs"
"104","","2016","46720068.79","bilanz","gdn_sg","CHF","fs"
"106","","2016","2566040.82","bilanz","gdn_sg","CHF","fs"
"107","","2016","107717554.28","bilanz","gdn_sg","CHF","fs"
"108","","2016","1000286831.72","bilanz","gdn_sg","CHF","fs"
"109","","2016","37496507.84","bilanz","gdn_sg","CHF","fs"
"140","","2016","1557893730.11","bilanz","gdn_sg","CHF","fs"
"141","","2016","","bilanz","gdn_sg","CHF","fs"
"142","","2016","14464689.5","bilanz","gdn_sg","CHF","fs"
"143","","2016","4579464.76","bilanz","gdn_sg","CHF","fs"
"144","","2016","4778351.17","bilanz","gdn_sg","CHF","fs"
"145","","2016","332476511.82","bilanz","gdn_sg","CHF","fs"
"146","","2016","58513604.42","bilanz","gdn_sg","CHF","fs"
"147","","2016","","bilanz","gdn_sg","CHF","fs"
"148","","2016","","bilanz","gdn_sg","CHF","fs"
"200","","2016","687562199.18","bilanz","gdn_sg","CHF","fs"
"201","","2016","157602447.01","bilanz","gdn_sg","CHF","fs"
"204","","2016","80752795.12","bilanz","gdn_sg","CHF","fs"
"205","","2016","2543846.3","bilanz","gdn_sg","CHF","fs"
"206","","2016","1952100511.91","bilanz","gdn_sg","CHF","fs"
"207","","2016","","bilanz","gdn_sg","CHF","fs"
"208","","2016","72051145.14","bilanz","gdn_sg","CHF","fs"
"209","","2016","445901751.08","bilanz","gdn_sg","CHF","fs"
"290","","2016","65444340.63","bilanz","gdn_sg","CHF","fs"
"292","","2016","","bilanz","gdn_sg","CHF","fs"
"293","","2016","257383182.51","bilanz","gdn_sg","CHF","fs"
"294","","2016","5e+06","bilanz","gdn_sg","CHF","fs"
"295","","2016","","bilanz","gdn_sg","CHF","fs"
"296","","2016","","bilanz","gdn_sg","CHF","fs"
"298","","2016","","bilanz","gdn_sg","CHF","fs"
"299","","2016","549398498.24","bilanz","gdn_sg","CHF","fs"
"empty","","2016","","er","gdn_sg","CHF","fs"
"empty","","2016","","er","gdn_sg","CHF","fs"
"empty","","2016","","er","gdn_sg","CHF","fs"
"empty","","2016","","er","gdn_sg","CHF","fs"
"300","","2016","25100138.8","aufwand","gdn_sg","CHF","fs"
"301","","2016","453642121.64","aufwand","gdn_sg","CHF","fs"
"302","","2016","557295804.59","aufwand","gdn_sg","CHF","fs"
"303","","2016","144286.37","aufwand","gdn_sg","CHF","fs"
"304","","2016","784014.2","aufwand","gdn_sg","CHF","fs"
"305","","2016","182782320.91","aufwand","gdn_sg","CHF","fs"
"306","","2016","6330157.58","aufwand","gdn_sg","CHF","fs"
"309","","2016","16807566.05","aufwand","gdn_sg","CHF","fs"
"310","","2016","50827142.58","aufwand","gdn_sg","CHF","fs"
"311","","2016","32321202.75","aufwand","gdn_sg","CHF","fs"
"312","","2016","34992537.94","aufwand","gdn_sg","CHF","fs"
"313","","2016","224506740.89","aufwand","gdn_sg","CHF","fs"
"314","","2016","122539016.69","aufwand","gdn_sg","CHF","fs"
"315","","2016","21681246.53","aufwand","gdn_sg","CHF","fs"
"316","","2016","20897294.22","aufwand","gdn_sg","CHF","fs"
"317","","2016","24026639.59","aufwand","gdn_sg","CHF","fs"
"318","","2016","11834499.96","aufwand","gdn_sg","CHF","fs"
