"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","134321448.57","bilanz","gdn_sh","CHF","fs"
"101","","2017","107817594.05","bilanz","gdn_sh","CHF","fs"
"102","","2017","1285450.1","bilanz","gdn_sh","CHF","fs"
"104","","2017","25052316.74","bilanz","gdn_sh","CHF","fs"
"106","","2017","311719.3","bilanz","gdn_sh","CHF","fs"
"107","","2017","6867097.35","bilanz","gdn_sh","CHF","fs"
"108","","2017","157019090.54","bilanz","gdn_sh","CHF","fs"
"109","","2017","104742.28","bilanz","gdn_sh","CHF","fs"
"140","","2017","250066136.84","bilanz","gdn_sh","CHF","fs"
"141","","2017","","bilanz","gdn_sh","CHF","fs"
"142","","2017","5266483","bilanz","gdn_sh","CHF","fs"
"143","","2017","58633929.28","bilanz","gdn_sh","CHF","fs"
"144","","2017","","bilanz","gdn_sh","CHF","fs"
"145","","2017","","bilanz","gdn_sh","CHF","fs"
"146","","2017","4467969.54","bilanz","gdn_sh","CHF","fs"
"147","","2017","","bilanz","gdn_sh","CHF","fs"
"148","","2017","","bilanz","gdn_sh","CHF","fs"
"200","","2017","111907139.93","bilanz","gdn_sh","CHF","fs"
"201","","2017","29287117.71","bilanz","gdn_sh","CHF","fs"
"204","","2017","32526730.42","bilanz","gdn_sh","CHF","fs"
"205","","2017","","bilanz","gdn_sh","CHF","fs"
"206","","2017","294287765.4","bilanz","gdn_sh","CHF","fs"
"207","","2017","","bilanz","gdn_sh","CHF","fs"
"208","","2017","8577571.3","bilanz","gdn_sh","CHF","fs"
"209","","2017","115331608.05","bilanz","gdn_sh","CHF","fs"
"290","","2017","","bilanz","gdn_sh","CHF","fs"
"292","","2017","","bilanz","gdn_sh","CHF","fs"
"293","","2017","","bilanz","gdn_sh","CHF","fs"
"294","","2017","20382473.64","bilanz","gdn_sh","CHF","fs"
"295","","2017","","bilanz","gdn_sh","CHF","fs"
"296","","2017","","bilanz","gdn_sh","CHF","fs"
"298","","2017","","bilanz","gdn_sh","CHF","fs"
"299","","2017","138913571.14","bilanz","gdn_sh","CHF","fs"
"empty","","2017","","er","gdn_sh","CHF","fs"
"empty","","2017","","er","gdn_sh","CHF","fs"
"empty","","2017","","er","gdn_sh","CHF","fs"
"empty","","2017","","er","gdn_sh","CHF","fs"
"300","","2017","3374639.1","aufwand","gdn_sh","CHF","fs"
"301","","2017","70447149.32","aufwand","gdn_sh","CHF","fs"
"302","","2017","45758266.58","aufwand","gdn_sh","CHF","fs"
"303","","2017","","aufwand","gdn_sh","CHF","fs"
"304","","2017","223822.57","aufwand","gdn_sh","CHF","fs"
"305","","2017","24158321.22","aufwand","gdn_sh","CHF","fs"
"306","","2017","1761440.05","aufwand","gdn_sh","CHF","fs"
"309","","2017","2402497.33","aufwand","gdn_sh","CHF","fs"
"310","","2017","10312031.14","aufwand","gdn_sh","CHF","fs"
"311","","2017","4238349.03","aufwand","gdn_sh","CHF","fs"
"312","","2017","13746577.22","aufwand","gdn_sh","CHF","fs"
"313","","2017","33651671.13","aufwand","gdn_sh","CHF","fs"
"314","","2017","17409145.79","aufwand","gdn_sh","CHF","fs"
"315","","2017","7846061.76","aufwand","gdn_sh","CHF","fs"
"316","","2017","3430337.35","aufwand","gdn_sh","CHF","fs"
"317","","2017","1420473.53","aufwand","gdn_sh","CHF","fs"
"318","","2017","1569607.46","aufwand","gdn_sh","CHF","fs"
"319","","2017","2866490.56","aufwand","gdn_sh","CHF","fs"
"320","","2017","","aufwand","gdn_sh","CHF","fs"
"331","","2017","","aufwand","gdn_sh","CHF","fs"
"337","","2017","37327703.54","aufwand","gdn_sh","CHF","fs"
"338","","2017","2618249.19","aufwand","gdn_sh","CHF","fs"
"340","","2017","5190446.84","aufwand","gdn_sh","CHF","fs"
"341","","2017","15000","aufwand","gdn_sh","CHF","fs"
"342","","2017","","aufwand","gdn_sh","CHF","fs"
"343","","2017","1780788.46","aufwand","gdn_sh","CHF","fs"
"344","","2017","845963.39","aufwand","gdn_sh","CHF","fs"
"349","","2017","392457.69","aufwand","gdn_sh","CHF","fs"
"350","","2017","","aufwand","gdn_sh","CHF","fs"
"351","","2017","","aufwand","gdn_sh","CHF","fs"
"352","","2017","19282558.04","aufwand","gdn_sh","CHF","fs"
"3600","","2017","","aufwand","gdn_sh","CHF","fs"
"36010","","2017","","aufwand","gdn_sh","CHF","fs"
"36011","","2017","","aufwand","gdn_sh","CHF","fs"
"36012","","2017","","aufwand","gdn_sh","CHF","fs"
"36013","","2017","","aufwand","gdn_sh","CHF","fs"
"36014","","2017","","aufwand","gdn_sh","CHF","fs"
"36015","","2017","","aufwand","gdn_sh","CHF","fs"
"36016","","2017","","aufwand","gdn_sh","CHF","fs"
"36017","","2017","","aufwand","gdn_sh","CHF","fs"
"36018","","2017","","aufwand","gdn_sh","CHF","fs"
"36019","","2017","","aufwand","gdn_sh","CHF","fs"
"36021","","2017","","aufwand","gdn_sh","CHF","fs"
"36022","","2017","","aufwand","gdn_sh","CHF","fs"
"36023","","2017","","aufwand","gdn_sh","CHF","fs"
"36029","","2017","","aufwand","gdn_sh","CHF","fs"
"3603","","2017","","aufwand","gdn_sh","CHF","fs"
"3604","","2017","","aufwand","gdn_sh","CHF","fs"
"3610","","2017","","aufwand","gdn_sh","CHF","fs"
"3611","","2017","3673296.86","aufwand","gdn_sh","CHF","fs"
"3612","","2017","","aufwand","gdn_sh","CHF","fs"
"3613","","2017","","aufwand","gdn_sh","CHF","fs"
"3614","","2017","","aufwand","gdn_sh","CHF","fs"
"3620","","2017","","aufwand","gdn_sh","CHF","fs"
"36211","","2017","","aufwand","gdn_sh","CHF","fs"
"36212","","2017","","aufwand","gdn_sh","CHF","fs"
"36213","","2017","","aufwand","gdn_sh","CHF","fs"
"36214","","2017","","aufwand","gdn_sh","CHF","fs"
"36215","","2017","","aufwand","gdn_sh","CHF","fs"
"36216","","2017","","aufwand","gdn_sh","CHF","fs"
"36217","","2017","","aufwand","gdn_sh","CHF","fs"
"36219","","2017","","aufwand","gdn_sh","CHF","fs"
"36221","","2017","","aufwand","gdn_sh","CHF","fs"
"36222","","2017","","aufwand","gdn_sh","CHF","fs"
"36223","","2017","","aufwand","gdn_sh","CHF","fs"
"36224","","2017","","aufwand","gdn_sh","CHF","fs"
"36225","","2017","","aufwand","gdn_sh","CHF","fs"
"36226","","2017","","aufwand","gdn_sh","CHF","fs"
