"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","321202458.79","bilanz","gdn_so","CHF","fs"
"101","","2016","368428396.15","bilanz","gdn_so","CHF","fs"
"102","","2016","10711327.75","bilanz","gdn_so","CHF","fs"
"104","","2016","90363639.82","bilanz","gdn_so","CHF","fs"
"106","","2016","416593.46","bilanz","gdn_so","CHF","fs"
"107","","2016","18334548.24","bilanz","gdn_so","CHF","fs"
"108","","2016","320750904.91","bilanz","gdn_so","CHF","fs"
"109","","2016","112057.44","bilanz","gdn_so","CHF","fs"
"140","","2016","750555246.23","bilanz","gdn_so","CHF","fs"
"141","","2016","","bilanz","gdn_so","CHF","fs"
"142","","2016","6471357.99","bilanz","gdn_so","CHF","fs"
"143","","2016","","bilanz","gdn_so","CHF","fs"
"144","","2016","6012587.45","bilanz","gdn_so","CHF","fs"
"145","","2016","63407621.83","bilanz","gdn_so","CHF","fs"
"146","","2016","71877136.33","bilanz","gdn_so","CHF","fs"
"147","","2016","","bilanz","gdn_so","CHF","fs"
"148","","2016","-6163141.16","bilanz","gdn_so","CHF","fs"
"200","","2016","146363269.3","bilanz","gdn_so","CHF","fs"
"201","","2016","34602808.69","bilanz","gdn_so","CHF","fs"
"204","","2016","73032124.33","bilanz","gdn_so","CHF","fs"
"205","","2016","456265.2","bilanz","gdn_so","CHF","fs"
"206","","2016","877851208.81","bilanz","gdn_so","CHF","fs"
"207","","2016","","bilanz","gdn_so","CHF","fs"
"208","","2016","2159815.74","bilanz","gdn_so","CHF","fs"
"209","","2016","70258412.69","bilanz","gdn_so","CHF","fs"
"290","","2016","259940503.64","bilanz","gdn_so","CHF","fs"
"292","","2016","","bilanz","gdn_so","CHF","fs"
"293","","2016","55675111.29","bilanz","gdn_so","CHF","fs"
"294","","2016","","bilanz","gdn_so","CHF","fs"
"295","","2016","8438385.28","bilanz","gdn_so","CHF","fs"
"296","","2016","148625903.32","bilanz","gdn_so","CHF","fs"
"298","","2016","","bilanz","gdn_so","CHF","fs"
"299","","2016","345076926.96","bilanz","gdn_so","CHF","fs"
"empty","","2016","","er","gdn_so","CHF","fs"
