"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","154469697.68","bilanz","gdn_sz","CHF","fs"
"101","","2022","183841311.64","bilanz","gdn_sz","CHF","fs"
"102","","2022","63007969.99","bilanz","gdn_sz","CHF","fs"
"104","","2022","19206978.66","bilanz","gdn_sz","CHF","fs"
"106","","2022","916704.38","bilanz","gdn_sz","CHF","fs"
"107","","2022","16824570.1","bilanz","gdn_sz","CHF","fs"
"108","","2022","360654253.44","bilanz","gdn_sz","CHF","fs"
"109","","2022","","bilanz","gdn_sz","CHF","fs"
"140","","2022","691393219.83","bilanz","gdn_sz","CHF","fs"
"141","","2022","","bilanz","gdn_sz","CHF","fs"
"142","","2022","358673.96","bilanz","gdn_sz","CHF","fs"
"143","","2022","","bilanz","gdn_sz","CHF","fs"
"144","","2022","10240000","bilanz","gdn_sz","CHF","fs"
"145","","2022","36999395","bilanz","gdn_sz","CHF","fs"
"146","","2022","63595570.95","bilanz","gdn_sz","CHF","fs"
"147","","2022","","bilanz","gdn_sz","CHF","fs"
"148","","2022","-17037271.04","bilanz","gdn_sz","CHF","fs"
"200","","2022","160430263.5","bilanz","gdn_sz","CHF","fs"
"201","","2022","83312856.41","bilanz","gdn_sz","CHF","fs"
"204","","2022","9872290.54","bilanz","gdn_sz","CHF","fs"
"205","","2022","19292786.62","bilanz","gdn_sz","CHF","fs"
"206","","2022","427399033.96","bilanz","gdn_sz","CHF","fs"
"207","","2022","","bilanz","gdn_sz","CHF","fs"
"208","","2022","8172099.45","bilanz","gdn_sz","CHF","fs"
"209","","2022","11465358.14","bilanz","gdn_sz","CHF","fs"
"290","","2022","45949826.52","bilanz","gdn_sz","CHF","fs"
"292","","2022","","bilanz","gdn_sz","CHF","fs"
"293","","2022","","bilanz","gdn_sz","CHF","fs"
"294","","2022","","bilanz","gdn_sz","CHF","fs"
"295","","2022","","bilanz","gdn_sz","CHF","fs"
"296","","2022","127918514.85","bilanz","gdn_sz","CHF","fs"
"298","","2022","","bilanz","gdn_sz","CHF","fs"
"299","","2022","690658044.6","bilanz","gdn_sz","CHF","fs"
"empty","","2022","","er","gdn_sz","CHF","fs"
"empty","","2022","","er","gdn_sz","CHF","fs"
"empty","","2022","","er","gdn_sz","CHF","fs"
"empty","","2022","","er","gdn_sz","CHF","fs"
"300","","2022","10407328.65","aufwand","gdn_sz","CHF","fs"
"301","","2022","107419976.02","aufwand","gdn_sz","CHF","fs"
"302","","2022","158739226.18","aufwand","gdn_sz","CHF","fs"
"303","","2022","1428739.25","aufwand","gdn_sz","CHF","fs"
"304","","2022","1541255.2","aufwand","gdn_sz","CHF","fs"
"305","","2022","51058687.8","aufwand","gdn_sz","CHF","fs"
"306","","2022","1119165.85","aufwand","gdn_sz","CHF","fs"
"309","","2022","4582160.24","aufwand","gdn_sz","CHF","fs"
"310","","2022","14723475.37","aufwand","gdn_sz","CHF","fs"
"311","","2022","10075872.09","aufwand","gdn_sz","CHF","fs"
"312","","2022","11751454.49","aufwand","gdn_sz","CHF","fs"
"313","","2022","71875170.82","aufwand","gdn_sz","CHF","fs"
"314","","2022","32654365.59","aufwand","gdn_sz","CHF","fs"
"315","","2022","10387993.33","aufwand","gdn_sz","CHF","fs"
"316","","2022","9819139.12","aufwand","gdn_sz","CHF","fs"
"317","","2022","3494070.97","aufwand","gdn_sz","CHF","fs"
"318","","2022","1956710.78","aufwand","gdn_sz","CHF","fs"
"319","","2022","3096669.02","aufwand","gdn_sz","CHF","fs"
"320","","2022","","aufwand","gdn_sz","CHF","fs"
"331","","2022","","aufwand","gdn_sz","CHF","fs"
"337","","2022","43378441.94","aufwand","gdn_sz","CHF","fs"
"338","","2022","676438.35","aufwand","gdn_sz","CHF","fs"
"340","","2022","2805828.41","aufwand","gdn_sz","CHF","fs"
"341","","2022","2361.49","aufwand","gdn_sz","CHF","fs"
"342","","2022","10615.69","aufwand","gdn_sz","CHF","fs"
"343","","2022","1524107.77","aufwand","gdn_sz","CHF","fs"
"344","","2022","1923796.56","aufwand","gdn_sz","CHF","fs"
"349","","2022","1715276.84","aufwand","gdn_sz","CHF","fs"
"350","","2022","38272","aufwand","gdn_sz","CHF","fs"
"351","","2022","7847339.93","aufwand","gdn_sz","CHF","fs"
"352","","2022","","aufwand","gdn_sz","CHF","fs"
"3600","","2022","","aufwand","gdn_sz","CHF","fs"
