"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","387812591.94","bilanz","gdn_tg","CHF","fs"
"101","","2020","333866037.53","bilanz","gdn_tg","CHF","fs"
"102","","2020","783529.3","bilanz","gdn_tg","CHF","fs"
"104","","2020","48337250.43","bilanz","gdn_tg","CHF","fs"
"106","","2020","827624.22","bilanz","gdn_tg","CHF","fs"
"107","","2020","69513258.16","bilanz","gdn_tg","CHF","fs"
"108","","2020","490763191.23","bilanz","gdn_tg","CHF","fs"
"109","","2020","115051.87","bilanz","gdn_tg","CHF","fs"
"140","","2020","1420092067.02","bilanz","gdn_tg","CHF","fs"
"141","","2020","4500","bilanz","gdn_tg","CHF","fs"
"142","","2020","8963576.13","bilanz","gdn_tg","CHF","fs"
"143","","2020","","bilanz","gdn_tg","CHF","fs"
"144","","2020","32469261.72","bilanz","gdn_tg","CHF","fs"
"145","","2020","17415125.22","bilanz","gdn_tg","CHF","fs"
"146","","2020","61460629.34","bilanz","gdn_tg","CHF","fs"
"147","","2020","","bilanz","gdn_tg","CHF","fs"
"148","","2020","-12417413.23","bilanz","gdn_tg","CHF","fs"
"200","","2020","371308958.04","bilanz","gdn_tg","CHF","fs"
"201","","2020","127937380.84","bilanz","gdn_tg","CHF","fs"
"204","","2020","29695744.34","bilanz","gdn_tg","CHF","fs"
"205","","2020","7090846.1","bilanz","gdn_tg","CHF","fs"
"206","","2020","943993549.46","bilanz","gdn_tg","CHF","fs"
"207","","2020","","bilanz","gdn_tg","CHF","fs"
"208","","2020","16636717.53","bilanz","gdn_tg","CHF","fs"
"209","","2020","16962525.55","bilanz","gdn_tg","CHF","fs"
"290","","2020","429777260.95","bilanz","gdn_tg","CHF","fs"
"292","","2020","597335.41","bilanz","gdn_tg","CHF","fs"
"293","","2020","81322905.25","bilanz","gdn_tg","CHF","fs"
"294","","2020","","bilanz","gdn_tg","CHF","fs"
"295","","2020","","bilanz","gdn_tg","CHF","fs"
"296","","2020","158783222.74","bilanz","gdn_tg","CHF","fs"
"298","","2020","12748806.64","bilanz","gdn_tg","CHF","fs"
"299","","2020","663151028.03","bilanz","gdn_tg","CHF","fs"
"empty","","2020","","er","gdn_tg","CHF","fs"
"empty","","2020","","er","gdn_tg","CHF","fs"
"empty","","2020","","er","gdn_tg","CHF","fs"
"empty","","2020","","er","gdn_tg","CHF","fs"
"300","","2020","16801701.13","aufwand","gdn_tg","CHF","fs"
"301","","2020","195628377.48","aufwand","gdn_tg","CHF","fs"
"302","","2020","285323751.38","aufwand","gdn_tg","CHF","fs"
"303","","2020","778828.85","aufwand","gdn_tg","CHF","fs"
"304","","2020","4648759.51","aufwand","gdn_tg","CHF","fs"
"305","","2020","94328829.2099999","aufwand","gdn_tg","CHF","fs"
"306","","2020","763384.75","aufwand","gdn_tg","CHF","fs"
"309","","2020","6947962.29","aufwand","gdn_tg","CHF","fs"
"310","","2020","72068263.43","aufwand","gdn_tg","CHF","fs"
"311","","2020","22645045.42","aufwand","gdn_tg","CHF","fs"
"312","","2020","46906129.52","aufwand","gdn_tg","CHF","fs"
"313","","2020","133621447.21","aufwand","gdn_tg","CHF","fs"
"314","","2020","77784844.43","aufwand","gdn_tg","CHF","fs"
"315","","2020","13738423.12","aufwand","gdn_tg","CHF","fs"
"316","","2020","10728888.03","aufwand","gdn_tg","CHF","fs"
"317","","2020","8413732.8","aufwand","gdn_tg","CHF","fs"
"318","","2020","5524965.1","aufwand","gdn_tg","CHF","fs"
"319","","2020","8424119.32","aufwand","gdn_tg","CHF","fs"
"320","","2020","","aufwand","gdn_tg","CHF","fs"
"331","","2020","","aufwand","gdn_tg","CHF","fs"
"337","","2020","85893774.49","aufwand","gdn_tg","CHF","fs"
"338","","2020","1923636.48","aufwand","gdn_tg","CHF","fs"
"340","","2020","6963325.09","aufwand","gdn_tg","CHF","fs"
"341","","2020","45765.63","aufwand","gdn_tg","CHF","fs"
"342","","2020","47535.68","aufwand","gdn_tg","CHF","fs"
"343","","2020","4233465.79","aufwand","gdn_tg","CHF","fs"
"344","","2020","2000258.03","aufwand","gdn_tg","CHF","fs"
"349","","2020","69724.48","aufwand","gdn_tg","CHF","fs"
"350","","2020","305047.91","aufwand","gdn_tg","CHF","fs"
"351","","2020","39635962.13","aufwand","gdn_tg","CHF","fs"
"352","","2020","","aufwand","gdn_tg","CHF","fs"
"3600","","2020","","aufwand","gdn_tg","CHF","fs"
"36010","","2020","","aufwand","gdn_tg","CHF","fs"
"36011","","2020","","aufwand","gdn_tg","CHF","fs"
"36012","","2020","","aufwand","gdn_tg","CHF","fs"
"36013","","2020","","aufwand","gdn_tg","CHF","fs"
"36014","","2020","","aufwand","gdn_tg","CHF","fs"
"36015","","2020","","aufwand","gdn_tg","CHF","fs"
"36016","","2020","","aufwand","gdn_tg","CHF","fs"
