"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","379956915.74","bilanz","gdn_ti","CHF","fs"
"101","","2016","930389895.18","bilanz","gdn_ti","CHF","fs"
"102","","2016","17028918.98","bilanz","gdn_ti","CHF","fs"
"104","","2016","57968470.08","bilanz","gdn_ti","CHF","fs"
"106","","2016","696507.11","bilanz","gdn_ti","CHF","fs"
"107","","2016","75284110.8","bilanz","gdn_ti","CHF","fs"
"108","","2016","257675637.06","bilanz","gdn_ti","CHF","fs"
"109","","2016","4800","bilanz","gdn_ti","CHF","fs"
"140","","2016","1614014436.31","bilanz","gdn_ti","CHF","fs"
"141","","2016","1","bilanz","gdn_ti","CHF","fs"
"142","","2016","3601114.57","bilanz","gdn_ti","CHF","fs"
"143","","2016","503596287.98","bilanz","gdn_ti","CHF","fs"
"144","","2016","","bilanz","gdn_ti","CHF","fs"
"145","","2016","","bilanz","gdn_ti","CHF","fs"
"146","","2016","230669902.18","bilanz","gdn_ti","CHF","fs"
"147","","2016","","bilanz","gdn_ti","CHF","fs"
"148","","2016","","bilanz","gdn_ti","CHF","fs"
"200","","2016","260419949.29","bilanz","gdn_ti","CHF","fs"
"201","","2016","145445228.68","bilanz","gdn_ti","CHF","fs"
"204","","2016","72968164.67","bilanz","gdn_ti","CHF","fs"
"205","","2016","","bilanz","gdn_ti","CHF","fs"
"206","","2016","2722644659.21","bilanz","gdn_ti","CHF","fs"
"207","","2016","","bilanz","gdn_ti","CHF","fs"
"208","","2016","59182320.11","bilanz","gdn_ti","CHF","fs"
"209","","2016","93706222.58","bilanz","gdn_ti","CHF","fs"
"290","","2016","20373.98","bilanz","gdn_ti","CHF","fs"
"292","","2016","","bilanz","gdn_ti","CHF","fs"
"293","","2016","66234659.74","bilanz","gdn_ti","CHF","fs"
"294","","2016","","bilanz","gdn_ti","CHF","fs"
"295","","2016","","bilanz","gdn_ti","CHF","fs"
"296","","2016","","bilanz","gdn_ti","CHF","fs"
"298","","2016","","bilanz","gdn_ti","CHF","fs"
"299","","2016","650265418.72","bilanz","gdn_ti","CHF","fs"
"empty","","2016","","er","gdn_ti","CHF","fs"
"empty","","2016","","er","gdn_ti","CHF","fs"
"empty","","2016","","er","gdn_ti","CHF","fs"
"empty","","2016","","er","gdn_ti","CHF","fs"
"300","","2016","11986976.92","aufwand","gdn_ti","CHF","fs"
"301","","2016","360720212.82","aufwand","gdn_ti","CHF","fs"
"302","","2016","129939436.29","aufwand","gdn_ti","CHF","fs"
"303","","2016","1706937.41","aufwand","gdn_ti","CHF","fs"
"304","","2016","1291718.66","aufwand","gdn_ti","CHF","fs"
"305","","2016","99613513.2300001","aufwand","gdn_ti","CHF","fs"
"306","","2016","3536321.08","aufwand","gdn_ti","CHF","fs"
"309","","2016","2556432.86","aufwand","gdn_ti","CHF","fs"
"310","","2016","28103456.23","aufwand","gdn_ti","CHF","fs"
"311","","2016","8689975.64","aufwand","gdn_ti","CHF","fs"
"312","","2016","38932241.9","aufwand","gdn_ti","CHF","fs"
"313","","2016","185823060.49","aufwand","gdn_ti","CHF","fs"
"314","","2016","60947374.32","aufwand","gdn_ti","CHF","fs"
"315","","2016","16167721.53","aufwand","gdn_ti","CHF","fs"
"316","","2016","14299040.17","aufwand","gdn_ti","CHF","fs"
"317","","2016","3591005.68","aufwand","gdn_ti","CHF","fs"
"318","","2016","16427707.9","aufwand","gdn_ti","CHF","fs"
"319","","2016","11232169.04","aufwand","gdn_ti","CHF","fs"
"320","","2016","","aufwand","gdn_ti","CHF","fs"
"331","","2016","","aufwand","gdn_ti","CHF","fs"
"337","","2016","170219927.17","aufwand","gdn_ti","CHF","fs"
"338","","2016","24251949.9","aufwand","gdn_ti","CHF","fs"
"340","","2016","45546689.94","aufwand","gdn_ti","CHF","fs"
"341","","2016","2030106.1","aufwand","gdn_ti","CHF","fs"
"342","","2016","","aufwand","gdn_ti","CHF","fs"
"343","","2016","1146760","aufwand","gdn_ti","CHF","fs"
"344","","2016","2583445.7","aufwand","gdn_ti","CHF","fs"
"349","","2016","514718.08","aufwand","gdn_ti","CHF","fs"
"350","","2016","","aufwand","gdn_ti","CHF","fs"
"351","","2016","","aufwand","gdn_ti","CHF","fs"
"352","","2016","3326871.92","aufwand","gdn_ti","CHF","fs"
"3600","","2016","","aufwand","gdn_ti","CHF","fs"
"36010","","2016","","aufwand","gdn_ti","CHF","fs"
"36011","","2016","","aufwand","gdn_ti","CHF","fs"
"36012","","2016","","aufwand","gdn_ti","CHF","fs"
"36013","","2016","","aufwand","gdn_ti","CHF","fs"
"36014","","2016","","aufwand","gdn_ti","CHF","fs"
"36015","","2016","","aufwand","gdn_ti","CHF","fs"
"36016","","2016","","aufwand","gdn_ti","CHF","fs"
"36017","","2016","","aufwand","gdn_ti","CHF","fs"
"36018","","2016","","aufwand","gdn_ti","CHF","fs"
"36019","","2016","","aufwand","gdn_ti","CHF","fs"
"36021","","2016","","aufwand","gdn_ti","CHF","fs"
"36022","","2016","","aufwand","gdn_ti","CHF","fs"
"36023","","2016","","aufwand","gdn_ti","CHF","fs"
"36029","","2016","","aufwand","gdn_ti","CHF","fs"
"3603","","2016","","aufwand","gdn_ti","CHF","fs"
"3604","","2016","","aufwand","gdn_ti","CHF","fs"
"3610","","2016","","aufwand","gdn_ti","CHF","fs"
"3611","","2016","6271596.73","aufwand","gdn_ti","CHF","fs"
"3612","","2016","","aufwand","gdn_ti","CHF","fs"
"3613","","2016","","aufwand","gdn_ti","CHF","fs"
"3614","","2016","","aufwand","gdn_ti","CHF","fs"
"3620","","2016","","aufwand","gdn_ti","CHF","fs"
"36211","","2016","","aufwand","gdn_ti","CHF","fs"
"36212","","2016","","aufwand","gdn_ti","CHF","fs"
"36213","","2016","","aufwand","gdn_ti","CHF","fs"
"36214","","2016","","aufwand","gdn_ti","CHF","fs"
"36215","","2016","3e+06","aufwand","gdn_ti","CHF","fs"
"36216","","2016","","aufwand","gdn_ti","CHF","fs"
"36217","","2016","","aufwand","gdn_ti","CHF","fs"
"36219","","2016","","aufwand","gdn_ti","CHF","fs"
"36221","","2016","","aufwand","gdn_ti","CHF","fs"
"36222","","2016","","aufwand","gdn_ti","CHF","fs"
"36223","","2016","","aufwand","gdn_ti","CHF","fs"
"36224","","2016","","aufwand","gdn_ti","CHF","fs"
"36225","","2016","","aufwand","gdn_ti","CHF","fs"
"36226","","2016","","aufwand","gdn_ti","CHF","fs"
"36227","","2016","","aufwand","gdn_ti","CHF","fs"
"36228","","2016","","aufwand","gdn_ti","CHF","fs"
"3624","","2016","","aufwand","gdn_ti","CHF","fs"
"3629","","2016","","aufwand","gdn_ti","CHF","fs"
"3630","","2016","","aufwand","gdn_ti","CHF","fs"
"3631","","2016","193343373.11","aufwand","gdn_ti","CHF","fs"
"3632","","2016","","aufwand","gdn_ti","CHF","fs"
"3633","","2016","","aufwand","gdn_ti","CHF","fs"
"3634","","2016","124498486.07","aufwand","gdn_ti","CHF","fs"
"3635","","2016","16086458.96","aufwand","gdn_ti","CHF","fs"
"3636","","2016","71936369.95","aufwand","gdn_ti","CHF","fs"
"3637","","2016","8509903.22","aufwand","gdn_ti","CHF","fs"
"3638","","2016","86871.23","aufwand","gdn_ti","CHF","fs"
"3639","","2016","952045.08","aufwand","gdn_ti","CHF","fs"
"364","","2016","","aufwand","gdn_ti","CHF","fs"
"365","","2016","","aufwand","gdn_ti","CHF","fs"
"366","","2016","","aufwand","gdn_ti","CHF","fs"
"369","","2016","","aufwand","gdn_ti","CHF","fs"
"380","","2016","735076.2","aufwand","gdn_ti","CHF","fs"
"381","","2016","","aufwand","gdn_ti","CHF","fs"
"383","","2016","","aufwand","gdn_ti","CHF","fs"
"384","","2016","","aufwand","gdn_ti","CHF","fs"
"3860","","2016","","aufwand","gdn_ti","CHF","fs"
"3861","","2016","","aufwand","gdn_ti","CHF","fs"
"3862","","2016","","aufwand","gdn_ti","CHF","fs"
"3863","","2016","","aufwand","gdn_ti","CHF","fs"
"3864","","2016","","aufwand","gdn_ti","CHF","fs"
"3865","","2016","","aufwand","gdn_ti","CHF","fs"
"3866","","2016","","aufwand","gdn_ti","CHF","fs"
"3867","","2016","","aufwand","gdn_ti","CHF","fs"
"3868","","2016","","aufwand","gdn_ti","CHF","fs"
"387","","2016","","aufwand","gdn_ti","CHF","fs"
"389","","2016","23569408.92","aufwand","gdn_ti","CHF","fs"
"4000","","2016","741613000","ertrag","gdn_ti","CHF","fs"
"4001","","2016","86820000","ertrag","gdn_ti","CHF","fs"
"4002","","2016","111773000","ertrag","gdn_ti","CHF","fs"
"4008","","2016","","ertrag","gdn_ti","CHF","fs"
"4009","","2016","","ertrag","gdn_ti","CHF","fs"
"4010","","2016","207930000","ertrag","gdn_ti","CHF","fs"
"4011","","2016","25087000","ertrag","gdn_ti","CHF","fs"
"4012","","2016","","ertrag","gdn_ti","CHF","fs"
"4019","","2016","","ertrag","gdn_ti","CHF","fs"
"4020","","2016","","ertrag","gdn_ti","CHF","fs"
"4021","","2016","51592000","ertrag","gdn_ti","CHF","fs"
"4022","","2016","","ertrag","gdn_ti","CHF","fs"
"4023","","2016","","ertrag","gdn_ti","CHF","fs"
"4024","","2016","","ertrag","gdn_ti","CHF","fs"
"4025","","2016","","ertrag","gdn_ti","CHF","fs"
"4030","","2016","","ertrag","gdn_ti","CHF","fs"
"4031","","2016","","ertrag","gdn_ti","CHF","fs"
"4032","","2016","","ertrag","gdn_ti","CHF","fs"
"4033","","2016","","ertrag","gdn_ti","CHF","fs"
"4039","","2016","","ertrag","gdn_ti","CHF","fs"
"4040","","2016","","ertrag","gdn_ti","CHF","fs"
"4041","","2016","","ertrag","gdn_ti","CHF","fs"
"4042","","2016","","ertrag","gdn_ti","CHF","fs"
"4043","","2016","","ertrag","gdn_ti","CHF","fs"
"4044","","2016","","ertrag","gdn_ti","CHF","fs"
"4045","","2016","","ertrag","gdn_ti","CHF","fs"
"4046","","2016","","ertrag","gdn_ti","CHF","fs"
"4047","","2016","","ertrag","gdn_ti","CHF","fs"
"4049","","2016","","ertrag","gdn_ti","CHF","fs"
"4050","","2016","","ertrag","gdn_ti","CHF","fs"
"4051","","2016","","ertrag","gdn_ti","CHF","fs"
"4052","","2016","","ertrag","gdn_ti","CHF","fs"
"4053","","2016","","ertrag","gdn_ti","CHF","fs"
"4059","","2016","","ertrag","gdn_ti","CHF","fs"
"4060","","2016","","ertrag","gdn_ti","CHF","fs"
"4070","","2016","","ertrag","gdn_ti","CHF","fs"
"4071","","2016","","ertrag","gdn_ti","CHF","fs"
"4072","","2016","","ertrag","gdn_ti","CHF","fs"
"4079","","2016","","ertrag","gdn_ti","CHF","fs"
"410","","2016","","ertrag","gdn_ti","CHF","fs"
"411","","2016","","ertrag","gdn_ti","CHF","fs"
"412","","2016","20976971.48","ertrag","gdn_ti","CHF","fs"
"413","","2016","","ertrag","gdn_ti","CHF","fs"
"420","","2016","1711959.42","ertrag","gdn_ti","CHF","fs"
"421","","2016","17066233.99","ertrag","gdn_ti","CHF","fs"
"422","","2016","360561.96","ertrag","gdn_ti","CHF","fs"
"423","","2016","1422181.25","ertrag","gdn_ti","CHF","fs"
"424","","2016","107664734.88","ertrag","gdn_ti","CHF","fs"
"425","","2016","4331846.67","ertrag","gdn_ti","CHF","fs"
"426","","2016","72281947.71","ertrag","gdn_ti","CHF","fs"
"427","","2016","18865672","ertrag","gdn_ti","CHF","fs"
"429","","2016","","ertrag","gdn_ti","CHF","fs"
"430","","2016","","ertrag","gdn_ti","CHF","fs"
"431","","2016","1156061.8","ertrag","gdn_ti","CHF","fs"
"432","","2016","","ertrag","gdn_ti","CHF","fs"
"439","","2016","21000","ertrag","gdn_ti","CHF","fs"
"440","","2016","18238088.62","ertrag","gdn_ti","CHF","fs"
"441","","2016","2308176.62","ertrag","gdn_ti","CHF","fs"
"442","","2016","","ertrag","gdn_ti","CHF","fs"
"443","","2016","11727064.73","ertrag","gdn_ti","CHF","fs"
"444","","2016","267603.93","ertrag","gdn_ti","CHF","fs"
"445","","2016","31534.65","ertrag","gdn_ti","CHF","fs"
"446","","2016","19293090.44","ertrag","gdn_ti","CHF","fs"
"447","","2016","53487259.09","ertrag","gdn_ti","CHF","fs"
"448","","2016","","ertrag","gdn_ti","CHF","fs"
"449","","2016","","ertrag","gdn_ti","CHF","fs"
"450","","2016","","ertrag","gdn_ti","CHF","fs"
"451","","2016","","ertrag","gdn_ti","CHF","fs"
"452","","2016","1064956.98","ertrag","gdn_ti","CHF","fs"
"46000","","2016","","ertrag","gdn_ti","CHF","fs"
"46001","","2016","","ertrag","gdn_ti","CHF","fs"
"46002","","2016","","ertrag","gdn_ti","CHF","fs"
"46003","","2016","","ertrag","gdn_ti","CHF","fs"
"46004","","2016","","ertrag","gdn_ti","CHF","fs"
"46005","","2016","","ertrag","gdn_ti","CHF","fs"
"46006","","2016","","ertrag","gdn_ti","CHF","fs"
"46007","","2016","","ertrag","gdn_ti","CHF","fs"
"46008","","2016","","ertrag","gdn_ti","CHF","fs"
"46009","","2016","","ertrag","gdn_ti","CHF","fs"
"46010","","2016","38495735.97","ertrag","gdn_ti","CHF","fs"
"46011","","2016","104394.4","ertrag","gdn_ti","CHF","fs"
"46012","","2016","58079.33","ertrag","gdn_ti","CHF","fs"
"46019","","2016","","ertrag","gdn_ti","CHF","fs"
"4603","","2016","","ertrag","gdn_ti","CHF","fs"
"4604","","2016","","ertrag","gdn_ti","CHF","fs"
"4610","","2016","","ertrag","gdn_ti","CHF","fs"
"4611","","2016","1070145","ertrag","gdn_ti","CHF","fs"
"4612","","2016","","ertrag","gdn_ti","CHF","fs"
"4613","","2016","","ertrag","gdn_ti","CHF","fs"
"4614","","2016","","ertrag","gdn_ti","CHF","fs"
"46201","","2016","","ertrag","gdn_ti","CHF","fs"
"46202","","2016","","ertrag","gdn_ti","CHF","fs"
"46203","","2016","","ertrag","gdn_ti","CHF","fs"
"46204","","2016","","ertrag","gdn_ti","CHF","fs"
"46209","","2016","","ertrag","gdn_ti","CHF","fs"
"46211","","2016","","ertrag","gdn_ti","CHF","fs"
"46212","","2016","","ertrag","gdn_ti","CHF","fs"
"46213","","2016","18160000","ertrag","gdn_ti","CHF","fs"
"46214","","2016","","ertrag","gdn_ti","CHF","fs"
"46215","","2016","","ertrag","gdn_ti","CHF","fs"
"46216","","2016","","ertrag","gdn_ti","CHF","fs"
"46217","","2016","","ertrag","gdn_ti","CHF","fs"
"46225","","2016","","ertrag","gdn_ti","CHF","fs"
"46226","","2016","","ertrag","gdn_ti","CHF","fs"
"46227","","2016","","ertrag","gdn_ti","CHF","fs"
"46228","","2016","","ertrag","gdn_ti","CHF","fs"
"4624","","2016","","ertrag","gdn_ti","CHF","fs"
"4629","","2016","","ertrag","gdn_ti","CHF","fs"
"4630","","2016","","ertrag","gdn_ti","CHF","fs"
"4631","","2016","41974534.24","ertrag","gdn_ti","CHF","fs"
"4632","","2016","","ertrag","gdn_ti","CHF","fs"
"4633","","2016","","ertrag","gdn_ti","CHF","fs"
"4634","","2016","1968757.78","ertrag","gdn_ti","CHF","fs"
"4635","","2016","","ertrag","gdn_ti","CHF","fs"
"4636","","2016","","ertrag","gdn_ti","CHF","fs"
"4637","","2016","","ertrag","gdn_ti","CHF","fs"
"4638","","2016","","ertrag","gdn_ti","CHF","fs"
"466","","2016","","ertrag","gdn_ti","CHF","fs"
"469","","2016","257295.05","ertrag","gdn_ti","CHF","fs"
"481","","2016","","ertrag","gdn_ti","CHF","fs"
"482","","2016","","ertrag","gdn_ti","CHF","fs"
"483","","2016","","ertrag","gdn_ti","CHF","fs"
"484","","2016","","ertrag","gdn_ti","CHF","fs"
"485","","2016","","ertrag","gdn_ti","CHF","fs"
"4860","","2016","","ertrag","gdn_ti","CHF","fs"
"4861","","2016","","ertrag","gdn_ti","CHF","fs"
"4862","","2016","","ertrag","gdn_ti","CHF","fs"
"4863","","2016","","ertrag","gdn_ti","CHF","fs"
"4864","","2016","","ertrag","gdn_ti","CHF","fs"
"4865","","2016","","ertrag","gdn_ti","CHF","fs"
"4866","","2016","","ertrag","gdn_ti","CHF","fs"
"4867","","2016","","ertrag","gdn_ti","CHF","fs"
"4868","","2016","","ertrag","gdn_ti","CHF","fs"
"4870","","2016","","ertrag","gdn_ti","CHF","fs"
"489","","2016","1765051.62","ertrag","gdn_ti","CHF","fs"
"empty","","2016","","fir","gdn_ti","CHF","fs"
"empty","","2016","","fir","gdn_ti","CHF","fs"
"empty","","2016","","fir","gdn_ti","CHF","fs"
"empty","","2016","","fir","gdn_ti","CHF","fs"
"empty","","2016","","fir","gdn_ti","CHF","fs"
"300","","2016","11986976.92","ausgaben","gdn_ti","CHF","fs"
"301","","2016","360720212.82","ausgaben","gdn_ti","CHF","fs"
"302","","2016","129939436.29","ausgaben","gdn_ti","CHF","fs"
"303","","2016","1706937.41","ausgaben","gdn_ti","CHF","fs"
"304","","2016","1291718.66","ausgaben","gdn_ti","CHF","fs"
"305","","2016","99613513.2300001","ausgaben","gdn_ti","CHF","fs"
"306","","2016","3536321.08","ausgaben","gdn_ti","CHF","fs"
"309","","2016","2556432.86","ausgaben","gdn_ti","CHF","fs"
"310","","2016","28103456.23","ausgaben","gdn_ti","CHF","fs"
"311","","2016","8689975.64","ausgaben","gdn_ti","CHF","fs"
"312","","2016","38932241.9","ausgaben","gdn_ti","CHF","fs"
"313","","2016","185823060.49","ausgaben","gdn_ti","CHF","fs"
"314","","2016","60947374.32","ausgaben","gdn_ti","CHF","fs"
"315","","2016","16167721.53","ausgaben","gdn_ti","CHF","fs"
"316","","2016","14299040.17","ausgaben","gdn_ti","CHF","fs"
"317","","2016","3591005.68","ausgaben","gdn_ti","CHF","fs"
"318","","2016","16381365.7","ausgaben","gdn_ti","CHF","fs"
"319","","2016","11232169.04","ausgaben","gdn_ti","CHF","fs"
"320","","2016","","ausgaben","gdn_ti","CHF","fs"
"340","","2016","45546689.94","ausgaben","gdn_ti","CHF","fs"
"341","","2016","2030106.1","ausgaben","gdn_ti","CHF","fs"
"342","","2016","","ausgaben","gdn_ti","CHF","fs"
"343","","2016","1146760","ausgaben","gdn_ti","CHF","fs"
"349","","2016","514718.08","ausgaben","gdn_ti","CHF","fs"
"3600","","2016","","ausgaben","gdn_ti","CHF","fs"
"36010","","2016","","ausgaben","gdn_ti","CHF","fs"
"36011","","2016","","ausgaben","gdn_ti","CHF","fs"
"36012","","2016","","ausgaben","gdn_ti","CHF","fs"
"36013","","2016","","ausgaben","gdn_ti","CHF","fs"
"36014","","2016","","ausgaben","gdn_ti","CHF","fs"
"36015","","2016","","ausgaben","gdn_ti","CHF","fs"
"36016","","2016","","ausgaben","gdn_ti","CHF","fs"
"36017","","2016","","ausgaben","gdn_ti","CHF","fs"
"36018","","2016","","ausgaben","gdn_ti","CHF","fs"
"36019","","2016","","ausgaben","gdn_ti","CHF","fs"
"36021","","2016","","ausgaben","gdn_ti","CHF","fs"
"36022","","2016","","ausgaben","gdn_ti","CHF","fs"
"36023","","2016","","ausgaben","gdn_ti","CHF","fs"
"36029","","2016","","ausgaben","gdn_ti","CHF","fs"
"3603","","2016","","ausgaben","gdn_ti","CHF","fs"
"3604","","2016","","ausgaben","gdn_ti","CHF","fs"
"3610","","2016","","ausgaben","gdn_ti","CHF","fs"
"3611","","2016","6271596.73","ausgaben","gdn_ti","CHF","fs"
"3612","","2016","","ausgaben","gdn_ti","CHF","fs"
"3613","","2016","","ausgaben","gdn_ti","CHF","fs"
"3614","","2016","","ausgaben","gdn_ti","CHF","fs"
"3620","","2016","","ausgaben","gdn_ti","CHF","fs"
"36211","","2016","","ausgaben","gdn_ti","CHF","fs"
"36212","","2016","","ausgaben","gdn_ti","CHF","fs"
"36213","","2016","","ausgaben","gdn_ti","CHF","fs"
"36214","","2016","","ausgaben","gdn_ti","CHF","fs"
"36215","","2016","3e+06","ausgaben","gdn_ti","CHF","fs"
"36216","","2016","","ausgaben","gdn_ti","CHF","fs"
"36217","","2016","","ausgaben","gdn_ti","CHF","fs"
"36219","","2016","","ausgaben","gdn_ti","CHF","fs"
"36221","","2016","","ausgaben","gdn_ti","CHF","fs"
"36222","","2016","","ausgaben","gdn_ti","CHF","fs"
"36223","","2016","","ausgaben","gdn_ti","CHF","fs"
"36224","","2016","","ausgaben","gdn_ti","CHF","fs"
"36225","","2016","","ausgaben","gdn_ti","CHF","fs"
"36226","","2016","","ausgaben","gdn_ti","CHF","fs"
"36227","","2016","","ausgaben","gdn_ti","CHF","fs"
"36228","","2016","","ausgaben","gdn_ti","CHF","fs"
"3624","","2016","","ausgaben","gdn_ti","CHF","fs"
"3629","","2016","","ausgaben","gdn_ti","CHF","fs"
"3630","","2016","","ausgaben","gdn_ti","CHF","fs"
"3631","","2016","193343373.11","ausgaben","gdn_ti","CHF","fs"
"3632","","2016","","ausgaben","gdn_ti","CHF","fs"
