"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","27428054.32","bilanz","gdn_ur","CHF","fs"
"101","","2019","13264181.82","bilanz","gdn_ur","CHF","fs"
"102","","2019","22966.25","bilanz","gdn_ur","CHF","fs"
"104","","2019","2291757.86","bilanz","gdn_ur","CHF","fs"
"106","","2019","152371.55","bilanz","gdn_ur","CHF","fs"
"107","","2019","5265081.86","bilanz","gdn_ur","CHF","fs"
"108","","2019","30626256.9","bilanz","gdn_ur","CHF","fs"
"109","","2019","","bilanz","gdn_ur","CHF","fs"
"140","","2019","68558445.5","bilanz","gdn_ur","CHF","fs"
"141","","2019","","bilanz","gdn_ur","CHF","fs"
"142","","2019","78735.9","bilanz","gdn_ur","CHF","fs"
"143","","2019","","bilanz","gdn_ur","CHF","fs"
"144","","2019","1507728","bilanz","gdn_ur","CHF","fs"
"145","","2019","15682661.35","bilanz","gdn_ur","CHF","fs"
"146","","2019","1006694.8","bilanz","gdn_ur","CHF","fs"
"147","","2019","","bilanz","gdn_ur","CHF","fs"
"148","","2019","","bilanz","gdn_ur","CHF","fs"
"200","","2019","12041070.85","bilanz","gdn_ur","CHF","fs"
"201","","2019","2480445.21","bilanz","gdn_ur","CHF","fs"
"204","","2019","2338508.65","bilanz","gdn_ur","CHF","fs"
"205","","2019","350500","bilanz","gdn_ur","CHF","fs"
"206","","2019","69603651.95","bilanz","gdn_ur","CHF","fs"
"207","","2019","","bilanz","gdn_ur","CHF","fs"
"208","","2019","1010205.3","bilanz","gdn_ur","CHF","fs"
"209","","2019","2775253.5","bilanz","gdn_ur","CHF","fs"
"290","","2019","8818179.43","bilanz","gdn_ur","CHF","fs"
"292","","2019","","bilanz","gdn_ur","CHF","fs"
"293","","2019","14915303.75","bilanz","gdn_ur","CHF","fs"
"294","","2019","1200000","bilanz","gdn_ur","CHF","fs"
"295","","2019","","bilanz","gdn_ur","CHF","fs"
"296","","2019","32000","bilanz","gdn_ur","CHF","fs"
"298","","2019","","bilanz","gdn_ur","CHF","fs"
"299","","2019","50319817.47","bilanz","gdn_ur","CHF","fs"
"empty","","2019","","er","gdn_ur","CHF","fs"
"empty","","2019","","er","gdn_ur","CHF","fs"
"empty","","2019","","er","gdn_ur","CHF","fs"
"empty","","2019","","er","gdn_ur","CHF","fs"
"300","","2019","1911004.1","aufwand","gdn_ur","CHF","fs"
"301","","2019","18265919.39","aufwand","gdn_ur","CHF","fs"
"302","","2019","35571152.25","aufwand","gdn_ur","CHF","fs"
"303","","2019","","aufwand","gdn_ur","CHF","fs"
"304","","2019","52672.85","aufwand","gdn_ur","CHF","fs"
"305","","2019","10471288.91","aufwand","gdn_ur","CHF","fs"
"306","","2019","615171.8","aufwand","gdn_ur","CHF","fs"
"309","","2019","401066.63","aufwand","gdn_ur","CHF","fs"
"310","","2019","2748529.08","aufwand","gdn_ur","CHF","fs"
"311","","2019","1982841.22","aufwand","gdn_ur","CHF","fs"
"312","","2019","2320994.37","aufwand","gdn_ur","CHF","fs"
"313","","2019","7279263.54","aufwand","gdn_ur","CHF","fs"
"314","","2019","4831474.07","aufwand","gdn_ur","CHF","fs"
"315","","2019","1557726.57","aufwand","gdn_ur","CHF","fs"
"316","","2019","438954.95","aufwand","gdn_ur","CHF","fs"
"317","","2019","403794.89","aufwand","gdn_ur","CHF","fs"
"318","","2019","413476.95","aufwand","gdn_ur","CHF","fs"
"319","","2019","938347.1","aufwand","gdn_ur","CHF","fs"
"320","","2019","","aufwand","gdn_ur","CHF","fs"
"331","","2019","","aufwand","gdn_ur","CHF","fs"
"337","","2019","7221699.9","aufwand","gdn_ur","CHF","fs"
"338","","2019","","aufwand","gdn_ur","CHF","fs"
"340","","2019","471520.91","aufwand","gdn_ur","CHF","fs"
"341","","2019","","aufwand","gdn_ur","CHF","fs"
"342","","2019","","aufwand","gdn_ur","CHF","fs"
"343","","2019","276918.46","aufwand","gdn_ur","CHF","fs"
"344","","2019","130171","aufwand","gdn_ur","CHF","fs"
"349","","2019","72173.85","aufwand","gdn_ur","CHF","fs"
"350","","2019","45714.36","aufwand","gdn_ur","CHF","fs"
"351","","2019","354024.51","aufwand","gdn_ur","CHF","fs"
"352","","2019","","aufwand","gdn_ur","CHF","fs"
"3600","","2019","","aufwand","gdn_ur","CHF","fs"
"36010","","2019","","aufwand","gdn_ur","CHF","fs"
"36011","","2019","","aufwand","gdn_ur","CHF","fs"
"36012","","2019","","aufwand","gdn_ur","CHF","fs"
"36013","","2019","","aufwand","gdn_ur","CHF","fs"
"36014","","2019","","aufwand","gdn_ur","CHF","fs"
"36015","","2019","","aufwand","gdn_ur","CHF","fs"
"36016","","2019","","aufwand","gdn_ur","CHF","fs"
"36017","","2019","","aufwand","gdn_ur","CHF","fs"
"36018","","2019","","aufwand","gdn_ur","CHF","fs"
"36019","","2019","","aufwand","gdn_ur","CHF","fs"
"36021","","2019","","aufwand","gdn_ur","CHF","fs"
"36022","","2019","","aufwand","gdn_ur","CHF","fs"
"36023","","2019","","aufwand","gdn_ur","CHF","fs"
"36029","","2019","","aufwand","gdn_ur","CHF","fs"
