"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","262307486.45","bilanz","gdn_vs","CHF","fs"
"101","","2015","375835264.29","bilanz","gdn_vs","CHF","fs"
"102","","2015","2386494.38","bilanz","gdn_vs","CHF","fs"
"104","","2015","475696271.68","bilanz","gdn_vs","CHF","fs"
"106","","2015","1449108.87","bilanz","gdn_vs","CHF","fs"
"107","","2015","245634610.81","bilanz","gdn_vs","CHF","fs"
"108","","2015","469584762.56","bilanz","gdn_vs","CHF","fs"
"109","","2015","43713462.33","bilanz","gdn_vs","CHF","fs"
"140","","2015","1804248757.53","bilanz","gdn_vs","CHF","fs"
"141","","2015","","bilanz","gdn_vs","CHF","fs"
"142","","2015","","bilanz","gdn_vs","CHF","fs"
"143","","2015","137686233.18","bilanz","gdn_vs","CHF","fs"
"144","","2015","","bilanz","gdn_vs","CHF","fs"
"145","","2015","","bilanz","gdn_vs","CHF","fs"
"146","","2015","39049411.61","bilanz","gdn_vs","CHF","fs"
"147","","2015","","bilanz","gdn_vs","CHF","fs"
"148","","2015","","bilanz","gdn_vs","CHF","fs"
"200","","2015","293111072.87","bilanz","gdn_vs","CHF","fs"
"201","","2015","-12591277.17","bilanz","gdn_vs","CHF","fs"
"204","","2015","196803360","bilanz","gdn_vs","CHF","fs"
"205","","2015","","bilanz","gdn_vs","CHF","fs"
"206","","2015","1406172110.53","bilanz","gdn_vs","CHF","fs"
"207","","2015","","bilanz","gdn_vs","CHF","fs"
"208","","2015","145831001.81","bilanz","gdn_vs","CHF","fs"
"209","","2015","242261080.44","bilanz","gdn_vs","CHF","fs"
"290","","2015","7684148","bilanz","gdn_vs","CHF","fs"
"292","","2015","","bilanz","gdn_vs","CHF","fs"
"293","","2015","92606667.99","bilanz","gdn_vs","CHF","fs"
"294","","2015","","bilanz","gdn_vs","CHF","fs"
"295","","2015","","bilanz","gdn_vs","CHF","fs"
"296","","2015","","bilanz","gdn_vs","CHF","fs"
"298","","2015","","bilanz","gdn_vs","CHF","fs"
