"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","133018008.36","bilanz","gdn_zg","CHF","fs"
"101","","2016","79656269.15","bilanz","gdn_zg","CHF","fs"
"102","","2016","13515782.85","bilanz","gdn_zg","CHF","fs"
"104","","2016","64157467.09","bilanz","gdn_zg","CHF","fs"
"106","","2016","51616.44","bilanz","gdn_zg","CHF","fs"
"107","","2016","172696062","bilanz","gdn_zg","CHF","fs"
"108","","2016","340309937.8","bilanz","gdn_zg","CHF","fs"
"109","","2016","54016.9","bilanz","gdn_zg","CHF","fs"
"140","","2016","519658881.73","bilanz","gdn_zg","CHF","fs"
"141","","2016","","bilanz","gdn_zg","CHF","fs"
"142","","2016","444107.82","bilanz","gdn_zg","CHF","fs"
"143","","2016","","bilanz","gdn_zg","CHF","fs"
"144","","2016","6827600.9","bilanz","gdn_zg","CHF","fs"
"145","","2016","17408799","bilanz","gdn_zg","CHF","fs"
"146","","2016","9365011.23","bilanz","gdn_zg","CHF","fs"
"147","","2016","","bilanz","gdn_zg","CHF","fs"
"148","","2016","-7463267.39","bilanz","gdn_zg","CHF","fs"
"200","","2016","89562296.59","bilanz","gdn_zg","CHF","fs"
"201","","2016","22709670.25","bilanz","gdn_zg","CHF","fs"
"204","","2016","38359029.38","bilanz","gdn_zg","CHF","fs"
"205","","2016","9222649.12","bilanz","gdn_zg","CHF","fs"
"206","","2016","154177540","bilanz","gdn_zg","CHF","fs"
"207","","2016","","bilanz","gdn_zg","CHF","fs"
"208","","2016","51857619.51","bilanz","gdn_zg","CHF","fs"
"209","","2016","3431102.18","bilanz","gdn_zg","CHF","fs"
"290","","2016","38533267.74","bilanz","gdn_zg","CHF","fs"
"292","","2016","","bilanz","gdn_zg","CHF","fs"
"293","","2016","39641892.05","bilanz","gdn_zg","CHF","fs"
"294","","2016","187436542.74","bilanz","gdn_zg","CHF","fs"
"295","","2016","","bilanz","gdn_zg","CHF","fs"
"296","","2016","202826139.38","bilanz","gdn_zg","CHF","fs"
"298","","2016","","bilanz","gdn_zg","CHF","fs"
"299","","2016","511942544.94","bilanz","gdn_zg","CHF","fs"
"empty","","2016","","er","gdn_zg","CHF","fs"
"empty","","2016","","er","gdn_zg","CHF","fs"
"empty","","2016","","er","gdn_zg","CHF","fs"
"empty","","2016","","er","gdn_zg","CHF","fs"
"300","","2016","6589193.75","aufwand","gdn_zg","CHF","fs"
"301","","2016","112197214.04","aufwand","gdn_zg","CHF","fs"
"302","","2016","152704113.35","aufwand","gdn_zg","CHF","fs"
"303","","2016","516375.72","aufwand","gdn_zg","CHF","fs"
"304","","2016","136659","aufwand","gdn_zg","CHF","fs"
"305","","2016","55970222","aufwand","gdn_zg","CHF","fs"
"306","","2016","2906710.65","aufwand","gdn_zg","CHF","fs"
"309","","2016","4210267.63","aufwand","gdn_zg","CHF","fs"
"310","","2016","13553012.79","aufwand","gdn_zg","CHF","fs"
"311","","2016","7131666.94","aufwand","gdn_zg","CHF","fs"
"312","","2016","9628029.64","aufwand","gdn_zg","CHF","fs"
"313","","2016","52114083.54","aufwand","gdn_zg","CHF","fs"
"314","","2016","28109584.5","aufwand","gdn_zg","CHF","fs"
"315","","2016","6558028.19","aufwand","gdn_zg","CHF","fs"
"316","","2016","4464158","aufwand","gdn_zg","CHF","fs"
"317","","2016","4108735.98","aufwand","gdn_zg","CHF","fs"
"318","","2016","691936.98","aufwand","gdn_zg","CHF","fs"
"319","","2016","2120733.75","aufwand","gdn_zg","CHF","fs"
"320","","2016","","aufwand","gdn_zg","CHF","fs"
"331","","2016","","aufwand","gdn_zg","CHF","fs"
"337","","2016","45567393.89","aufwand","gdn_zg","CHF","fs"
"338","","2016","72914.2","aufwand","gdn_zg","CHF","fs"
"340","","2016","2002320.88","aufwand","gdn_zg","CHF","fs"
"341","","2016","48769.71","aufwand","gdn_zg","CHF","fs"
"342","","2016","","aufwand","gdn_zg","CHF","fs"
"343","","2016","1684475.41","aufwand","gdn_zg","CHF","fs"
"344","","2016","","aufwand","gdn_zg","CHF","fs"
"349","","2016","694533.57","aufwand","gdn_zg","CHF","fs"
"350","","2016","0.55","aufwand","gdn_zg","CHF","fs"
"351","","2016","992539.06","aufwand","gdn_zg","CHF","fs"
"352","","2016","","aufwand","gdn_zg","CHF","fs"
"3600","","2016","","aufwand","gdn_zg","CHF","fs"
"36010","","2016","","aufwand","gdn_zg","CHF","fs"
"36011","","2016","","aufwand","gdn_zg","CHF","fs"
"36012","","2016","","aufwand","gdn_zg","CHF","fs"
"36013","","2016","","aufwand","gdn_zg","CHF","fs"
"36014","","2016","","aufwand","gdn_zg","CHF","fs"
"36015","","2016","","aufwand","gdn_zg","CHF","fs"
"36016","","2016","","aufwand","gdn_zg","CHF","fs"
"36017","","2016","","aufwand","gdn_zg","CHF","fs"
"36018","","2016","","aufwand","gdn_zg","CHF","fs"
"36019","","2016","","aufwand","gdn_zg","CHF","fs"
"36021","","2016","","aufwand","gdn_zg","CHF","fs"
"36022","","2016","","aufwand","gdn_zg","CHF","fs"
"36023","","2016","","aufwand","gdn_zg","CHF","fs"
"36029","","2016","","aufwand","gdn_zg","CHF","fs"
"3603","","2016","","aufwand","gdn_zg","CHF","fs"
"3604","","2016","","aufwand","gdn_zg","CHF","fs"
"3610","","2016","","aufwand","gdn_zg","CHF","fs"
"3611","","2016","1196243.15","aufwand","gdn_zg","CHF","fs"
"3612","","2016","","aufwand","gdn_zg","CHF","fs"
"3613","","2016","","aufwand","gdn_zg","CHF","fs"
"3614","","2016","","aufwand","gdn_zg","CHF","fs"
"3620","","2016","","aufwand","gdn_zg","CHF","fs"
"36211","","2016","","aufwand","gdn_zg","CHF","fs"
"36212","","2016","","aufwand","gdn_zg","CHF","fs"
"36213","","2016","","aufwand","gdn_zg","CHF","fs"
"36214","","2016","","aufwand","gdn_zg","CHF","fs"
"36215","","2016","34985755","aufwand","gdn_zg","CHF","fs"
"36216","","2016","","aufwand","gdn_zg","CHF","fs"
"36217","","2016","","aufwand","gdn_zg","CHF","fs"
"36219","","2016","","aufwand","gdn_zg","CHF","fs"
"36221","","2016","","aufwand","gdn_zg","CHF","fs"
"36222","","2016","","aufwand","gdn_zg","CHF","fs"
"36223","","2016","","aufwand","gdn_zg","CHF","fs"
"36224","","2016","","aufwand","gdn_zg","CHF","fs"
"36225","","2016","","aufwand","gdn_zg","CHF","fs"
"36226","","2016","","aufwand","gdn_zg","CHF","fs"
"36227","","2016","","aufwand","gdn_zg","CHF","fs"
"36228","","2016","","aufwand","gdn_zg","CHF","fs"
"3624","","2016","","aufwand","gdn_zg","CHF","fs"
"3629","","2016","","aufwand","gdn_zg","CHF","fs"
"3630","","2016","","aufwand","gdn_zg","CHF","fs"
"3631","","2016","26945346.97","aufwand","gdn_zg","CHF","fs"
"3632","","2016","","aufwand","gdn_zg","CHF","fs"
"3633","","2016","","aufwand","gdn_zg","CHF","fs"
"3634","","2016","25283211.35","aufwand","gdn_zg","CHF","fs"
"3635","","2016","1635386.8","aufwand","gdn_zg","CHF","fs"
"3636","","2016","31879472.09","aufwand","gdn_zg","CHF","fs"
"3637","","2016","32793709.76","aufwand","gdn_zg","CHF","fs"
"3638","","2016","185000","aufwand","gdn_zg","CHF","fs"
"3639","","2016","225894.35","aufwand","gdn_zg","CHF","fs"
"364","","2016","","aufwand","gdn_zg","CHF","fs"
"365","","2016","","aufwand","gdn_zg","CHF","fs"
"366","","2016","4156658.91","aufwand","gdn_zg","CHF","fs"
"369","","2016","","aufwand","gdn_zg","CHF","fs"
"380","","2016","","aufwand","gdn_zg","CHF","fs"
"381","","2016","","aufwand","gdn_zg","CHF","fs"
"383","","2016","4648368.95","aufwand","gdn_zg","CHF","fs"
"384","","2016","","aufwand","gdn_zg","CHF","fs"
"3860","","2016","","aufwand","gdn_zg","CHF","fs"
"3861","","2016","","aufwand","gdn_zg","CHF","fs"
"3862","","2016","","aufwand","gdn_zg","CHF","fs"
"3863","","2016","","aufwand","gdn_zg","CHF","fs"
"3864","","2016","","aufwand","gdn_zg","CHF","fs"
"3865","","2016","","aufwand","gdn_zg","CHF","fs"
"3866","","2016","","aufwand","gdn_zg","CHF","fs"
"3867","","2016","","aufwand","gdn_zg","CHF","fs"
"3868","","2016","","aufwand","gdn_zg","CHF","fs"
"387","","2016","2351631.05","aufwand","gdn_zg","CHF","fs"
"389","","2016","12540000","aufwand","gdn_zg","CHF","fs"
"4000","","2016","225261159.55","ertrag","gdn_zg","CHF","fs"
"4001","","2016","71179999.6","ertrag","gdn_zg","CHF","fs"
"4002","","2016","24413787.32","ertrag","gdn_zg","CHF","fs"
"4008","","2016","","ertrag","gdn_zg","CHF","fs"
"4009","","2016","6215846.26","ertrag","gdn_zg","CHF","fs"
"4010","","2016","151534956.35","ertrag","gdn_zg","CHF","fs"
"4011","","2016","19635000.1","ertrag","gdn_zg","CHF","fs"
"4012","","2016","","ertrag","gdn_zg","CHF","fs"
"4019","","2016","","ertrag","gdn_zg","CHF","fs"
"4020","","2016","","ertrag","gdn_zg","CHF","fs"
"4021","","2016","","ertrag","gdn_zg","CHF","fs"
"4022","","2016","26824219.77","ertrag","gdn_zg","CHF","fs"
"4023","","2016","","ertrag","gdn_zg","CHF","fs"
"4024","","2016","9861482.2","ertrag","gdn_zg","CHF","fs"
"4025","","2016","","ertrag","gdn_zg","CHF","fs"
"4030","","2016","","ertrag","gdn_zg","CHF","fs"
"4031","","2016","","ertrag","gdn_zg","CHF","fs"
"4032","","2016","","ertrag","gdn_zg","CHF","fs"
"4033","","2016","399980.05","ertrag","gdn_zg","CHF","fs"
"4039","","2016","","ertrag","gdn_zg","CHF","fs"
"4040","","2016","","ertrag","gdn_zg","CHF","fs"
"4041","","2016","","ertrag","gdn_zg","CHF","fs"
"4042","","2016","","ertrag","gdn_zg","CHF","fs"
"4043","","2016","","ertrag","gdn_zg","CHF","fs"
"4044","","2016","","ertrag","gdn_zg","CHF","fs"
"4045","","2016","","ertrag","gdn_zg","CHF","fs"
"4046","","2016","","ertrag","gdn_zg","CHF","fs"
"4047","","2016","","ertrag","gdn_zg","CHF","fs"
"4049","","2016","","ertrag","gdn_zg","CHF","fs"
"4050","","2016","","ertrag","gdn_zg","CHF","fs"
"4051","","2016","","ertrag","gdn_zg","CHF","fs"
"4052","","2016","","ertrag","gdn_zg","CHF","fs"
"4053","","2016","","ertrag","gdn_zg","CHF","fs"
"4059","","2016","","ertrag","gdn_zg","CHF","fs"
"4060","","2016","","ertrag","gdn_zg","CHF","fs"
"4070","","2016","","ertrag","gdn_zg","CHF","fs"
"4071","","2016","","ertrag","gdn_zg","CHF","fs"
"4072","","2016","","ertrag","gdn_zg","CHF","fs"
"4079","","2016","","ertrag","gdn_zg","CHF","fs"
"410","","2016","52010","ertrag","gdn_zg","CHF","fs"
"411","","2016","","ertrag","gdn_zg","CHF","fs"
"412","","2016","1509171.88","ertrag","gdn_zg","CHF","fs"
"413","","2016","","ertrag","gdn_zg","CHF","fs"
"420","","2016","3517502.27","ertrag","gdn_zg","CHF","fs"
"421","","2016","9084361.37","ertrag","gdn_zg","CHF","fs"
"422","","2016","","ertrag","gdn_zg","CHF","fs"
"423","","2016","4926633.85","ertrag","gdn_zg","CHF","fs"
"424","","2016","37198409.97","ertrag","gdn_zg","CHF","fs"
"425","","2016","1510073.22","ertrag","gdn_zg","CHF","fs"
"426","","2016","33159074.77","ertrag","gdn_zg","CHF","fs"
"427","","2016","550914.48","ertrag","gdn_zg","CHF","fs"
"429","","2016","29330.4","ertrag","gdn_zg","CHF","fs"
"430","","2016","63781.86","ertrag","gdn_zg","CHF","fs"
"431","","2016","","ertrag","gdn_zg","CHF","fs"
"432","","2016","","ertrag","gdn_zg","CHF","fs"
"439","","2016","899880.55","ertrag","gdn_zg","CHF","fs"
"440","","2016","1695415.09","ertrag","gdn_zg","CHF","fs"
"441","","2016","35000","ertrag","gdn_zg","CHF","fs"
"442","","2016","3815215","ertrag","gdn_zg","CHF","fs"
"443","","2016","8150387.2","ertrag","gdn_zg","CHF","fs"
"444","","2016","","ertrag","gdn_zg","CHF","fs"
"445","","2016","61293.9","ertrag","gdn_zg","CHF","fs"
"446","","2016","1187675","ertrag","gdn_zg","CHF","fs"
"447","","2016","16668435.17","ertrag","gdn_zg","CHF","fs"
"448","","2016","449928.05","ertrag","gdn_zg","CHF","fs"
"449","","2016","","ertrag","gdn_zg","CHF","fs"
"450","","2016","760125.29","ertrag","gdn_zg","CHF","fs"
"451","","2016","2198684.99","ertrag","gdn_zg","CHF","fs"
"452","","2016","","ertrag","gdn_zg","CHF","fs"
"46000","","2016","","ertrag","gdn_zg","CHF","fs"
"46001","","2016","","ertrag","gdn_zg","CHF","fs"
"46002","","2016","","ertrag","gdn_zg","CHF","fs"
"46003","","2016","","ertrag","gdn_zg","CHF","fs"
"46004","","2016","","ertrag","gdn_zg","CHF","fs"
"46005","","2016","","ertrag","gdn_zg","CHF","fs"
"46006","","2016","","ertrag","gdn_zg","CHF","fs"
"46007","","2016","","ertrag","gdn_zg","CHF","fs"
"46008","","2016","","ertrag","gdn_zg","CHF","fs"
"46009","","2016","","ertrag","gdn_zg","CHF","fs"
"46010","","2016","","ertrag","gdn_zg","CHF","fs"
"46011","","2016","","ertrag","gdn_zg","CHF","fs"
"46012","","2016","","ertrag","gdn_zg","CHF","fs"
"46019","","2016","","ertrag","gdn_zg","CHF","fs"
"4603","","2016","","ertrag","gdn_zg","CHF","fs"
"4604","","2016","","ertrag","gdn_zg","CHF","fs"
"4610","","2016","","ertrag","gdn_zg","CHF","fs"
"4611","","2016","1355365.2","ertrag","gdn_zg","CHF","fs"
"4612","","2016","","ertrag","gdn_zg","CHF","fs"
"4613","","2016","","ertrag","gdn_zg","CHF","fs"
"4614","","2016","7456","ertrag","gdn_zg","CHF","fs"
"46201","","2016","","ertrag","gdn_zg","CHF","fs"
"46202","","2016","","ertrag","gdn_zg","CHF","fs"
"46203","","2016","","ertrag","gdn_zg","CHF","fs"
"46204","","2016","","ertrag","gdn_zg","CHF","fs"
"46209","","2016","","ertrag","gdn_zg","CHF","fs"
"46211","","2016","","ertrag","gdn_zg","CHF","fs"
"46212","","2016","","ertrag","gdn_zg","CHF","fs"
"46213","","2016","","ertrag","gdn_zg","CHF","fs"
"46214","","2016","","ertrag","gdn_zg","CHF","fs"
"46215","","2016","4500000","ertrag","gdn_zg","CHF","fs"
"46216","","2016","","ertrag","gdn_zg","CHF","fs"
"46217","","2016","","ertrag","gdn_zg","CHF","fs"
"46225","","2016","","ertrag","gdn_zg","CHF","fs"
"46226","","2016","","ertrag","gdn_zg","CHF","fs"
"46227","","2016","","ertrag","gdn_zg","CHF","fs"
"46228","","2016","","ertrag","gdn_zg","CHF","fs"
"4624","","2016","","ertrag","gdn_zg","CHF","fs"
"4629","","2016","","ertrag","gdn_zg","CHF","fs"
"4630","","2016","","ertrag","gdn_zg","CHF","fs"
"4631","","2016","84102559.57","ertrag","gdn_zg","CHF","fs"
"4632","","2016","","ertrag","gdn_zg","CHF","fs"
"4633","","2016","","ertrag","gdn_zg","CHF","fs"
"4634","","2016","1066936.85","ertrag","gdn_zg","CHF","fs"
"4635","","2016","","ertrag","gdn_zg","CHF","fs"
"4636","","2016","86104.15","ertrag","gdn_zg","CHF","fs"
"4637","","2016","","ertrag","gdn_zg","CHF","fs"
"4638","","2016","","ertrag","gdn_zg","CHF","fs"
