"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","1963672359.25","bilanz","gdn_zh","CHF","fs"
"101","","2016","2271838850.35","bilanz","gdn_zh","CHF","fs"
"102","","2016","140539495.15","bilanz","gdn_zh","CHF","fs"
"104","","2016","418313885.38","bilanz","gdn_zh","CHF","fs"
"106","","2016","128304418.25","bilanz","gdn_zh","CHF","fs"
"107","","2016","647538742.98","bilanz","gdn_zh","CHF","fs"
"108","","2016","6349079339.14","bilanz","gdn_zh","CHF","fs"
"109","","2016","198202480.95","bilanz","gdn_zh","CHF","fs"
"140","","2016","12984974379.62","bilanz","gdn_zh","CHF","fs"
"141","","2016","","bilanz","gdn_zh","CHF","fs"
"142","","2016","64971937.36","bilanz","gdn_zh","CHF","fs"
"143","","2016","1045517993.41","bilanz","gdn_zh","CHF","fs"
"144","","2016","37117935.09","bilanz","gdn_zh","CHF","fs"
"145","","2016","193245737.59","bilanz","gdn_zh","CHF","fs"
"146","","2016","434771432","bilanz","gdn_zh","CHF","fs"
"147","","2016","","bilanz","gdn_zh","CHF","fs"
"148","","2016","","bilanz","gdn_zh","CHF","fs"
"200","","2016","3466804302.1","bilanz","gdn_zh","CHF","fs"
"201","","2016","1025863038.12","bilanz","gdn_zh","CHF","fs"
"204","","2016","470398761.87","bilanz","gdn_zh","CHF","fs"
"205","","2016","109305281.62","bilanz","gdn_zh","CHF","fs"
"206","","2016","9036928586.52","bilanz","gdn_zh","CHF","fs"
"207","","2016","","bilanz","gdn_zh","CHF","fs"
"208","","2016","1188933841.77","bilanz","gdn_zh","CHF","fs"
"209","","2016","4255362223.25","bilanz","gdn_zh","CHF","fs"
"290","","2016","850805581.35","bilanz","gdn_zh","CHF","fs"
"292","","2016","6234153.69","bilanz","gdn_zh","CHF","fs"
"293","","2016","20772116.06","bilanz","gdn_zh","CHF","fs"
"294","","2016","","bilanz","gdn_zh","CHF","fs"
"295","","2016","","bilanz","gdn_zh","CHF","fs"
"296","","2016","296369701.84","bilanz","gdn_zh","CHF","fs"
