"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2023","10113182963.59","bilanz","ktn","CHF","fs"
"101","","2023","23149694293.4","bilanz","ktn","CHF","fs"
"102","","2023","6606831460.42","bilanz","ktn","CHF","fs"
"104","","2023","10132589067.51","bilanz","ktn","CHF","fs"
"106","","2023","195678635.67","bilanz","ktn","CHF","fs"
"107","","2023","9756672172.08","bilanz","ktn","CHF","fs"
"108","","2023","7643298790.21","bilanz","ktn","CHF","fs"
"109","","2023","410012763.36","bilanz","ktn","CHF","fs"
"140","","2023","45200891263.75","bilanz","ktn","CHF","fs"
"141","","2023","788074.15","bilanz","ktn","CHF","fs"
"142","","2023","864974288.88","bilanz","ktn","CHF","fs"
"143","","2023","272141422.6","bilanz","ktn","CHF","fs"
"144","","2023","5518684212.6","bilanz","ktn","CHF","fs"
"145","","2023","15261277265.51","bilanz","ktn","CHF","fs"
"146","","2023","7538111382.8","bilanz","ktn","CHF","fs"
"147","","2023","","bilanz","ktn","CHF","fs"
"148","","2023","-230001348.59","bilanz","ktn","CHF","fs"
"200","","2023","21390098269.78","bilanz","ktn","CHF","fs"
"201","","2023","7074410238.48","bilanz","ktn","CHF","fs"
"204","","2023","14665012157.4","bilanz","ktn","CHF","fs"
"205","","2023","2120290419.98","bilanz","ktn","CHF","fs"
"206","","2023","41455515904.46","bilanz","ktn","CHF","fs"
"207","","2023","","bilanz","ktn","CHF","fs"
"208","","2023","3693866124.23","bilanz","ktn","CHF","fs"
"209","","2023","3321524191.82","bilanz","ktn","CHF","fs"
"290","","2023","7178301533.88","bilanz","ktn","CHF","fs"
"292","","2023","1003278627.84","bilanz","ktn","CHF","fs"
"293","","2023","2521232555.04","bilanz","ktn","CHF","fs"
"294","","2023","2451206428.45","bilanz","ktn","CHF","fs"
"295","","2023","2878089887.3","bilanz","ktn","CHF","fs"
"296","","2023","1324429082.92","bilanz","ktn","CHF","fs"
"298","","2023","1555927874.75","bilanz","ktn","CHF","fs"
"299","","2023","29801643411.61","bilanz","ktn","CHF","fs"
"empty","","2023","","er","ktn","CHF","fs"
"empty","","2023","","er","ktn","CHF","fs"
"empty","","2023","","er","ktn","CHF","fs"
"empty","","2023","","er","ktn","CHF","fs"
"300","","2023","419912078.7","aufwand","ktn","CHF","fs"
"301","","2023","12653441265.93","aufwand","ktn","CHF","fs"
"302","","2023","13720494090.13","aufwand","ktn","CHF","fs"
"303","","2023","170900482.67","aufwand","ktn","CHF","fs"
"304","","2023","254679526.62","aufwand","ktn","CHF","fs"
"305","","2023","5535540701.47","aufwand","ktn","CHF","fs"
"306","","2023","105088418.38","aufwand","ktn","CHF","fs"
"309","","2023","268026999.1","aufwand","ktn","CHF","fs"
"310","","2023","981885940.41","aufwand","ktn","CHF","fs"
"311","","2023","542127269.04","aufwand","ktn","CHF","fs"
"312","","2023","466121317.61","aufwand","ktn","CHF","fs"
"313","","2023","4314969552.44","aufwand","ktn","CHF","fs"
"314","","2023","1222805524.82","aufwand","ktn","CHF","fs"
"315","","2023","636508666.71","aufwand","ktn","CHF","fs"
"316","","2023","1299712318.39","aufwand","ktn","CHF","fs"
"317","","2023","278527606.67","aufwand","ktn","CHF","fs"
"318","","2023","852655513.77","aufwand","ktn","CHF","fs"
"319","","2023","651654457.06","aufwand","ktn","CHF","fs"
"320","","2023","","aufwand","ktn","CHF","fs"
"331","","2023","","aufwand","ktn","CHF","fs"
"337","","2023","3029820322.93","aufwand","ktn","CHF","fs"
"338","","2023","67527596.47","aufwand","ktn","CHF","fs"
"340","","2023","512977210.82","aufwand","ktn","CHF","fs"
"341","","2023","35786145.75","aufwand","ktn","CHF","fs"
"342","","2023","11022055.99","aufwand","ktn","CHF","fs"
"343","","2023","101973249.24","aufwand","ktn","CHF","fs"
"344","","2023","153033981.45","aufwand","ktn","CHF","fs"
"349","","2023","41994422.13","aufwand","ktn","CHF","fs"
"350","","2023","258089867.38","aufwand","ktn","CHF","fs"
"351","","2023","620632491.75","aufwand","ktn","CHF","fs"
"352","","2023","184877.7","aufwand","ktn","CHF","fs"
"3600","","2023","","aufwand","ktn","CHF","fs"
"36010","","2023","","aufwand","ktn","CHF","fs"
"36011","","2023","","aufwand","ktn","CHF","fs"
"36012","","2023","","aufwand","ktn","CHF","fs"
"36013","","2023","","aufwand","ktn","CHF","fs"
"36014","","2023","","aufwand","ktn","CHF","fs"
"36015","","2023","","aufwand","ktn","CHF","fs"
"36016","","2023","","aufwand","ktn","CHF","fs"
"36017","","2023","","aufwand","ktn","CHF","fs"
"36018","","2023","","aufwand","ktn","CHF","fs"
"36019","","2023","","aufwand","ktn","CHF","fs"
"36021","","2023","992896946.45","aufwand","ktn","CHF","fs"
"36022","","2023","1532088.3","aufwand","ktn","CHF","fs"
"36023","","2023","5866339.23","aufwand","ktn","CHF","fs"
"36029","","2023","190320797.89","aufwand","ktn","CHF","fs"
"3603","","2023","","aufwand","ktn","CHF","fs"
"3604","","2023","630913.5","aufwand","ktn","CHF","fs"
"3610","","2023","","aufwand","ktn","CHF","fs"
"3611","","2023","","aufwand","ktn","CHF","fs"
