"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","26443032.79","bilanz","ktn_ai","CHF","fs"
"101","","2019","73632973.08","bilanz","ktn_ai","CHF","fs"
"102","","2019","1.5e+07","bilanz","ktn_ai","CHF","fs"
"104","","2019","1455465.95","bilanz","ktn_ai","CHF","fs"
"106","","2019","140333.05","bilanz","ktn_ai","CHF","fs"
"107","","2019","29465794.85","bilanz","ktn_ai","CHF","fs"
"108","","2019","16435400","bilanz","ktn_ai","CHF","fs"
"109","","2019","","bilanz","ktn_ai","CHF","fs"
"140","","2019","26711538.14","bilanz","ktn_ai","CHF","fs"
"141","","2019","","bilanz","ktn_ai","CHF","fs"
"142","","2019","","bilanz","ktn_ai","CHF","fs"
"143","","2019","","bilanz","ktn_ai","CHF","fs"
"144","","2019","30387628.1","bilanz","ktn_ai","CHF","fs"
"145","","2019","1748256","bilanz","ktn_ai","CHF","fs"
"146","","2019","4265421.47","bilanz","ktn_ai","CHF","fs"
"147","","2019","","bilanz","ktn_ai","CHF","fs"
"148","","2019","-3765753.77","bilanz","ktn_ai","CHF","fs"
"200","","2019","29318454.65","bilanz","ktn_ai","CHF","fs"
"201","","2019","1500000","bilanz","ktn_ai","CHF","fs"
"204","","2019","6971158.64","bilanz","ktn_ai","CHF","fs"
"205","","2019","","bilanz","ktn_ai","CHF","fs"
"206","","2019","27748590.7","bilanz","ktn_ai","CHF","fs"
"207","","2019","","bilanz","ktn_ai","CHF","fs"
"208","","2019","320000","bilanz","ktn_ai","CHF","fs"
"209","","2019","2414172.15","bilanz","ktn_ai","CHF","fs"
"290","","2019","37228751.99","bilanz","ktn_ai","CHF","fs"
"292","","2019","","bilanz","ktn_ai","CHF","fs"
"293","","2019","27252480.45","bilanz","ktn_ai","CHF","fs"
"294","","2019","","bilanz","ktn_ai","CHF","fs"
"295","","2019","","bilanz","ktn_ai","CHF","fs"
"296","","2019","10819695","bilanz","ktn_ai","CHF","fs"
"298","","2019","","bilanz","ktn_ai","CHF","fs"
"299","","2019","78346786.08","bilanz","ktn_ai","CHF","fs"
"empty","","2019","","er","ktn_ai","CHF","fs"
"empty","","2019","","er","ktn_ai","CHF","fs"
"empty","","2019","","er","ktn_ai","CHF","fs"
"empty","","2019","","er","ktn_ai","CHF","fs"
"300","","2019","1032332.55","aufwand","ktn_ai","CHF","fs"
"301","","2019","20331191.89","aufwand","ktn_ai","CHF","fs"
"302","","2019","4329099","aufwand","ktn_ai","CHF","fs"
"303","","2019","","aufwand","ktn_ai","CHF","fs"
"304","","2019","144815.45","aufwand","ktn_ai","CHF","fs"
"305","","2019","4772420.92","aufwand","ktn_ai","CHF","fs"
"306","","2019","28243.8","aufwand","ktn_ai","CHF","fs"
"309","","2019","508389.99","aufwand","ktn_ai","CHF","fs"
"310","","2019","2514218.92","aufwand","ktn_ai","CHF","fs"
"311","","2019","1186009.5","aufwand","ktn_ai","CHF","fs"
"312","","2019","488505.5","aufwand","ktn_ai","CHF","fs"
"313","","2019","5218654.57","aufwand","ktn_ai","CHF","fs"
"314","","2019","3273218.7","aufwand","ktn_ai","CHF","fs"
"315","","2019","589766.29","aufwand","ktn_ai","CHF","fs"
"316","","2019","978932.22","aufwand","ktn_ai","CHF","fs"
"317","","2019","327359.25","aufwand","ktn_ai","CHF","fs"
"318","","2019","438952.4","aufwand","ktn_ai","CHF","fs"
"319","","2019","736009.95","aufwand","ktn_ai","CHF","fs"
"320","","2019","","aufwand","ktn_ai","CHF","fs"
"331","","2019","","aufwand","ktn_ai","CHF","fs"
"337","","2019","3166288.53","aufwand","ktn_ai","CHF","fs"
"338","","2019","","aufwand","ktn_ai","CHF","fs"
"340","","2019","","aufwand","ktn_ai","CHF","fs"
"341","","2019","","aufwand","ktn_ai","CHF","fs"
"342","","2019","","aufwand","ktn_ai","CHF","fs"
"343","","2019","34453.04","aufwand","ktn_ai","CHF","fs"
"344","","2019","158000","aufwand","ktn_ai","CHF","fs"
"349","","2019","","aufwand","ktn_ai","CHF","fs"
"350","","2019","4800","aufwand","ktn_ai","CHF","fs"
"351","","2019","4199240.1","aufwand","ktn_ai","CHF","fs"
"352","","2019","","aufwand","ktn_ai","CHF","fs"
"3600","","2019","","aufwand","ktn_ai","CHF","fs"
"36010","","2019","","aufwand","ktn_ai","CHF","fs"
"36011","","2019","","aufwand","ktn_ai","CHF","fs"
"36012","","2019","","aufwand","ktn_ai","CHF","fs"
"36013","","2019","","aufwand","ktn_ai","CHF","fs"
"36014","","2019","","aufwand","ktn_ai","CHF","fs"
"36015","","2019","","aufwand","ktn_ai","CHF","fs"
"36016","","2019","","aufwand","ktn_ai","CHF","fs"
"36017","","2019","","aufwand","ktn_ai","CHF","fs"
"36018","","2019","","aufwand","ktn_ai","CHF","fs"
"36019","","2019","","aufwand","ktn_ai","CHF","fs"
"36021","","2019","270530","aufwand","ktn_ai","CHF","fs"
