"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","78886024.86","bilanz","ktn_ar","CHF","fs"
"101","","2021","60154799.11","bilanz","ktn_ar","CHF","fs"
"102","","2021","5e+05","bilanz","ktn_ar","CHF","fs"
"104","","2021","34944291.72","bilanz","ktn_ar","CHF","fs"
"106","","2021","26691.29","bilanz","ktn_ar","CHF","fs"
"107","","2021","1032738.75","bilanz","ktn_ar","CHF","fs"
"108","","2021","35790596","bilanz","ktn_ar","CHF","fs"
"109","","2021","","bilanz","ktn_ar","CHF","fs"
"140","","2021","104450335.25","bilanz","ktn_ar","CHF","fs"
"141","","2021","","bilanz","ktn_ar","CHF","fs"
"142","","2021","2528157.7","bilanz","ktn_ar","CHF","fs"
"143","","2021","","bilanz","ktn_ar","CHF","fs"
"144","","2021","9861999.28","bilanz","ktn_ar","CHF","fs"
"145","","2021","30906789.19","bilanz","ktn_ar","CHF","fs"
"146","","2021","38587854.9","bilanz","ktn_ar","CHF","fs"
"147","","2021","","bilanz","ktn_ar","CHF","fs"
"148","","2021","","bilanz","ktn_ar","CHF","fs"
"200","","2021","69808083.02","bilanz","ktn_ar","CHF","fs"
"201","","2021","1700000","bilanz","ktn_ar","CHF","fs"
"204","","2021","26315073.19","bilanz","ktn_ar","CHF","fs"
"205","","2021","4432300","bilanz","ktn_ar","CHF","fs"
"206","","2021","111093050.4","bilanz","ktn_ar","CHF","fs"
"207","","2021","","bilanz","ktn_ar","CHF","fs"
"208","","2021","1668363.04","bilanz","ktn_ar","CHF","fs"
"209","","2021","5764687.24","bilanz","ktn_ar","CHF","fs"
"290","","2021","13045778.57","bilanz","ktn_ar","CHF","fs"
"292","","2021","1443885.54","bilanz","ktn_ar","CHF","fs"
"293","","2021","25253091.48","bilanz","ktn_ar","CHF","fs"
"294","","2021","","bilanz","ktn_ar","CHF","fs"
"295","","2021","20607445.08","bilanz","ktn_ar","CHF","fs"
"296","","2021","3824548.2","bilanz","ktn_ar","CHF","fs"
"298","","2021","","bilanz","ktn_ar","CHF","fs"
"299","","2021","112713972.29","bilanz","ktn_ar","CHF","fs"
"empty","","2021","","er","ktn_ar","CHF","fs"
"empty","","2021","","er","ktn_ar","CHF","fs"
"empty","","2021","","er","ktn_ar","CHF","fs"
"empty","","2021","","er","ktn_ar","CHF","fs"
"300","","2021","2744439.6","aufwand","ktn_ar","CHF","fs"
"301","","2021","65390808.12","aufwand","ktn_ar","CHF","fs"
"302","","2021","14469357.15","aufwand","ktn_ar","CHF","fs"
"303","","2021","178046.8","aufwand","ktn_ar","CHF","fs"
"304","","2021","921484.95","aufwand","ktn_ar","CHF","fs"
"305","","2021","15300507.77","aufwand","ktn_ar","CHF","fs"
"306","","2021","","aufwand","ktn_ar","CHF","fs"
"309","","2021","1205450.56","aufwand","ktn_ar","CHF","fs"
"310","","2021","3706887.75","aufwand","ktn_ar","CHF","fs"
"311","","2021","1549488.08","aufwand","ktn_ar","CHF","fs"
"312","","2021","1246642.22","aufwand","ktn_ar","CHF","fs"
"313","","2021","22436971.11","aufwand","ktn_ar","CHF","fs"
"314","","2021","10103863.38","aufwand","ktn_ar","CHF","fs"
"315","","2021","952888.67","aufwand","ktn_ar","CHF","fs"
"316","","2021","5230681.95","aufwand","ktn_ar","CHF","fs"
"317","","2021","941996.28","aufwand","ktn_ar","CHF","fs"
"318","","2021","-1139541.09","aufwand","ktn_ar","CHF","fs"
"319","","2021","1414496.35","aufwand","ktn_ar","CHF","fs"
"320","","2021","","aufwand","ktn_ar","CHF","fs"
"331","","2021","","aufwand","ktn_ar","CHF","fs"
"337","","2021","17139343.75","aufwand","ktn_ar","CHF","fs"
"338","","2021","13202841.55","aufwand","ktn_ar","CHF","fs"
