"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","169812329.97","bilanz","ktn_be","CHF","fs"
"101","","2015","2578947753.04","bilanz","ktn_be","CHF","fs"
"102","","2015","297000","bilanz","ktn_be","CHF","fs"
"104","","2015","603197673.03","bilanz","ktn_be","CHF","fs"
"106","","2015","26335665.45","bilanz","ktn_be","CHF","fs"
"107","","2015","268403436","bilanz","ktn_be","CHF","fs"
"108","","2015","32572145","bilanz","ktn_be","CHF","fs"
"109","","2015","","bilanz","ktn_be","CHF","fs"
"140","","2015","1811315545.03","bilanz","ktn_be","CHF","fs"
"141","","2015","","bilanz","ktn_be","CHF","fs"
"142","","2015","3853929","bilanz","ktn_be","CHF","fs"
"143","","2015","716706492","bilanz","ktn_be","CHF","fs"
"144","","2015","","bilanz","ktn_be","CHF","fs"
"145","","2015","369773","bilanz","ktn_be","CHF","fs"
"146","","2015","722779798","bilanz","ktn_be","CHF","fs"
"147","","2015","","bilanz","ktn_be","CHF","fs"
"148","","2015","","bilanz","ktn_be","CHF","fs"
"200","","2015","885184162.95","bilanz","ktn_be","CHF","fs"
"201","","2015","162996704","bilanz","ktn_be","CHF","fs"
"204","","2015","754299721.64","bilanz","ktn_be","CHF","fs"
"205","","2015","32493027","bilanz","ktn_be","CHF","fs"
"206","","2015","5420320595","bilanz","ktn_be","CHF","fs"
"207","","2015","","bilanz","ktn_be","CHF","fs"
"208","","2015","2117069006.93","bilanz","ktn_be","CHF","fs"
"209","","2015","711939396","bilanz","ktn_be","CHF","fs"
"290","","2015","","bilanz","ktn_be","CHF","fs"
"292","","2015","","bilanz","ktn_be","CHF","fs"
"293","","2015","","bilanz","ktn_be","CHF","fs"
"294","","2015","164322977","bilanz","ktn_be","CHF","fs"
"295","","2015","","bilanz","ktn_be","CHF","fs"
"296","","2015","","bilanz","ktn_be","CHF","fs"
"298","","2015","","bilanz","ktn_be","CHF","fs"
"299","","2015","-3314034051","bilanz","ktn_be","CHF","fs"
