"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","848991145.95","bilanz","ktn_bs","CHF","fs"
"101","","2020","519597053.23","bilanz","ktn_bs","CHF","fs"
"102","","2020","361253571.94","bilanz","ktn_bs","CHF","fs"
"104","","2020","162960393.91","bilanz","ktn_bs","CHF","fs"
"106","","2020","8288377.22","bilanz","ktn_bs","CHF","fs"
"107","","2020","649795111","bilanz","ktn_bs","CHF","fs"
"108","","2020","3450669122.91","bilanz","ktn_bs","CHF","fs"
"109","","2020","","bilanz","ktn_bs","CHF","fs"
"140","","2020","3985681878.97","bilanz","ktn_bs","CHF","fs"
"141","","2020","","bilanz","ktn_bs","CHF","fs"
"142","","2020","29813243.91","bilanz","ktn_bs","CHF","fs"
"143","","2020","","bilanz","ktn_bs","CHF","fs"
"144","","2020","500694006.73","bilanz","ktn_bs","CHF","fs"
"145","","2020","1833733839.06","bilanz","ktn_bs","CHF","fs"
"146","","2020","239694190.13","bilanz","ktn_bs","CHF","fs"
"147","","2020","","bilanz","ktn_bs","CHF","fs"
"148","","2020","","bilanz","ktn_bs","CHF","fs"
"200","","2020","635073113.48","bilanz","ktn_bs","CHF","fs"
"201","","2020","4e+08","bilanz","ktn_bs","CHF","fs"
"204","","2020","1191125593.94","bilanz","ktn_bs","CHF","fs"
"205","","2020","206808832.87","bilanz","ktn_bs","CHF","fs"
"206","","2020","3131765606.66","bilanz","ktn_bs","CHF","fs"
"207","","2020","","bilanz","ktn_bs","CHF","fs"
"208","","2020","222281889.12","bilanz","ktn_bs","CHF","fs"
"209","","2020","835566895.28","bilanz","ktn_bs","CHF","fs"
"290","","2020","186441341.82","bilanz","ktn_bs","CHF","fs"
"292","","2020","7074577.48","bilanz","ktn_bs","CHF","fs"
"293","","2020","","bilanz","ktn_bs","CHF","fs"
"294","","2020","","bilanz","ktn_bs","CHF","fs"
"295","","2020","","bilanz","ktn_bs","CHF","fs"
"296","","2020","51015360","bilanz","ktn_bs","CHF","fs"
"298","","2020","","bilanz","ktn_bs","CHF","fs"
"299","","2020","5724018724.31","bilanz","ktn_bs","CHF","fs"
"empty","","2020","","er","ktn_bs","CHF","fs"
"empty","","2020","","er","ktn_bs","CHF","fs"
"empty","","2020","","er","ktn_bs","CHF","fs"
"empty","","2020","","er","ktn_bs","CHF","fs"
"300","","2020","11567182.99","aufwand","ktn_bs","CHF","fs"
"301","","2020","791904814.610001","aufwand","ktn_bs","CHF","fs"
"302","","2020","499818916.42","aufwand","ktn_bs","CHF","fs"
"303","","2020","1843169.95","aufwand","ktn_bs","CHF","fs"
"304","","2020","36067925.43","aufwand","ktn_bs","CHF","fs"
"305","","2020","318230681.2","aufwand","ktn_bs","CHF","fs"
"306","","2020","1682440.94","aufwand","ktn_bs","CHF","fs"
"309","","2020","8321353.44000001","aufwand","ktn_bs","CHF","fs"
"310","","2020","44753181.99","aufwand","ktn_bs","CHF","fs"
"311","","2020","26652325.34","aufwand","ktn_bs","CHF","fs"
"312","","2020","32476593.58","aufwand","ktn_bs","CHF","fs"
"313","","2020","265705707.29","aufwand","ktn_bs","CHF","fs"
"314","","2020","67628464.54","aufwand","ktn_bs","CHF","fs"
"315","","2020","51115863.96","aufwand","ktn_bs","CHF","fs"
"316","","2020","275061540.83","aufwand","ktn_bs","CHF","fs"
"317","","2020","4680125.16","aufwand","ktn_bs","CHF","fs"
"318","","2020","38540244.07","aufwand","ktn_bs","CHF","fs"
"319","","2020","38270451.96","aufwand","ktn_bs","CHF","fs"
"320","","2020","","aufwand","ktn_bs","CHF","fs"
"331","","2020","","aufwand","ktn_bs","CHF","fs"
"337","","2020","232661680.37","aufwand","ktn_bs","CHF","fs"
"338","","2020","5897631.6","aufwand","ktn_bs","CHF","fs"
"340","","2020","6917571.08","aufwand","ktn_bs","CHF","fs"
"341","","2020","4618263.67","aufwand","ktn_bs","CHF","fs"
"342","","2020","2086018.64","aufwand","ktn_bs","CHF","fs"
"343","","2020","47230686.52","aufwand","ktn_bs","CHF","fs"
"344","","2020","180660724.28","aufwand","ktn_bs","CHF","fs"
"349","","2020","1038241.57","aufwand","ktn_bs","CHF","fs"
"350","","2020","46135598","aufwand","ktn_bs","CHF","fs"
"351","","2020","","aufwand","ktn_bs","CHF","fs"
"352","","2020","","aufwand","ktn_bs","CHF","fs"
"3600","","2020","","aufwand","ktn_bs","CHF","fs"
"36010","","2020","","aufwand","ktn_bs","CHF","fs"
"36011","","2020","","aufwand","ktn_bs","CHF","fs"
"36012","","2020","","aufwand","ktn_bs","CHF","fs"
"36013","","2020","","aufwand","ktn_bs","CHF","fs"
"36014","","2020","","aufwand","ktn_bs","CHF","fs"
"36015","","2020","","aufwand","ktn_bs","CHF","fs"
"36016","","2020","","aufwand","ktn_bs","CHF","fs"
"36017","","2020","","aufwand","ktn_bs","CHF","fs"
"36018","","2020","","aufwand","ktn_bs","CHF","fs"
"36019","","2020","","aufwand","ktn_bs","CHF","fs"
"36021","","2020","","aufwand","ktn_bs","CHF","fs"
"36022","","2020","","aufwand","ktn_bs","CHF","fs"
"36023","","2020","","aufwand","ktn_bs","CHF","fs"
"36029","","2020","","aufwand","ktn_bs","CHF","fs"
"3603","","2020","","aufwand","ktn_bs","CHF","fs"
"3604","","2020","","aufwand","ktn_bs","CHF","fs"
"3610","","2020","","aufwand","ktn_bs","CHF","fs"
"3611","","2020","42789292.3","aufwand","ktn_bs","CHF","fs"
"3612","","2020","","aufwand","ktn_bs","CHF","fs"
"3613","","2020","","aufwand","ktn_bs","CHF","fs"
"3614","","2020","186472340.72","aufwand","ktn_bs","CHF","fs"
"3620","","2020","","aufwand","ktn_bs","CHF","fs"
"36211","","2020","159772532","aufwand","ktn_bs","CHF","fs"
"36212","","2020","","aufwand","ktn_bs","CHF","fs"
"36213","","2020","","aufwand","ktn_bs","CHF","fs"
"36214","","2020","2331335","aufwand","ktn_bs","CHF","fs"
"36215","","2020","","aufwand","ktn_bs","CHF","fs"
"36216","","2020","","aufwand","ktn_bs","CHF","fs"
"36217","","2020","","aufwand","ktn_bs","CHF","fs"
"36219","","2020","","aufwand","ktn_bs","CHF","fs"
"36221","","2020","","aufwand","ktn_bs","CHF","fs"
"36222","","2020","1421384","aufwand","ktn_bs","CHF","fs"
"36223","","2020","","aufwand","ktn_bs","CHF","fs"
"36224","","2020","","aufwand","ktn_bs","CHF","fs"
"36225","","2020","","aufwand","ktn_bs","CHF","fs"
"36226","","2020","","aufwand","ktn_bs","CHF","fs"
"36227","","2020","","aufwand","ktn_bs","CHF","fs"
"36228","","2020","","aufwand","ktn_bs","CHF","fs"
"3624","","2020","","aufwand","ktn_bs","CHF","fs"
"3629","","2020","","aufwand","ktn_bs","CHF","fs"
"3630","","2020","","aufwand","ktn_bs","CHF","fs"
"3631","","2020","75560007.8","aufwand","ktn_bs","CHF","fs"
"3632","","2020","","aufwand","ktn_bs","CHF","fs"
"3633","","2020","5239410.4","aufwand","ktn_bs","CHF","fs"
"3634","","2020","452621333.26","aufwand","ktn_bs","CHF","fs"
"3635","","2020","9336662.7","aufwand","ktn_bs","CHF","fs"
"3636","","2020","292241702.65","aufwand","ktn_bs","CHF","fs"
"3637","","2020","722526273.64","aufwand","ktn_bs","CHF","fs"
"3638","","2020","2090498.23","aufwand","ktn_bs","CHF","fs"
"3639","","2020","11649825.7","aufwand","ktn_bs","CHF","fs"
"364","","2020","67704794.1","aufwand","ktn_bs","CHF","fs"
"365","","2020","","aufwand","ktn_bs","CHF","fs"
"366","","2020","21376537.87","aufwand","ktn_bs","CHF","fs"
"369","","2020","1691819.44","aufwand","ktn_bs","CHF","fs"
"380","","2020","3668265","aufwand","ktn_bs","CHF","fs"
"381","","2020","22245057.46","aufwand","ktn_bs","CHF","fs"
"383","","2020","","aufwand","ktn_bs","CHF","fs"
"384","","2020","","aufwand","ktn_bs","CHF","fs"
"3860","","2020","","aufwand","ktn_bs","CHF","fs"
"3861","","2020","","aufwand","ktn_bs","CHF","fs"
"3862","","2020","","aufwand","ktn_bs","CHF","fs"
"3863","","2020","","aufwand","ktn_bs","CHF","fs"
"3864","","2020","76170000","aufwand","ktn_bs","CHF","fs"
"3865","","2020","15882644.83","aufwand","ktn_bs","CHF","fs"
"3866","","2020","22921577.34","aufwand","ktn_bs","CHF","fs"
"3867","","2020","","aufwand","ktn_bs","CHF","fs"
"3868","","2020","","aufwand","ktn_bs","CHF","fs"
"387","","2020","","aufwand","ktn_bs","CHF","fs"
"389","","2020","1309386","aufwand","ktn_bs","CHF","fs"
"4000","","2020","1483413175.5","ertrag","ktn_bs","CHF","fs"
"4001","","2020","386988895.65","ertrag","ktn_bs","CHF","fs"
"4002","","2020","132373059.42","ertrag","ktn_bs","CHF","fs"
"4008","","2020","","ertrag","ktn_bs","CHF","fs"
"4009","","2020","","ertrag","ktn_bs","CHF","fs"
"4010","","2020","493915894.95","ertrag","ktn_bs","CHF","fs"
"4011","","2020","143452776.5","ertrag","ktn_bs","CHF","fs"
"4012","","2020","","ertrag","ktn_bs","CHF","fs"
"4019","","2020","","ertrag","ktn_bs","CHF","fs"
"4020","","2020","","ertrag","ktn_bs","CHF","fs"
"4021","","2020","20018857.12","ertrag","ktn_bs","CHF","fs"
"4022","","2020","135474242.42","ertrag","ktn_bs","CHF","fs"
"4023","","2020","57653917.2","ertrag","ktn_bs","CHF","fs"
"4024","","2020","55756192.89","ertrag","ktn_bs","CHF","fs"
"4025","","2020","","ertrag","ktn_bs","CHF","fs"
"4030","","2020","31126108.81","ertrag","ktn_bs","CHF","fs"
"4031","","2020","","ertrag","ktn_bs","CHF","fs"
"4032","","2020","","ertrag","ktn_bs","CHF","fs"
"4033","","2020","695810.59","ertrag","ktn_bs","CHF","fs"
"4039","","2020","","ertrag","ktn_bs","CHF","fs"
"4040","","2020","","ertrag","ktn_bs","CHF","fs"
"4041","","2020","","ertrag","ktn_bs","CHF","fs"
"4042","","2020","","ertrag","ktn_bs","CHF","fs"
"4043","","2020","","ertrag","ktn_bs","CHF","fs"
"4044","","2020","","ertrag","ktn_bs","CHF","fs"
"4045","","2020","","ertrag","ktn_bs","CHF","fs"
"4046","","2020","","ertrag","ktn_bs","CHF","fs"
"4047","","2020","","ertrag","ktn_bs","CHF","fs"
"4049","","2020","","ertrag","ktn_bs","CHF","fs"
"4050","","2020","","ertrag","ktn_bs","CHF","fs"
"4051","","2020","","ertrag","ktn_bs","CHF","fs"
"4052","","2020","","ertrag","ktn_bs","CHF","fs"
"4053","","2020","","ertrag","ktn_bs","CHF","fs"
"4059","","2020","","ertrag","ktn_bs","CHF","fs"
"4060","","2020","","ertrag","ktn_bs","CHF","fs"
"4070","","2020","","ertrag","ktn_bs","CHF","fs"
"4071","","2020","","ertrag","ktn_bs","CHF","fs"
"4072","","2020","","ertrag","ktn_bs","CHF","fs"
"4079","","2020","","ertrag","ktn_bs","CHF","fs"
"410","","2020","13317","ertrag","ktn_bs","CHF","fs"
"411","","2020","60865869","ertrag","ktn_bs","CHF","fs"
"412","","2020","24664945.5","ertrag","ktn_bs","CHF","fs"
"413","","2020","8573583.48","ertrag","ktn_bs","CHF","fs"
"420","","2020","523052.6","ertrag","ktn_bs","CHF","fs"
"421","","2020","77715805.96","ertrag","ktn_bs","CHF","fs"
"422","","2020","24240569.87","ertrag","ktn_bs","CHF","fs"
"423","","2020","30683559.21","ertrag","ktn_bs","CHF","fs"
"424","","2020","445812621.19","ertrag","ktn_bs","CHF","fs"
"425","","2020","25651807.36","ertrag","ktn_bs","CHF","fs"
"426","","2020","49946063.9","ertrag","ktn_bs","CHF","fs"
"427","","2020","28841232.6","ertrag","ktn_bs","CHF","fs"
"429","","2020","7387713.23","ertrag","ktn_bs","CHF","fs"
"430","","2020","6290234.47","ertrag","ktn_bs","CHF","fs"
"431","","2020","501310.85","ertrag","ktn_bs","CHF","fs"
"432","","2020","","ertrag","ktn_bs","CHF","fs"
"439","","2020","28446369.65","ertrag","ktn_bs","CHF","fs"
"440","","2020","45821088.73","ertrag","ktn_bs","CHF","fs"
"441","","2020","18020388.71","ertrag","ktn_bs","CHF","fs"
"442","","2020","121248.51","ertrag","ktn_bs","CHF","fs"
"443","","2020","149753645.6","ertrag","ktn_bs","CHF","fs"
"444","","2020","806150153.5","ertrag","ktn_bs","CHF","fs"
"445","","2020","4659205.73","ertrag","ktn_bs","CHF","fs"
"446","","2020","115068340","ertrag","ktn_bs","CHF","fs"
"447","","2020","37138446.95","ertrag","ktn_bs","CHF","fs"
"448","","2020","","ertrag","ktn_bs","CHF","fs"
"449","","2020","5701545.99","ertrag","ktn_bs","CHF","fs"
"450","","2020","2021996","ertrag","ktn_bs","CHF","fs"
"451","","2020","22596000","ertrag","ktn_bs","CHF","fs"
"452","","2020","","ertrag","ktn_bs","CHF","fs"
"46000","","2020","332602040.66","ertrag","ktn_bs","CHF","fs"
"46001","","2020","7382640","ertrag","ktn_bs","CHF","fs"
