"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","371763618.01","bilanz","ktn_fr","CHF","fs"
"101","","2015","780661305.93","bilanz","ktn_fr","CHF","fs"
"102","","2015","","bilanz","ktn_fr","CHF","fs"
"104","","2015","136138064.04","bilanz","ktn_fr","CHF","fs"
"106","","2015","5612805.73","bilanz","ktn_fr","CHF","fs"
"107","","2015","905041960.28","bilanz","ktn_fr","CHF","fs"
"108","","2015","","bilanz","ktn_fr","CHF","fs"
"109","","2015","","bilanz","ktn_fr","CHF","fs"
"140","","2015","544251108.7","bilanz","ktn_fr","CHF","fs"
"141","","2015","","bilanz","ktn_fr","CHF","fs"
"142","","2015","369326.1","bilanz","ktn_fr","CHF","fs"
"143","","2015","","bilanz","ktn_fr","CHF","fs"
"144","","2015","178763297.55","bilanz","ktn_fr","CHF","fs"
"145","","2015","142859030","bilanz","ktn_fr","CHF","fs"
"146","","2015","","bilanz","ktn_fr","CHF","fs"
"147","","2015","","bilanz","ktn_fr","CHF","fs"
"148","","2015","","bilanz","ktn_fr","CHF","fs"
"200","","2015","617373321.88","bilanz","ktn_fr","CHF","fs"
"201","","2015","214004060.3","bilanz","ktn_fr","CHF","fs"
"204","","2015","337187141.63","bilanz","ktn_fr","CHF","fs"
"205","","2015","","bilanz","ktn_fr","CHF","fs"
"206","","2015","26841072","bilanz","ktn_fr","CHF","fs"
"207","","2015","","bilanz","ktn_fr","CHF","fs"
"208","","2015","139317777.99","bilanz","ktn_fr","CHF","fs"
"209","","2015","58072384.8","bilanz","ktn_fr","CHF","fs"
"290","","2015","113312938.35","bilanz","ktn_fr","CHF","fs"
"292","","2015","4e+07","bilanz","ktn_fr","CHF","fs"
"293","","2015","163829323","bilanz","ktn_fr","CHF","fs"
"294","","2015","103500000","bilanz","ktn_fr","CHF","fs"
"295","","2015","","bilanz","ktn_fr","CHF","fs"
"296","","2015","","bilanz","ktn_fr","CHF","fs"
"298","","2015","","bilanz","ktn_fr","CHF","fs"
"299","","2015","1252022496.39","bilanz","ktn_fr","CHF","fs"
"empty","","2015","","er","ktn_fr","CHF","fs"
"empty","","2015","","er","ktn_fr","CHF","fs"
"empty","","2015","","er","ktn_fr","CHF","fs"
"empty","","2015","","er","ktn_fr","CHF","fs"
"300","","2015","15142456","aufwand","ktn_fr","CHF","fs"
"301","","2015","454647765.55","aufwand","ktn_fr","CHF","fs"
"302","","2015","567643883","aufwand","ktn_fr","CHF","fs"
"303","","2015","119985.9","aufwand","ktn_fr","CHF","fs"
"304","","2015","13709206.95","aufwand","ktn_fr","CHF","fs"
