"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","21121639134.47","bilanz","ktn_gdn","CHF","fs"
"101","","2020","38529834759.09","bilanz","ktn_gdn","CHF","fs"
"102","","2020","2967691728.25","bilanz","ktn_gdn","CHF","fs"
"104","","2020","12691811605.51","bilanz","ktn_gdn","CHF","fs"
"106","","2020","382794528.44","bilanz","ktn_gdn","CHF","fs"
"107","","2020","12921400933.33","bilanz","ktn_gdn","CHF","fs"
"108","","2020","33221538805.91","bilanz","ktn_gdn","CHF","fs"
"109","","2020","532791634.6","bilanz","ktn_gdn","CHF","fs"
"140","","2020","103235909874.7","bilanz","ktn_gdn","CHF","fs"
"141","","2020","14567204.14","bilanz","ktn_gdn","CHF","fs"
"142","","2020","1102256919.8","bilanz","ktn_gdn","CHF","fs"
"143","","2020","1373449404.28","bilanz","ktn_gdn","CHF","fs"
"144","","2020","6522523479.44","bilanz","ktn_gdn","CHF","fs"
"145","","2020","18117387353.88","bilanz","ktn_gdn","CHF","fs"
"146","","2020","10526055482.19","bilanz","ktn_gdn","CHF","fs"
"147","","2020","","bilanz","ktn_gdn","CHF","fs"
"148","","2020","-370728089.02","bilanz","ktn_gdn","CHF","fs"
"200","","2020","29834135676.39","bilanz","ktn_gdn","CHF","fs"
"201","","2020","14079521920.53","bilanz","ktn_gdn","CHF","fs"
"204","","2020","16178583134.23","bilanz","ktn_gdn","CHF","fs"
"205","","2020","3386073451.31","bilanz","ktn_gdn","CHF","fs"
"206","","2020","85482866361.82","bilanz","ktn_gdn","CHF","fs"
"207","","2020","","bilanz","ktn_gdn","CHF","fs"
"208","","2020","6575703103.02","bilanz","ktn_gdn","CHF","fs"
"209","","2020","6414198456.59","bilanz","ktn_gdn","CHF","fs"
"290","","2020","20283476070.01","bilanz","ktn_gdn","CHF","fs"
"292","","2020","321945159.4","bilanz","ktn_gdn","CHF","fs"
"293","","2020","7870237306.64","bilanz","ktn_gdn","CHF","fs"
"294","","2020","1224295172.79","bilanz","ktn_gdn","CHF","fs"
"295","","2020","9028384766.83","bilanz","ktn_gdn","CHF","fs"
"296","","2020","3303188367.27","bilanz","ktn_gdn","CHF","fs"
"298","","2020","1439411717.32","bilanz","ktn_gdn","CHF","fs"
"299","","2020","57468904094.86","bilanz","ktn_gdn","CHF","fs"
"empty","","2020","","er","ktn_gdn","CHF","fs"
"empty","","2020","","er","ktn_gdn","CHF","fs"
"empty","","2020","","er","ktn_gdn","CHF","fs"
"empty","","2020","","er","ktn_gdn","CHF","fs"
"300","","2020","803072411.92","aufwand","ktn_gdn","CHF","fs"
"301","","2020","20570000448.86","aufwand","ktn_gdn","CHF","fs"
"302","","2020","15806282639.15","aufwand","ktn_gdn","CHF","fs"
"303","","2020","159750078.72","aufwand","ktn_gdn","CHF","fs"
"304","","2020","333778321.64","aufwand","ktn_gdn","CHF","fs"
"305","","2020","7580785677.47001","aufwand","ktn_gdn","CHF","fs"
"306","","2020","140577094.11","aufwand","ktn_gdn","CHF","fs"
"309","","2020","350642810.15","aufwand","ktn_gdn","CHF","fs"
"310","","2020","2091826342.8","aufwand","ktn_gdn","CHF","fs"
"311","","2020","1024775804.86","aufwand","ktn_gdn","CHF","fs"
"312","","2020","1184169467.65","aufwand","ktn_gdn","CHF","fs"
"313","","2020","7364806722.01","aufwand","ktn_gdn","CHF","fs"
"314","","2020","3099347964.41","aufwand","ktn_gdn","CHF","fs"
"315","","2020","1025770937.58","aufwand","ktn_gdn","CHF","fs"
"316","","2020","1733247610.99","aufwand","ktn_gdn","CHF","fs"
"317","","2020","327572703.26","aufwand","ktn_gdn","CHF","fs"
"318","","2020","997149783.5","aufwand","ktn_gdn","CHF","fs"
"319","","2020","762349682.86","aufwand","ktn_gdn","CHF","fs"
"320","","2020","","aufwand","ktn_gdn","CHF","fs"
"331","","2020","","aufwand","ktn_gdn","CHF","fs"
"337","","2020","6605967964.9","aufwand","ktn_gdn","CHF","fs"
"338","","2020","471518898.6","aufwand","ktn_gdn","CHF","fs"
"340","","2020","1071750093.38","aufwand","ktn_gdn","CHF","fs"
"341","","2020","68391078.49","aufwand","ktn_gdn","CHF","fs"
"342","","2020","17154208.31","aufwand","ktn_gdn","CHF","fs"
"343","","2020","357472052.02","aufwand","ktn_gdn","CHF","fs"
"344","","2020","556612746.97","aufwand","ktn_gdn","CHF","fs"
"349","","2020","105264870.82","aufwand","ktn_gdn","CHF","fs"
