"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","1367341389.47","bilanz","ktn_gdn_ag","CHF","fs"
"101","","2021","2466713317.13","bilanz","ktn_gdn_ag","CHF","fs"
"102","","2021","273824322.48","bilanz","ktn_gdn_ag","CHF","fs"
"104","","2021","588139998.09","bilanz","ktn_gdn_ag","CHF","fs"
"106","","2021","8347040.88","bilanz","ktn_gdn_ag","CHF","fs"
"107","","2021","598484599.71","bilanz","ktn_gdn_ag","CHF","fs"
"108","","2021","1260793983.2","bilanz","ktn_gdn_ag","CHF","fs"
"109","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"140","","2021","9703597033.87","bilanz","ktn_gdn_ag","CHF","fs"
"141","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"142","","2021","88821435.31","bilanz","ktn_gdn_ag","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"144","","2021","158060739.65","bilanz","ktn_gdn_ag","CHF","fs"
"145","","2021","1101420100.77","bilanz","ktn_gdn_ag","CHF","fs"
"146","","2021","900734971.09","bilanz","ktn_gdn_ag","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"148","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"200","","2021","1909049777.78","bilanz","ktn_gdn_ag","CHF","fs"
"201","","2021","456415408.34","bilanz","ktn_gdn_ag","CHF","fs"
"204","","2021","902810104.89","bilanz","ktn_gdn_ag","CHF","fs"
"205","","2021","169849214.61","bilanz","ktn_gdn_ag","CHF","fs"
"206","","2021","2620721324.8","bilanz","ktn_gdn_ag","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_ag","CHF","fs"
"208","","2021","112616066.15","bilanz","ktn_gdn_ag","CHF","fs"
"209","","2021","153190282.39","bilanz","ktn_gdn_ag","CHF","fs"
"290","","2021","2551335436.66","bilanz","ktn_gdn_ag","CHF","fs"
"292","","2021","84572695.57","bilanz","ktn_gdn_ag","CHF","fs"
"293","","2021","32230277.65","bilanz","ktn_gdn_ag","CHF","fs"
"294","","2021","946638720.25","bilanz","ktn_gdn_ag","CHF","fs"
"295","","2021","3691041576.37","bilanz","ktn_gdn_ag","CHF","fs"
"296","","2021","35591902.9","bilanz","ktn_gdn_ag","CHF","fs"
"298","","2021","814532279.17","bilanz","ktn_gdn_ag","CHF","fs"
"299","","2021","4035683864.12","bilanz","ktn_gdn_ag","CHF","fs"
"empty","","2021","","er","ktn_gdn_ag","CHF","fs"
"empty","","2021","","er","ktn_gdn_ag","CHF","fs"
"empty","","2021","","er","ktn_gdn_ag","CHF","fs"
"empty","","2021","","er","ktn_gdn_ag","CHF","fs"
"300","","2021","43461928.15","aufwand","ktn_gdn_ag","CHF","fs"
"301","","2021","1020758187.53","aufwand","ktn_gdn_ag","CHF","fs"
"302","","2021","974985474.7","aufwand","ktn_gdn_ag","CHF","fs"
"303","","2021","2700875.91","aufwand","ktn_gdn_ag","CHF","fs"
"304","","2021","7632765.07","aufwand","ktn_gdn_ag","CHF","fs"
"305","","2021","357962060.18","aufwand","ktn_gdn_ag","CHF","fs"
"306","","2021","3435735.4","aufwand","ktn_gdn_ag","CHF","fs"
"309","","2021","34431203.57","aufwand","ktn_gdn_ag","CHF","fs"
"310","","2021","169173433.48","aufwand","ktn_gdn_ag","CHF","fs"
"311","","2021","72641823.78","aufwand","ktn_gdn_ag","CHF","fs"
"312","","2021","87192805.67","aufwand","ktn_gdn_ag","CHF","fs"
"313","","2021","489708751.83","aufwand","ktn_gdn_ag","CHF","fs"
"314","","2021","178061795.62","aufwand","ktn_gdn_ag","CHF","fs"
