"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","43657884.79","bilanz","ktn_gdn_ai","CHF","fs"
"101","","2019","84314018.33","bilanz","ktn_gdn_ai","CHF","fs"
"102","","2019","1.5e+07","bilanz","ktn_gdn_ai","CHF","fs"
"104","","2019","5428540.88","bilanz","ktn_gdn_ai","CHF","fs"
"106","","2019","172523.05","bilanz","ktn_gdn_ai","CHF","fs"
"107","","2019","34523149.75","bilanz","ktn_gdn_ai","CHF","fs"
"108","","2019","23217000","bilanz","ktn_gdn_ai","CHF","fs"
"109","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"140","","2019","57014161.69","bilanz","ktn_gdn_ai","CHF","fs"
"141","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"142","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"143","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"144","","2019","30387628.1","bilanz","ktn_gdn_ai","CHF","fs"
"145","","2019","1748456","bilanz","ktn_gdn_ai","CHF","fs"
"146","","2019","4265423.47","bilanz","ktn_gdn_ai","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"148","","2019","-3765753.77","bilanz","ktn_gdn_ai","CHF","fs"
"200","","2019","40227326.7","bilanz","ktn_gdn_ai","CHF","fs"
"201","","2019","2075121.4","bilanz","ktn_gdn_ai","CHF","fs"
"204","","2019","8247945.44","bilanz","ktn_gdn_ai","CHF","fs"
"205","","2019","2983298","bilanz","ktn_gdn_ai","CHF","fs"
"206","","2019","32974647.7","bilanz","ktn_gdn_ai","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"208","","2019","1612974","bilanz","ktn_gdn_ai","CHF","fs"
"209","","2019","5294306.36","bilanz","ktn_gdn_ai","CHF","fs"
"290","","2019","44627210.4","bilanz","ktn_gdn_ai","CHF","fs"
"292","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"293","","2019","36041884.8","bilanz","ktn_gdn_ai","CHF","fs"
"294","","2019","4700000","bilanz","ktn_gdn_ai","CHF","fs"
"295","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"296","","2019","10819695","bilanz","ktn_gdn_ai","CHF","fs"
"298","","2019","","bilanz","ktn_gdn_ai","CHF","fs"
"299","","2019","106358622.49","bilanz","ktn_gdn_ai","CHF","fs"
"empty","","2019","","er","ktn_gdn_ai","CHF","fs"
"empty","","2019","","er","ktn_gdn_ai","CHF","fs"
"empty","","2019","","er","ktn_gdn_ai","CHF","fs"
"empty","","2019","","er","ktn_gdn_ai","CHF","fs"
"300","","2019","1696757.55","aufwand","ktn_gdn_ai","CHF","fs"
"301","","2019","25376949.04","aufwand","ktn_gdn_ai","CHF","fs"
"302","","2019","20151210.8","aufwand","ktn_gdn_ai","CHF","fs"
"303","","2019","","aufwand","ktn_gdn_ai","CHF","fs"
"304","","2019","152098.45","aufwand","ktn_gdn_ai","CHF","fs"
"305","","2019","8732317.3","aufwand","ktn_gdn_ai","CHF","fs"
"306","","2019","28243.8","aufwand","ktn_gdn_ai","CHF","fs"
"309","","2019","733815.91","aufwand","ktn_gdn_ai","CHF","fs"
