"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","1471784891.79","bilanz","ktn_gdn_be","CHF","fs"
"101","","2022","5547966809.98","bilanz","ktn_gdn_be","CHF","fs"
"102","","2022","78873138.89","bilanz","ktn_gdn_be","CHF","fs"
"104","","2022","1365672406.66","bilanz","ktn_gdn_be","CHF","fs"
"106","","2022","40558475.52","bilanz","ktn_gdn_be","CHF","fs"
"107","","2022","1499974479.32","bilanz","ktn_gdn_be","CHF","fs"
"108","","2022","4134747223.3","bilanz","ktn_gdn_be","CHF","fs"
"109","","2022","215000","bilanz","ktn_gdn_be","CHF","fs"
"140","","2022","9172431559.27","bilanz","ktn_gdn_be","CHF","fs"
"141","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"142","","2022","339922491.55","bilanz","ktn_gdn_be","CHF","fs"
"143","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"144","","2022","866862384.29","bilanz","ktn_gdn_be","CHF","fs"
"145","","2022","1286695585.48","bilanz","ktn_gdn_be","CHF","fs"
"146","","2022","1296616893.6","bilanz","ktn_gdn_be","CHF","fs"
"147","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"148","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"200","","2022","1636527617.26","bilanz","ktn_gdn_be","CHF","fs"
"201","","2022","1193972126.36","bilanz","ktn_gdn_be","CHF","fs"
"204","","2022","2825795703.19","bilanz","ktn_gdn_be","CHF","fs"
"205","","2022","694900658.97","bilanz","ktn_gdn_be","CHF","fs"
"206","","2022","10498703075.68","bilanz","ktn_gdn_be","CHF","fs"
"207","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"208","","2022","1582811971.14","bilanz","ktn_gdn_be","CHF","fs"
"209","","2022","500676267.77","bilanz","ktn_gdn_be","CHF","fs"
"290","","2022","1114967260.01","bilanz","ktn_gdn_be","CHF","fs"
"292","","2022","4484638.74","bilanz","ktn_gdn_be","CHF","fs"
"293","","2022","3078776032.59","bilanz","ktn_gdn_be","CHF","fs"
"294","","2022","649993851.37","bilanz","ktn_gdn_be","CHF","fs"
"295","","2022","","bilanz","ktn_gdn_be","CHF","fs"
"296","","2022","761441939.03","bilanz","ktn_gdn_be","CHF","fs"
"298","","2022","499328321.53","bilanz","ktn_gdn_be","CHF","fs"
"299","","2022","2059941876.01","bilanz","ktn_gdn_be","CHF","fs"
"empty","","2022","","er","ktn_gdn_be","CHF","fs"
"empty","","2022","","er","ktn_gdn_be","CHF","fs"
"empty","","2022","","er","ktn_gdn_be","CHF","fs"
"empty","","2022","","er","ktn_gdn_be","CHF","fs"
"300","","2022","95843761.57","aufwand","ktn_gdn_be","CHF","fs"
"301","","2022","2347458898.9","aufwand","ktn_gdn_be","CHF","fs"
"302","","2022","2050256639.5","aufwand","ktn_gdn_be","CHF","fs"
"303","","2022","17676192.1","aufwand","ktn_gdn_be","CHF","fs"
"304","","2022","11434807","aufwand","ktn_gdn_be","CHF","fs"
"305","","2022","864540202.28","aufwand","ktn_gdn_be","CHF","fs"
"306","","2022","2169972.65","aufwand","ktn_gdn_be","CHF","fs"
"309","","2022","45903411.59","aufwand","ktn_gdn_be","CHF","fs"
"310","","2022","274177941.78","aufwand","ktn_gdn_be","CHF","fs"
"311","","2022","107032593.32","aufwand","ktn_gdn_be","CHF","fs"
"312","","2022","196336046.49","aufwand","ktn_gdn_be","CHF","fs"
"313","","2022","864380676.68","aufwand","ktn_gdn_be","CHF","fs"
"314","","2022","250653540.17","aufwand","ktn_gdn_be","CHF","fs"
"315","","2022","94712008.69","aufwand","ktn_gdn_be","CHF","fs"
"316","","2022","151945321.61","aufwand","ktn_gdn_be","CHF","fs"
"317","","2022","55976369.84","aufwand","ktn_gdn_be","CHF","fs"
"318","","2022","116364552.68","aufwand","ktn_gdn_be","CHF","fs"
"319","","2022","192895892.71","aufwand","ktn_gdn_be","CHF","fs"
"320","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"331","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"337","","2022","631533759.75","aufwand","ktn_gdn_be","CHF","fs"
"338","","2022","14467850.56","aufwand","ktn_gdn_be","CHF","fs"
"340","","2022","127824367.85","aufwand","ktn_gdn_be","CHF","fs"
"341","","2022","12368003.7","aufwand","ktn_gdn_be","CHF","fs"
"342","","2022","3983860.49","aufwand","ktn_gdn_be","CHF","fs"
"343","","2022","49505979.66","aufwand","ktn_gdn_be","CHF","fs"
"344","","2022","31740921.07","aufwand","ktn_gdn_be","CHF","fs"
"349","","2022","2457855.63","aufwand","ktn_gdn_be","CHF","fs"
"350","","2022","36637036.04","aufwand","ktn_gdn_be","CHF","fs"
"351","","2022","159170911.21","aufwand","ktn_gdn_be","CHF","fs"
"352","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"3600","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"36010","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"36011","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"36012","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"36013","","2022","","aufwand","ktn_gdn_be","CHF","fs"
"36014","","2022","","aufwand","ktn_gdn_be","CHF","fs"
