"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","534344302.23","bilanz","ktn_gdn_bl","CHF","fs"
"101","","2020","1904966451.21","bilanz","ktn_gdn_bl","CHF","fs"
"102","","2020","69418059.86","bilanz","ktn_gdn_bl","CHF","fs"
"104","","2020","473423667.42","bilanz","ktn_gdn_bl","CHF","fs"
"106","","2020","8386292.65","bilanz","ktn_gdn_bl","CHF","fs"
"107","","2020","106774153.83","bilanz","ktn_gdn_bl","CHF","fs"
"108","","2020","1111249809.25","bilanz","ktn_gdn_bl","CHF","fs"
"109","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"140","","2020","2910786073.24","bilanz","ktn_gdn_bl","CHF","fs"
"141","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"142","","2020","27582969.56","bilanz","ktn_gdn_bl","CHF","fs"
"143","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"144","","2020","202108038.73","bilanz","ktn_gdn_bl","CHF","fs"
"145","","2020","443198632.59","bilanz","ktn_gdn_bl","CHF","fs"
"146","","2020","195641023.17","bilanz","ktn_gdn_bl","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"148","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"200","","2020","1893335480.34","bilanz","ktn_gdn_bl","CHF","fs"
"201","","2020","152370504.26","bilanz","ktn_gdn_bl","CHF","fs"
"204","","2020","378486144.61","bilanz","ktn_gdn_bl","CHF","fs"
"205","","2020","55452286.18","bilanz","ktn_gdn_bl","CHF","fs"
"206","","2020","3537625451.6","bilanz","ktn_gdn_bl","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"208","","2020","418860155.21","bilanz","ktn_gdn_bl","CHF","fs"
"209","","2020","57797582.1","bilanz","ktn_gdn_bl","CHF","fs"
"290","","2020","657315578.6","bilanz","ktn_gdn_bl","CHF","fs"
"292","","2020","359000","bilanz","ktn_gdn_bl","CHF","fs"
"293","","2020","396631934.4","bilanz","ktn_gdn_bl","CHF","fs"
"294","","2020","108372944.13","bilanz","ktn_gdn_bl","CHF","fs"
"295","","2020","","bilanz","ktn_gdn_bl","CHF","fs"
"296","","2020","-843882.75","bilanz","ktn_gdn_bl","CHF","fs"
