"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","463633287.37","bilanz","ktn_gdn_bs","CHF","fs"
"101","","2016","679684452.44","bilanz","ktn_gdn_bs","CHF","fs"
"102","","2016","120014376.54","bilanz","ktn_gdn_bs","CHF","fs"
"104","","2016","150975825.75","bilanz","ktn_gdn_bs","CHF","fs"
"106","","2016","7596183.09","bilanz","ktn_gdn_bs","CHF","fs"
"107","","2016","851445015.75","bilanz","ktn_gdn_bs","CHF","fs"
"108","","2016","2488563007.88","bilanz","ktn_gdn_bs","CHF","fs"
"109","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"140","","2016","3888793366.98","bilanz","ktn_gdn_bs","CHF","fs"
"141","","2016","179400","bilanz","ktn_gdn_bs","CHF","fs"
"142","","2016","26310670.5","bilanz","ktn_gdn_bs","CHF","fs"
"143","","2016","22710220","bilanz","ktn_gdn_bs","CHF","fs"
"144","","2016","378432059.86","bilanz","ktn_gdn_bs","CHF","fs"
"145","","2016","1842179458.56","bilanz","ktn_gdn_bs","CHF","fs"
"146","","2016","346323802.49","bilanz","ktn_gdn_bs","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"200","","2016","752476910.94","bilanz","ktn_gdn_bs","CHF","fs"
"201","","2016","3.08e+08","bilanz","ktn_gdn_bs","CHF","fs"
"204","","2016","1096900308.77","bilanz","ktn_gdn_bs","CHF","fs"
"205","","2016","131200940.64","bilanz","ktn_gdn_bs","CHF","fs"
"206","","2016","3781748041.86","bilanz","ktn_gdn_bs","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"208","","2016","134049983.64","bilanz","ktn_gdn_bs","CHF","fs"
"209","","2016","634604929.85","bilanz","ktn_gdn_bs","CHF","fs"
"290","","2016","136537073.23","bilanz","ktn_gdn_bs","CHF","fs"
"292","","2016","5751927.34","bilanz","ktn_gdn_bs","CHF","fs"
"293","","2016","13356121.55","bilanz","ktn_gdn_bs","CHF","fs"
"294","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_bs","CHF","fs"
"296","","2016","415436325","bilanz","ktn_gdn_bs","CHF","fs"
"298","","2016","50345607","bilanz","ktn_gdn_bs","CHF","fs"
"299","","2016","3806432957.39","bilanz","ktn_gdn_bs","CHF","fs"
"empty","","2016","","er","ktn_gdn_bs","CHF","fs"
"empty","","2016","","er","ktn_gdn_bs","CHF","fs"
"empty","","2016","","er","ktn_gdn_bs","CHF","fs"
"empty","","2016","","er","ktn_gdn_bs","CHF","fs"
"300","","2016","12711143.49","aufwand","ktn_gdn_bs","CHF","fs"
"301","","2016","748630170.79","aufwand","ktn_gdn_bs","CHF","fs"
"302","","2016","488307204.05","aufwand","ktn_gdn_bs","CHF","fs"
"303","","2016","4228311.28","aufwand","ktn_gdn_bs","CHF","fs"
"304","","2016","35533633.53","aufwand","ktn_gdn_bs","CHF","fs"
"305","","2016","311343920.65","aufwand","ktn_gdn_bs","CHF","fs"
"306","","2016","2038970.95","aufwand","ktn_gdn_bs","CHF","fs"
"309","","2016","15782838.27","aufwand","ktn_gdn_bs","CHF","fs"
"310","","2016","50901351.45","aufwand","ktn_gdn_bs","CHF","fs"
"311","","2016","30744859.76","aufwand","ktn_gdn_bs","CHF","fs"
"312","","2016","41819127.51","aufwand","ktn_gdn_bs","CHF","fs"
"313","","2016","324494021.5","aufwand","ktn_gdn_bs","CHF","fs"
"314","","2016","87072548.06","aufwand","ktn_gdn_bs","CHF","fs"
"315","","2016","49592765.87","aufwand","ktn_gdn_bs","CHF","fs"
"316","","2016","214097263.5","aufwand","ktn_gdn_bs","CHF","fs"
"317","","2016","5965327.49","aufwand","ktn_gdn_bs","CHF","fs"
"318","","2016","46505057.75","aufwand","ktn_gdn_bs","CHF","fs"
"319","","2016","52587564.95","aufwand","ktn_gdn_bs","CHF","fs"
"320","","2016","","aufwand","ktn_gdn_bs","CHF","fs"
"331","","2016","","aufwand","ktn_gdn_bs","CHF","fs"
"337","","2016","212429987.79","aufwand","ktn_gdn_bs","CHF","fs"
