"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","486321372.34","bilanz","ktn_gdn_fr","CHF","fs"
"101","","2016","1105321569.61","bilanz","ktn_gdn_fr","CHF","fs"
"102","","2016","10626359.53","bilanz","ktn_gdn_fr","CHF","fs"
"104","","2016","350952238.81","bilanz","ktn_gdn_fr","CHF","fs"
"106","","2016","5967751","bilanz","ktn_gdn_fr","CHF","fs"
"107","","2016","1313080038.29","bilanz","ktn_gdn_fr","CHF","fs"
"108","","2016","130717983.8","bilanz","ktn_gdn_fr","CHF","fs"
"109","","2016","","bilanz","ktn_gdn_fr","CHF","fs"
"140","","2016","2003965030.54","bilanz","ktn_gdn_fr","CHF","fs"
"141","","2016","228348.13","bilanz","ktn_gdn_fr","CHF","fs"
"142","","2016","5170348.54","bilanz","ktn_gdn_fr","CHF","fs"
"143","","2016","221289606.53","bilanz","ktn_gdn_fr","CHF","fs"
"144","","2016","173429081","bilanz","ktn_gdn_fr","CHF","fs"
"145","","2016","207373220.31","bilanz","ktn_gdn_fr","CHF","fs"
"146","","2016","9541696.18","bilanz","ktn_gdn_fr","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_fr","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_fr","CHF","fs"
"200","","2016","820185724.8","bilanz","ktn_gdn_fr","CHF","fs"
"201","","2016","250700410.02","bilanz","ktn_gdn_fr","CHF","fs"
"204","","2016","415617788.09","bilanz","ktn_gdn_fr","CHF","fs"
"205","","2016","578279.47","bilanz","ktn_gdn_fr","CHF","fs"
"206","","2016","1465629962.73","bilanz","ktn_gdn_fr","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_fr","CHF","fs"
"208","","2016","310794362.99","bilanz","ktn_gdn_fr","CHF","fs"
"209","","2016","285509470.51","bilanz","ktn_gdn_fr","CHF","fs"
"290","","2016","115688255","bilanz","ktn_gdn_fr","CHF","fs"
"292","","2016","4e+07","bilanz","ktn_gdn_fr","CHF","fs"
"293","","2016","419690418.04","bilanz","ktn_gdn_fr","CHF","fs"
"294","","2016","103500000","bilanz","ktn_gdn_fr","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_fr","CHF","fs"
"296","","2016","29739543.45","bilanz","ktn_gdn_fr","CHF","fs"
"298","","2016","3970323.57","bilanz","ktn_gdn_fr","CHF","fs"
"299","","2016","1762380105.95","bilanz","ktn_gdn_fr","CHF","fs"
"empty","","2016","","er","ktn_gdn_fr","CHF","fs"
"empty","","2016","","er","ktn_gdn_fr","CHF","fs"
"empty","","2016","","er","ktn_gdn_fr","CHF","fs"
"empty","","2016","","er","ktn_gdn_fr","CHF","fs"
"300","","2016","30712511.99","aufwand","ktn_gdn_fr","CHF","fs"
"301","","2016","677528015.84","aufwand","ktn_gdn_fr","CHF","fs"
"302","","2016","579968692.43","aufwand","ktn_gdn_fr","CHF","fs"
"303","","2016","1447218.43","aufwand","ktn_gdn_fr","CHF","fs"
"304","","2016","18417897.98","aufwand","ktn_gdn_fr","CHF","fs"
"305","","2016","231642552.35","aufwand","ktn_gdn_fr","CHF","fs"
"306","","2016","16182936.07","aufwand","ktn_gdn_fr","CHF","fs"
"309","","2016","8906884.38","aufwand","ktn_gdn_fr","CHF","fs"
"310","","2016","66016411.41","aufwand","ktn_gdn_fr","CHF","fs"
"311","","2016","45164130.28","aufwand","ktn_gdn_fr","CHF","fs"
"312","","2016","44106498.93","aufwand","ktn_gdn_fr","CHF","fs"
"313","","2016","242451764.12","aufwand","ktn_gdn_fr","CHF","fs"
"314","","2016","104175092.47","aufwand","ktn_gdn_fr","CHF","fs"
"315","","2016","33029133.78","aufwand","ktn_gdn_fr","CHF","fs"
"316","","2016","30880014.44","aufwand","ktn_gdn_fr","CHF","fs"
"317","","2016","23173849.44","aufwand","ktn_gdn_fr","CHF","fs"
"318","","2016","42966168.13","aufwand","ktn_gdn_fr","CHF","fs"
"319","","2016","59242780.34","aufwand","ktn_gdn_fr","CHF","fs"
"320","","2016","","aufwand","ktn_gdn_fr","CHF","fs"
"331","","2016","","aufwand","ktn_gdn_fr","CHF","fs"
"337","","2016","149171798.88","aufwand","ktn_gdn_fr","CHF","fs"
"338","","2016","60608752.51","aufwand","ktn_gdn_fr","CHF","fs"
"340","","2016","28622399.84","aufwand","ktn_gdn_fr","CHF","fs"
