"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","539242394.91","bilanz","ktn_gdn_ge","CHF","fs"
"101","","2017","2252964317.43","bilanz","ktn_gdn_ge","CHF","fs"
"102","","2017","94486369","bilanz","ktn_gdn_ge","CHF","fs"
"104","","2017","1483023724.74","bilanz","ktn_gdn_ge","CHF","fs"
"106","","2017","20434993.66","bilanz","ktn_gdn_ge","CHF","fs"
"107","","2017","1392886028.12","bilanz","ktn_gdn_ge","CHF","fs"
"108","","2017","3082487003.89","bilanz","ktn_gdn_ge","CHF","fs"
"109","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"140","","2017","15628815696.55","bilanz","ktn_gdn_ge","CHF","fs"
"141","","2017","1006450.75","bilanz","ktn_gdn_ge","CHF","fs"
"142","","2017","163316752","bilanz","ktn_gdn_ge","CHF","fs"
"143","","2017","391661047.09","bilanz","ktn_gdn_ge","CHF","fs"
"144","","2017","700248529","bilanz","ktn_gdn_ge","CHF","fs"
"145","","2017","1098832091.23","bilanz","ktn_gdn_ge","CHF","fs"
"146","","2017","1006593516.74","bilanz","ktn_gdn_ge","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"200","","2017","2919266565.44","bilanz","ktn_gdn_ge","CHF","fs"
"201","","2017","2582640471.79","bilanz","ktn_gdn_ge","CHF","fs"
"204","","2017","337512693.48","bilanz","ktn_gdn_ge","CHF","fs"
"205","","2017","177781772","bilanz","ktn_gdn_ge","CHF","fs"
"206","","2017","13203869341.25","bilanz","ktn_gdn_ge","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"208","","2017","976608643.25","bilanz","ktn_gdn_ge","CHF","fs"
"209","","2017","345988959.74","bilanz","ktn_gdn_ge","CHF","fs"
"290","","2017","314417792.56","bilanz","ktn_gdn_ge","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"293","","2017","3650873.25","bilanz","ktn_gdn_ge","CHF","fs"
"294","","2017","5.99e+08","bilanz","ktn_gdn_ge","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_ge","CHF","fs"
"296","","2017","243261128","bilanz","ktn_gdn_ge","CHF","fs"
"298","","2017","4313100","bilanz","ktn_gdn_ge","CHF","fs"
"299","","2017","6147687574.35","bilanz","ktn_gdn_ge","CHF","fs"
"empty","","2017","","er","ktn_gdn_ge","CHF","fs"
"empty","","2017","","er","ktn_gdn_ge","CHF","fs"
"empty","","2017","","er","ktn_gdn_ge","CHF","fs"
"empty","","2017","","er","ktn_gdn_ge","CHF","fs"
"300","","2017","58836884.64","aufwand","ktn_gdn_ge","CHF","fs"
"301","","2017","2107470491.61","aufwand","ktn_gdn_ge","CHF","fs"
"302","","2017","1141212365.11","aufwand","ktn_gdn_ge","CHF","fs"
"303","","2017","18414876.2","aufwand","ktn_gdn_ge","CHF","fs"
"304","","2017","56416642.68","aufwand","ktn_gdn_ge","CHF","fs"
"305","","2017","778831344.63","aufwand","ktn_gdn_ge","CHF","fs"
"306","","2017","29906944.39","aufwand","ktn_gdn_ge","CHF","fs"
"309","","2017","27697893.84","aufwand","ktn_gdn_ge","CHF","fs"
"310","","2017","122786805.78","aufwand","ktn_gdn_ge","CHF","fs"
"311","","2017","27868514.14","aufwand","ktn_gdn_ge","CHF","fs"
"312","","2017","89703428.44","aufwand","ktn_gdn_ge","CHF","fs"
"313","","2017","430071219.4","aufwand","ktn_gdn_ge","CHF","fs"
"314","","2017","186679363.25","aufwand","ktn_gdn_ge","CHF","fs"
"315","","2017","46720320.54","aufwand","ktn_gdn_ge","CHF","fs"
"316","","2017","100561901.68","aufwand","ktn_gdn_ge","CHF","fs"
"317","","2017","18673753.84","aufwand","ktn_gdn_ge","CHF","fs"
"318","","2017","185884713.08","aufwand","ktn_gdn_ge","CHF","fs"
"319","","2017","36239578.91","aufwand","ktn_gdn_ge","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"337","","2017","671322094.12","aufwand","ktn_gdn_ge","CHF","fs"
"338","","2017","114011575.13","aufwand","ktn_gdn_ge","CHF","fs"
"340","","2017","216525557.02","aufwand","ktn_gdn_ge","CHF","fs"
"341","","2017","10605200.86","aufwand","ktn_gdn_ge","CHF","fs"
"342","","2017","931363.92","aufwand","ktn_gdn_ge","CHF","fs"
"343","","2017","33146249.35","aufwand","ktn_gdn_ge","CHF","fs"
"344","","2017","11679930.43","aufwand","ktn_gdn_ge","CHF","fs"
"349","","2017","4975350.23","aufwand","ktn_gdn_ge","CHF","fs"
"350","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"351","","2017","19922","aufwand","ktn_gdn_ge","CHF","fs"
"352","","2017","13768653.78","aufwand","ktn_gdn_ge","CHF","fs"
"3600","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36010","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36011","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36012","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36013","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36014","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36015","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36016","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
"36017","","2017","","aufwand","ktn_gdn_ge","CHF","fs"
