"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2019","592212220.68","bilanz","ktn_gdn_gr","CHF","fs"
"101","","2019","1005377411.08","bilanz","ktn_gdn_gr","CHF","fs"
"102","","2019","672562157.19","bilanz","ktn_gdn_gr","CHF","fs"
"104","","2019","291262499.99","bilanz","ktn_gdn_gr","CHF","fs"
"106","","2019","12974434.45","bilanz","ktn_gdn_gr","CHF","fs"
"107","","2019","1688359706.02","bilanz","ktn_gdn_gr","CHF","fs"
"108","","2019","1256983135.87","bilanz","ktn_gdn_gr","CHF","fs"
"109","","2019","2678186.25","bilanz","ktn_gdn_gr","CHF","fs"
"140","","2019","2048715650.4","bilanz","ktn_gdn_gr","CHF","fs"
"141","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"142","","2019","45991060.43","bilanz","ktn_gdn_gr","CHF","fs"
"143","","2019","1","bilanz","ktn_gdn_gr","CHF","fs"
"144","","2019","279625132.71","bilanz","ktn_gdn_gr","CHF","fs"
"145","","2019","456009381.19","bilanz","ktn_gdn_gr","CHF","fs"
"146","","2019","56600463.1","bilanz","ktn_gdn_gr","CHF","fs"
"147","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"148","","2019","-27087283.91","bilanz","ktn_gdn_gr","CHF","fs"
"200","","2019","560802315.57","bilanz","ktn_gdn_gr","CHF","fs"
"201","","2019","472304353.63","bilanz","ktn_gdn_gr","CHF","fs"
"204","","2019","291738653.89","bilanz","ktn_gdn_gr","CHF","fs"
"205","","2019","19719878","bilanz","ktn_gdn_gr","CHF","fs"
"206","","2019","1257641276.7","bilanz","ktn_gdn_gr","CHF","fs"
"207","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"208","","2019","49393094.37","bilanz","ktn_gdn_gr","CHF","fs"
"209","","2019","124657338.4","bilanz","ktn_gdn_gr","CHF","fs"
"290","","2019","860915381.56","bilanz","ktn_gdn_gr","CHF","fs"
"292","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"293","","2019","314148135.17","bilanz","ktn_gdn_gr","CHF","fs"
"294","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"295","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"296","","2019","3855599","bilanz","ktn_gdn_gr","CHF","fs"
"298","","2019","","bilanz","ktn_gdn_gr","CHF","fs"
"299","","2019","4427088130.16","bilanz","ktn_gdn_gr","CHF","fs"
"empty","","2019","","er","ktn_gdn_gr","CHF","fs"
"empty","","2019","","er","ktn_gdn_gr","CHF","fs"
"empty","","2019","","er","ktn_gdn_gr","CHF","fs"
"empty","","2019","","er","ktn_gdn_gr","CHF","fs"
"300","","2019","26144939.58","aufwand","ktn_gdn_gr","CHF","fs"
"301","","2019","544141942.57","aufwand","ktn_gdn_gr","CHF","fs"
"302","","2019","266687511.96","aufwand","ktn_gdn_gr","CHF","fs"
"303","","2019","1652569.35","aufwand","ktn_gdn_gr","CHF","fs"
