"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","75285672.08","bilanz","ktn_gdn_ju","CHF","fs"
"101","","2017","290533230.61","bilanz","ktn_gdn_ju","CHF","fs"
"102","","2017","86227.81","bilanz","ktn_gdn_ju","CHF","fs"
"104","","2017","80719204.25","bilanz","ktn_gdn_ju","CHF","fs"
"106","","2017","110931.59","bilanz","ktn_gdn_ju","CHF","fs"
"107","","2017","33470682.65","bilanz","ktn_gdn_ju","CHF","fs"
"108","","2017","104876013.92","bilanz","ktn_gdn_ju","CHF","fs"
"109","","2017","51896570.69","bilanz","ktn_gdn_ju","CHF","fs"
"140","","2017","754687680.74","bilanz","ktn_gdn_ju","CHF","fs"
"141","","2017","66982.55","bilanz","ktn_gdn_ju","CHF","fs"
"142","","2017","1122787.48","bilanz","ktn_gdn_ju","CHF","fs"
"143","","2017","2602034.21","bilanz","ktn_gdn_ju","CHF","fs"
"144","","2017","97688436.75","bilanz","ktn_gdn_ju","CHF","fs"
"145","","2017","23414418","bilanz","ktn_gdn_ju","CHF","fs"
"146","","2017","91998847.02","bilanz","ktn_gdn_ju","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"200","","2017","139429422.98","bilanz","ktn_gdn_ju","CHF","fs"
"201","","2017","125781596.32","bilanz","ktn_gdn_ju","CHF","fs"
"204","","2017","70346423.98","bilanz","ktn_gdn_ju","CHF","fs"
"205","","2017","3031442.7","bilanz","ktn_gdn_ju","CHF","fs"
"206","","2017","882887702.24","bilanz","ktn_gdn_ju","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"208","","2017","88760342.56","bilanz","ktn_gdn_ju","CHF","fs"
"209","","2017","69660311.28","bilanz","ktn_gdn_ju","CHF","fs"
"290","","2017","11385330.63","bilanz","ktn_gdn_ju","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"293","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"294","","2017","26500000","bilanz","ktn_gdn_ju","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"296","","2017","41870","bilanz","ktn_gdn_ju","CHF","fs"
"298","","2017","","bilanz","ktn_gdn_ju","CHF","fs"
"299","","2017","190735277.64","bilanz","ktn_gdn_ju","CHF","fs"
"empty","","2017","","er","ktn_gdn_ju","CHF","fs"
"empty","","2017","","er","ktn_gdn_ju","CHF","fs"
"empty","","2017","","er","ktn_gdn_ju","CHF","fs"
"empty","","2017","","er","ktn_gdn_ju","CHF","fs"
"300","","2017","8843643.46","aufwand","ktn_gdn_ju","CHF","fs"
"301","","2017","152391313.34","aufwand","ktn_gdn_ju","CHF","fs"
"302","","2017","110802081.68","aufwand","ktn_gdn_ju","CHF","fs"
"303","","2017","790389.87","aufwand","ktn_gdn_ju","CHF","fs"
"304","","2017","1192186.55","aufwand","ktn_gdn_ju","CHF","fs"
"305","","2017","55810474.08","aufwand","ktn_gdn_ju","CHF","fs"
"306","","2017","1405939.1","aufwand","ktn_gdn_ju","CHF","fs"
"309","","2017","1224926.43","aufwand","ktn_gdn_ju","CHF","fs"
"310","","2017","14110700.32","aufwand","ktn_gdn_ju","CHF","fs"
"311","","2017","3543293.38","aufwand","ktn_gdn_ju","CHF","fs"
"312","","2017","17842421.2","aufwand","ktn_gdn_ju","CHF","fs"
"313","","2017","59297683.47","aufwand","ktn_gdn_ju","CHF","fs"
"314","","2017","22218866.3","aufwand","ktn_gdn_ju","CHF","fs"
"315","","2017","8893102.34","aufwand","ktn_gdn_ju","CHF","fs"
"316","","2017","7733135.51","aufwand","ktn_gdn_ju","CHF","fs"
"317","","2017","4867628.09","aufwand","ktn_gdn_ju","CHF","fs"
"318","","2017","16468983.17","aufwand","ktn_gdn_ju","CHF","fs"
"319","","2017","5305309.32","aufwand","ktn_gdn_ju","CHF","fs"
"320","","2017","","aufwand","ktn_gdn_ju","CHF","fs"
"331","","2017","","aufwand","ktn_gdn_ju","CHF","fs"
"337","","2017","39755696.23","aufwand","ktn_gdn_ju","CHF","fs"
"338","","2017","4239895.66","aufwand","ktn_gdn_ju","CHF","fs"
"340","","2017","16108216.74","aufwand","ktn_gdn_ju","CHF","fs"
"341","","2017","46484.77","aufwand","ktn_gdn_ju","CHF","fs"
"342","","2017","3667.05","aufwand","ktn_gdn_ju","CHF","fs"
"343","","2017","952772.65","aufwand","ktn_gdn_ju","CHF","fs"
"344","","2017","5341184.88","aufwand","ktn_gdn_ju","CHF","fs"
"349","","2017","460829.71","aufwand","ktn_gdn_ju","CHF","fs"
"350","","2017","1235.78","aufwand","ktn_gdn_ju","CHF","fs"
"351","","2017","10636678.91","aufwand","ktn_gdn_ju","CHF","fs"
"352","","2017","14195008.49","aufwand","ktn_gdn_ju","CHF","fs"
"3600","","2017","","aufwand","ktn_gdn_ju","CHF","fs"
"36010","","2017","","aufwand","ktn_gdn_ju","CHF","fs"
