"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2015","520439023.03","bilanz","ktn_gdn_lu","CHF","fs"
"101","","2015","1137072281.13","bilanz","ktn_gdn_lu","CHF","fs"
"102","","2015","153598250.05","bilanz","ktn_gdn_lu","CHF","fs"
"104","","2015","340463567.74","bilanz","ktn_gdn_lu","CHF","fs"
"106","","2015","5810008.18","bilanz","ktn_gdn_lu","CHF","fs"
"107","","2015","535037872.85","bilanz","ktn_gdn_lu","CHF","fs"
"108","","2015","582458411.44","bilanz","ktn_gdn_lu","CHF","fs"
"109","","2015","931151.32","bilanz","ktn_gdn_lu","CHF","fs"
"140","","2015","4884968927.81","bilanz","ktn_gdn_lu","CHF","fs"
"141","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"142","","2015","40772438.81","bilanz","ktn_gdn_lu","CHF","fs"
"143","","2015","151139188.33","bilanz","ktn_gdn_lu","CHF","fs"
"144","","2015","337879724","bilanz","ktn_gdn_lu","CHF","fs"
"145","","2015","677129194","bilanz","ktn_gdn_lu","CHF","fs"
"146","","2015","477314284.79","bilanz","ktn_gdn_lu","CHF","fs"
"147","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"148","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"200","","2015","1310589860.27","bilanz","ktn_gdn_lu","CHF","fs"
"201","","2015","74721368.54","bilanz","ktn_gdn_lu","CHF","fs"
"204","","2015","308870045.15","bilanz","ktn_gdn_lu","CHF","fs"
"205","","2015","27759098","bilanz","ktn_gdn_lu","CHF","fs"
"206","","2015","3096749398.08","bilanz","ktn_gdn_lu","CHF","fs"
"207","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"208","","2015","97863213.43","bilanz","ktn_gdn_lu","CHF","fs"
"209","","2015","526821385.03","bilanz","ktn_gdn_lu","CHF","fs"
"290","","2015","36700316","bilanz","ktn_gdn_lu","CHF","fs"
"292","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"293","","2015","232560096.24","bilanz","ktn_gdn_lu","CHF","fs"
"294","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"295","","2015","2522846961","bilanz","ktn_gdn_lu","CHF","fs"
"296","","2015","513859161","bilanz","ktn_gdn_lu","CHF","fs"
"298","","2015","","bilanz","ktn_gdn_lu","CHF","fs"
"299","","2015","1095673420.73","bilanz","ktn_gdn_lu","CHF","fs"
"empty","","2015","","er","ktn_gdn_lu","CHF","fs"
"empty","","2015","","er","ktn_gdn_lu","CHF","fs"
"empty","","2015","","er","ktn_gdn_lu","CHF","fs"
"empty","","2015","","er","ktn_gdn_lu","CHF","fs"
