"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","76891709.94","bilanz","ktn_gdn_ow","CHF","fs"
"101","","2021","234790518.82","bilanz","ktn_gdn_ow","CHF","fs"
"102","","2021","10456881","bilanz","ktn_gdn_ow","CHF","fs"
"104","","2021","40849055.83","bilanz","ktn_gdn_ow","CHF","fs"
"106","","2021","375804.76","bilanz","ktn_gdn_ow","CHF","fs"
"107","","2021","27969710.2","bilanz","ktn_gdn_ow","CHF","fs"
"108","","2021","24122977.53","bilanz","ktn_gdn_ow","CHF","fs"
"109","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"140","","2021","146496677.85","bilanz","ktn_gdn_ow","CHF","fs"
"141","","2021","50161.73","bilanz","ktn_gdn_ow","CHF","fs"
"142","","2021","2125333.53","bilanz","ktn_gdn_ow","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"144","","2021","17284400.95","bilanz","ktn_gdn_ow","CHF","fs"
"145","","2021","28393261","bilanz","ktn_gdn_ow","CHF","fs"
"146","","2021","32095320.75","bilanz","ktn_gdn_ow","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"148","","2021","-15652209.09","bilanz","ktn_gdn_ow","CHF","fs"
"200","","2021","89239377.49","bilanz","ktn_gdn_ow","CHF","fs"
"201","","2021","123748305.4","bilanz","ktn_gdn_ow","CHF","fs"
"204","","2021","26450439.73","bilanz","ktn_gdn_ow","CHF","fs"
"205","","2021","3725552.7","bilanz","ktn_gdn_ow","CHF","fs"
"206","","2021","82062723.85","bilanz","ktn_gdn_ow","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"208","","2021","8945851.79","bilanz","ktn_gdn_ow","CHF","fs"
"209","","2021","37969135.91","bilanz","ktn_gdn_ow","CHF","fs"
"290","","2021","33326490.48","bilanz","ktn_gdn_ow","CHF","fs"
"292","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"293","","2021","34545165.04","bilanz","ktn_gdn_ow","CHF","fs"
"294","","2021","104900000","bilanz","ktn_gdn_ow","CHF","fs"
"295","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"296","","2021","203800","bilanz","ktn_gdn_ow","CHF","fs"
"298","","2021","","bilanz","ktn_gdn_ow","CHF","fs"
"299","","2021","81132762.41","bilanz","ktn_gdn_ow","CHF","fs"
"empty","","2021","","er","ktn_gdn_ow","CHF","fs"
"empty","","2021","","er","ktn_gdn_ow","CHF","fs"
"empty","","2021","","er","ktn_gdn_ow","CHF","fs"
"empty","","2021","","er","ktn_gdn_ow","CHF","fs"
"300","","2021","3466541.95","aufwand","ktn_gdn_ow","CHF","fs"
"301","","2021","63951658.27","aufwand","ktn_gdn_ow","CHF","fs"
"302","","2021","51657637.38","aufwand","ktn_gdn_ow","CHF","fs"
"303","","2021","87150.65","aufwand","ktn_gdn_ow","CHF","fs"
"304","","2021","1844560.61","aufwand","ktn_gdn_ow","CHF","fs"
"305","","2021","19900543.71","aufwand","ktn_gdn_ow","CHF","fs"
"306","","2021","560554.13","aufwand","ktn_gdn_ow","CHF","fs"
"309","","2021","1664063.9","aufwand","ktn_gdn_ow","CHF","fs"
"310","","2021","6981140.93","aufwand","ktn_gdn_ow","CHF","fs"
"311","","2021","3388461.75","aufwand","ktn_gdn_ow","CHF","fs"
"312","","2021","3803386.44","aufwand","ktn_gdn_ow","CHF","fs"
"313","","2021","26952739.57","aufwand","ktn_gdn_ow","CHF","fs"
"314","","2021","14010990.38","aufwand","ktn_gdn_ow","CHF","fs"
"315","","2021","2696732.89","aufwand","ktn_gdn_ow","CHF","fs"
"316","","2021","2308286.83","aufwand","ktn_gdn_ow","CHF","fs"
"317","","2021","1578397.23","aufwand","ktn_gdn_ow","CHF","fs"
"318","","2021","1238453.45","aufwand","ktn_gdn_ow","CHF","fs"
"319","","2021","1173383.87","aufwand","ktn_gdn_ow","CHF","fs"
"320","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"331","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"337","","2021","10949352.23","aufwand","ktn_gdn_ow","CHF","fs"
"338","","2021","114200","aufwand","ktn_gdn_ow","CHF","fs"
"340","","2021","907230.14","aufwand","ktn_gdn_ow","CHF","fs"
"341","","2021","2339.53","aufwand","ktn_gdn_ow","CHF","fs"
"342","","2021","8702.65","aufwand","ktn_gdn_ow","CHF","fs"
"343","","2021","100362.27","aufwand","ktn_gdn_ow","CHF","fs"
"344","","2021","322308.5","aufwand","ktn_gdn_ow","CHF","fs"
"349","","2021","183457.64","aufwand","ktn_gdn_ow","CHF","fs"
"350","","2021","778367.24","aufwand","ktn_gdn_ow","CHF","fs"
"351","","2021","4673365.94","aufwand","ktn_gdn_ow","CHF","fs"
"352","","2021","45000","aufwand","ktn_gdn_ow","CHF","fs"
"3600","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36010","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36011","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36012","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36013","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36014","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36015","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36016","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36017","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36018","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36019","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36021","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36022","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36023","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36029","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3603","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3604","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3610","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3611","","2021","11350476.05","aufwand","ktn_gdn_ow","CHF","fs"
"3612","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3613","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3614","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"3620","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36211","","2021","10908200","aufwand","ktn_gdn_ow","CHF","fs"
"36212","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36213","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36214","","2021","363659","aufwand","ktn_gdn_ow","CHF","fs"
"36215","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36216","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36217","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36219","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36221","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36222","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36223","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
"36224","","2021","","aufwand","ktn_gdn_ow","CHF","fs"
