"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2018","1477645917.75","bilanz","ktn_gdn_sg","CHF","fs"
"101","","2018","1603696958.66","bilanz","ktn_gdn_sg","CHF","fs"
"102","","2018","78274024.83","bilanz","ktn_gdn_sg","CHF","fs"
"104","","2018","279005514.92","bilanz","ktn_gdn_sg","CHF","fs"
"106","","2018","19604443.75","bilanz","ktn_gdn_sg","CHF","fs"
"107","","2018","420422644.8","bilanz","ktn_gdn_sg","CHF","fs"
"108","","2018","1342304780.53","bilanz","ktn_gdn_sg","CHF","fs"
"109","","2018","27063009.42","bilanz","ktn_gdn_sg","CHF","fs"
"140","","2018","1819441284.88","bilanz","ktn_gdn_sg","CHF","fs"
"141","","2018","","bilanz","ktn_gdn_sg","CHF","fs"
"142","","2018","25734404.1","bilanz","ktn_gdn_sg","CHF","fs"
"143","","2018","323208396.48","bilanz","ktn_gdn_sg","CHF","fs"
"144","","2018","586958759.79","bilanz","ktn_gdn_sg","CHF","fs"
"145","","2018","661990964","bilanz","ktn_gdn_sg","CHF","fs"
"146","","2018","74552390.64","bilanz","ktn_gdn_sg","CHF","fs"
"147","","2018","","bilanz","ktn_gdn_sg","CHF","fs"
"148","","2018","","bilanz","ktn_gdn_sg","CHF","fs"
"200","","2018","1140421017.44","bilanz","ktn_gdn_sg","CHF","fs"
"201","","2018","328096201","bilanz","ktn_gdn_sg","CHF","fs"
"204","","2018","549614852.96","bilanz","ktn_gdn_sg","CHF","fs"
"205","","2018","185294150.75","bilanz","ktn_gdn_sg","CHF","fs"
"206","","2018","3062409358.75","bilanz","ktn_gdn_sg","CHF","fs"
"207","","2018","","bilanz","ktn_gdn_sg","CHF","fs"
"208","","2018","257814300.78","bilanz","ktn_gdn_sg","CHF","fs"
"209","","2018","422640035.88","bilanz","ktn_gdn_sg","CHF","fs"
"290","","2018","494840920.36","bilanz","ktn_gdn_sg","CHF","fs"
"292","","2018","881974.57","bilanz","ktn_gdn_sg","CHF","fs"
"293","","2018","368383157.33","bilanz","ktn_gdn_sg","CHF","fs"
"294","","2018","127890887.35","bilanz","ktn_gdn_sg","CHF","fs"
"295","","2018","84904455.11","bilanz","ktn_gdn_sg","CHF","fs"
"296","","2018","","bilanz","ktn_gdn_sg","CHF","fs"
"298","","2018","264379500","bilanz","ktn_gdn_sg","CHF","fs"
"299","","2018","1452332682.27","bilanz","ktn_gdn_sg","CHF","fs"
"empty","","2018","","er","ktn_gdn_sg","CHF","fs"
"empty","","2018","","er","ktn_gdn_sg","CHF","fs"
"empty","","2018","","er","ktn_gdn_sg","CHF","fs"
"empty","","2018","","er","ktn_gdn_sg","CHF","fs"
"300","","2018","43078314.51","aufwand","ktn_gdn_sg","CHF","fs"
"301","","2018","918278644.13","aufwand","ktn_gdn_sg","CHF","fs"
"302","","2018","846286461.27","aufwand","ktn_gdn_sg","CHF","fs"
"303","","2018","11311207.45","aufwand","ktn_gdn_sg","CHF","fs"
"304","","2018","15624323.33","aufwand","ktn_gdn_sg","CHF","fs"
"305","","2018","314262384.3","aufwand","ktn_gdn_sg","CHF","fs"
"306","","2018","4500582.13","aufwand","ktn_gdn_sg","CHF","fs"
"309","","2018","29042555.96","aufwand","ktn_gdn_sg","CHF","fs"
"310","","2018","115655399.42","aufwand","ktn_gdn_sg","CHF","fs"
"311","","2018","62159013.15","aufwand","ktn_gdn_sg","CHF","fs"
"312","","2018","49118321.84","aufwand","ktn_gdn_sg","CHF","fs"
"313","","2018","398685053.86","aufwand","ktn_gdn_sg","CHF","fs"
"314","","2018","239778783.03","aufwand","ktn_gdn_sg","CHF","fs"
"315","","2018","38643138.89","aufwand","ktn_gdn_sg","CHF","fs"
"316","","2018","66901902.28","aufwand","ktn_gdn_sg","CHF","fs"
"317","","2018","51177237.24","aufwand","ktn_gdn_sg","CHF","fs"
"318","","2018","46563584.42","aufwand","ktn_gdn_sg","CHF","fs"
"319","","2018","70841570.01","aufwand","ktn_gdn_sg","CHF","fs"
"320","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"331","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"337","","2018","315024002.29","aufwand","ktn_gdn_sg","CHF","fs"
"338","","2018","37597781.55","aufwand","ktn_gdn_sg","CHF","fs"
"340","","2018","46461804.78","aufwand","ktn_gdn_sg","CHF","fs"
"341","","2018","396067.39","aufwand","ktn_gdn_sg","CHF","fs"
"342","","2018","216659.72","aufwand","ktn_gdn_sg","CHF","fs"
"343","","2018","10790616.03","aufwand","ktn_gdn_sg","CHF","fs"
"344","","2018","23438372.64","aufwand","ktn_gdn_sg","CHF","fs"
"349","","2018","2135414.13","aufwand","ktn_gdn_sg","CHF","fs"
"350","","2018","13206482.14","aufwand","ktn_gdn_sg","CHF","fs"
"351","","2018","52439764.67","aufwand","ktn_gdn_sg","CHF","fs"
"352","","2018","34410368.1","aufwand","ktn_gdn_sg","CHF","fs"
"3600","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36010","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36011","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36012","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36013","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36014","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36015","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36016","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
"36017","","2018","","aufwand","ktn_gdn_sg","CHF","fs"
