"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","173812138.46","bilanz","ktn_gdn_sh","CHF","fs"
"101","","2016","233202798.71","bilanz","ktn_gdn_sh","CHF","fs"
"102","","2016","2385016.85","bilanz","ktn_gdn_sh","CHF","fs"
"104","","2016","126263236.97","bilanz","ktn_gdn_sh","CHF","fs"
"106","","2016","304131.44","bilanz","ktn_gdn_sh","CHF","fs"
"107","","2016","7522888.19","bilanz","ktn_gdn_sh","CHF","fs"
"108","","2016","169052758.73","bilanz","ktn_gdn_sh","CHF","fs"
"109","","2016","15678.4","bilanz","ktn_gdn_sh","CHF","fs"
"140","","2016","302044918.25","bilanz","ktn_gdn_sh","CHF","fs"
"141","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"142","","2016","3467861.35","bilanz","ktn_gdn_sh","CHF","fs"
"143","","2016","200646577.58","bilanz","ktn_gdn_sh","CHF","fs"
"144","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"145","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"146","","2016","61229338.3","bilanz","ktn_gdn_sh","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"200","","2016","251889997.31","bilanz","ktn_gdn_sh","CHF","fs"
"201","","2016","31893546.7","bilanz","ktn_gdn_sh","CHF","fs"
"204","","2016","73655301.78","bilanz","ktn_gdn_sh","CHF","fs"
"205","","2016","1e+05","bilanz","ktn_gdn_sh","CHF","fs"
"206","","2016","439628397.6","bilanz","ktn_gdn_sh","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"208","","2016","15209533.2","bilanz","ktn_gdn_sh","CHF","fs"
"209","","2016","160746882.02","bilanz","ktn_gdn_sh","CHF","fs"
"290","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"292","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"293","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"294","","2016","20700000","bilanz","ktn_gdn_sh","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"296","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"298","","2016","","bilanz","ktn_gdn_sh","CHF","fs"
"299","","2016","286123684.62","bilanz","ktn_gdn_sh","CHF","fs"
"empty","","2016","","er","ktn_gdn_sh","CHF","fs"
"empty","","2016","","er","ktn_gdn_sh","CHF","fs"
"empty","","2016","","er","ktn_gdn_sh","CHF","fs"
"empty","","2016","","er","ktn_gdn_sh","CHF","fs"
"300","","2016","9660740.94","aufwand","ktn_gdn_sh","CHF","fs"
"301","","2016","154764548.62","aufwand","ktn_gdn_sh","CHF","fs"
"302","","2016","98124765.99","aufwand","ktn_gdn_sh","CHF","fs"
"303","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"304","","2016","556638.88","aufwand","ktn_gdn_sh","CHF","fs"
"305","","2016","53886712.96","aufwand","ktn_gdn_sh","CHF","fs"
"306","","2016","2701554.85","aufwand","ktn_gdn_sh","CHF","fs"
"309","","2016","4772625.42","aufwand","ktn_gdn_sh","CHF","fs"
"310","","2016","19131692.37","aufwand","ktn_gdn_sh","CHF","fs"
"311","","2016","10050814.81","aufwand","ktn_gdn_sh","CHF","fs"
"312","","2016","14949917.67","aufwand","ktn_gdn_sh","CHF","fs"
"313","","2016","61022091.28","aufwand","ktn_gdn_sh","CHF","fs"
"314","","2016","22599917.25","aufwand","ktn_gdn_sh","CHF","fs"
"315","","2016","19098078.97","aufwand","ktn_gdn_sh","CHF","fs"
"316","","2016","5446774.26","aufwand","ktn_gdn_sh","CHF","fs"
"317","","2016","2083566.37","aufwand","ktn_gdn_sh","CHF","fs"
"318","","2016","5231462.86","aufwand","ktn_gdn_sh","CHF","fs"
"319","","2016","5089579.99","aufwand","ktn_gdn_sh","CHF","fs"
"320","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"331","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"337","","2016","49889575.28","aufwand","ktn_gdn_sh","CHF","fs"
"338","","2016","8882835.91","aufwand","ktn_gdn_sh","CHF","fs"
"340","","2016","7154328.16","aufwand","ktn_gdn_sh","CHF","fs"
"341","","2016","63839.46","aufwand","ktn_gdn_sh","CHF","fs"
"342","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"343","","2016","1784688.14","aufwand","ktn_gdn_sh","CHF","fs"
"344","","2016","793696.4","aufwand","ktn_gdn_sh","CHF","fs"
"349","","2016","1009872.71","aufwand","ktn_gdn_sh","CHF","fs"
"350","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"351","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"352","","2016","25957687.12","aufwand","ktn_gdn_sh","CHF","fs"
"3600","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36010","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36011","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36012","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36013","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36014","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36015","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36016","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36017","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
"36018","","2016","","aufwand","ktn_gdn_sh","CHF","fs"
