"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","463615972.79","bilanz","ktn_gdn_so","CHF","fs"
"101","","2016","717030855.15","bilanz","ktn_gdn_so","CHF","fs"
"102","","2016","30711327.75","bilanz","ktn_gdn_so","CHF","fs"
"104","","2016","333735278.82","bilanz","ktn_gdn_so","CHF","fs"
"106","","2016","4460030.46","bilanz","ktn_gdn_so","CHF","fs"
"107","","2016","200128500.24","bilanz","ktn_gdn_so","CHF","fs"
"108","","2016","490817072.91","bilanz","ktn_gdn_so","CHF","fs"
"109","","2016","112057.44","bilanz","ktn_gdn_so","CHF","fs"
"140","","2016","2239967910.23","bilanz","ktn_gdn_so","CHF","fs"
"141","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"142","","2016","6471357.99","bilanz","ktn_gdn_so","CHF","fs"
"143","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"144","","2016","124360774.45","bilanz","ktn_gdn_so","CHF","fs"
"145","","2016","86082755.83","bilanz","ktn_gdn_so","CHF","fs"
"146","","2016","71877136.33","bilanz","ktn_gdn_so","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"148","","2016","-6163141.16","bilanz","ktn_gdn_so","CHF","fs"
"200","","2016","457998431.3","bilanz","ktn_gdn_so","CHF","fs"
"201","","2016","254602808.69","bilanz","ktn_gdn_so","CHF","fs"
"204","","2016","190122736.33","bilanz","ktn_gdn_so","CHF","fs"
"205","","2016","456265.2","bilanz","ktn_gdn_so","CHF","fs"
"206","","2016","2756213794.81","bilanz","ktn_gdn_so","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"208","","2016","29090153.74","bilanz","ktn_gdn_so","CHF","fs"
"209","","2016","162243157.69","bilanz","ktn_gdn_so","CHF","fs"
"290","","2016","854036358.64","bilanz","ktn_gdn_so","CHF","fs"
"292","","2016","66355762","bilanz","ktn_gdn_so","CHF","fs"
"293","","2016","55675111.29","bilanz","ktn_gdn_so","CHF","fs"
"294","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"295","","2016","495468858.28","bilanz","ktn_gdn_so","CHF","fs"
"296","","2016","148625903.32","bilanz","ktn_gdn_so","CHF","fs"
"298","","2016","","bilanz","ktn_gdn_so","CHF","fs"
"299","","2016","-707681452.04","bilanz","ktn_gdn_so","CHF","fs"
"empty","","2016","","er","ktn_gdn_so","CHF","fs"
"empty","","2016","","er","ktn_gdn_so","CHF","fs"
"empty","","2016","","er","ktn_gdn_so","CHF","fs"
"empty","","2016","","er","ktn_gdn_so","CHF","fs"
"300","","2016","25870536.24","aufwand","ktn_gdn_so","CHF","fs"
"301","","2016","444998999.4","aufwand","ktn_gdn_so","CHF","fs"
"302","","2016","342973720.83","aufwand","ktn_gdn_so","CHF","fs"
"303","","2016","483284.49","aufwand","ktn_gdn_so","CHF","fs"
"304","","2016","1213657.25","aufwand","ktn_gdn_so","CHF","fs"
