"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2017","355643169.5","bilanz","ktn_gdn_sz","CHF","fs"
"101","","2017","583359841.44","bilanz","ktn_gdn_sz","CHF","fs"
"102","","2017","2e+07","bilanz","ktn_gdn_sz","CHF","fs"
"104","","2017","90742297.45","bilanz","ktn_gdn_sz","CHF","fs"
"106","","2017","639571.79","bilanz","ktn_gdn_sz","CHF","fs"
"107","","2017","28047186.09","bilanz","ktn_gdn_sz","CHF","fs"
"108","","2017","133345459.69","bilanz","ktn_gdn_sz","CHF","fs"
"109","","2017","36828340.36","bilanz","ktn_gdn_sz","CHF","fs"
"140","","2017","591224586.31","bilanz","ktn_gdn_sz","CHF","fs"
"141","","2017","348688.48","bilanz","ktn_gdn_sz","CHF","fs"
"142","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"143","","2017","35654698.78","bilanz","ktn_gdn_sz","CHF","fs"
"144","","2017","96444871.45","bilanz","ktn_gdn_sz","CHF","fs"
"145","","2017","53261813","bilanz","ktn_gdn_sz","CHF","fs"
"146","","2017","65627890.9","bilanz","ktn_gdn_sz","CHF","fs"
"147","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"148","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"200","","2017","372237617.76","bilanz","ktn_gdn_sz","CHF","fs"
"201","","2017","32836844.54","bilanz","ktn_gdn_sz","CHF","fs"
"204","","2017","74017646.07","bilanz","ktn_gdn_sz","CHF","fs"
"205","","2017","5621565","bilanz","ktn_gdn_sz","CHF","fs"
"206","","2017","654123976.2","bilanz","ktn_gdn_sz","CHF","fs"
"207","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"208","","2017","65902770","bilanz","ktn_gdn_sz","CHF","fs"
"209","","2017","135307263.39","bilanz","ktn_gdn_sz","CHF","fs"
"290","","2017","151677633.64","bilanz","ktn_gdn_sz","CHF","fs"
"292","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"293","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"294","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"295","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"296","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"298","","2017","","bilanz","ktn_gdn_sz","CHF","fs"
"299","","2017","599443098.64","bilanz","ktn_gdn_sz","CHF","fs"
"empty","","2017","","er","ktn_gdn_sz","CHF","fs"
