"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","457622341.71","bilanz","ktn_gdn_tg","CHF","fs"
"101","","2021","670928609.62","bilanz","ktn_gdn_tg","CHF","fs"
"102","","2021","118618529.3","bilanz","ktn_gdn_tg","CHF","fs"
"104","","2021","207791818.8","bilanz","ktn_gdn_tg","CHF","fs"
"106","","2021","3963795.75","bilanz","ktn_gdn_tg","CHF","fs"
"107","","2021","254903088.83","bilanz","ktn_gdn_tg","CHF","fs"
"108","","2021","597387727.37","bilanz","ktn_gdn_tg","CHF","fs"
"109","","2021","204029.09","bilanz","ktn_gdn_tg","CHF","fs"
"140","","2021","1808624713.4","bilanz","ktn_gdn_tg","CHF","fs"
"141","","2021","4500","bilanz","ktn_gdn_tg","CHF","fs"
"142","","2021","12517327.76","bilanz","ktn_gdn_tg","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_tg","CHF","fs"
"144","","2021","240106352.11","bilanz","ktn_gdn_tg","CHF","fs"
"145","","2021","598509498.01","bilanz","ktn_gdn_tg","CHF","fs"
"146","","2021","71250764.53","bilanz","ktn_gdn_tg","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_tg","CHF","fs"
"148","","2021","-14727310.77","bilanz","ktn_gdn_tg","CHF","fs"
"200","","2021","668279387.26","bilanz","ktn_gdn_tg","CHF","fs"
"201","","2021","158733233.23","bilanz","ktn_gdn_tg","CHF","fs"
"204","","2021","105009331.49","bilanz","ktn_gdn_tg","CHF","fs"
"205","","2021","115772050.28","bilanz","ktn_gdn_tg","CHF","fs"
"206","","2021","1310236876","bilanz","ktn_gdn_tg","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_tg","CHF","fs"
"208","","2021","42541529.3","bilanz","ktn_gdn_tg","CHF","fs"
"209","","2021","416375657.25","bilanz","ktn_gdn_tg","CHF","fs"
"290","","2021","432822981.86","bilanz","ktn_gdn_tg","CHF","fs"
"292","","2021","11959995.78","bilanz","ktn_gdn_tg","CHF","fs"
"293","","2021","134068035.78","bilanz","ktn_gdn_tg","CHF","fs"
"294","","2021","380366995.08","bilanz","ktn_gdn_tg","CHF","fs"
"295","","2021","","bilanz","ktn_gdn_tg","CHF","fs"
"296","","2021","148458231.8","bilanz","ktn_gdn_tg","CHF","fs"
"298","","2021","11740845.44","bilanz","ktn_gdn_tg","CHF","fs"
"299","","2021","1091340634.96","bilanz","ktn_gdn_tg","CHF","fs"
"empty","","2021","","er","ktn_gdn_tg","CHF","fs"
"empty","","2021","","er","ktn_gdn_tg","CHF","fs"
"empty","","2021","","er","ktn_gdn_tg","CHF","fs"
