"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","455961461.74","bilanz","ktn_gdn_ti","CHF","fs"
"101","","2016","1372030865.18","bilanz","ktn_gdn_ti","CHF","fs"
"102","","2016","338538918.98","bilanz","ktn_gdn_ti","CHF","fs"
"104","","2016","1543984528.08","bilanz","ktn_gdn_ti","CHF","fs"
"106","","2016","2115313.11","bilanz","ktn_gdn_ti","CHF","fs"
"107","","2016","240081110.8","bilanz","ktn_gdn_ti","CHF","fs"
"108","","2016","264149430.06","bilanz","ktn_gdn_ti","CHF","fs"
"109","","2016","430773691","bilanz","ktn_gdn_ti","CHF","fs"
"140","","2016","2431542454.31","bilanz","ktn_gdn_ti","CHF","fs"
"141","","2016","1","bilanz","ktn_gdn_ti","CHF","fs"
"142","","2016","4713114.57","bilanz","ktn_gdn_ti","CHF","fs"
"143","","2016","914526211.98","bilanz","ktn_gdn_ti","CHF","fs"
"144","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"145","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"146","","2016","471027902.18","bilanz","ktn_gdn_ti","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"200","","2016","706193655.29","bilanz","ktn_gdn_ti","CHF","fs"
"201","","2016","786782465.68","bilanz","ktn_gdn_ti","CHF","fs"
"204","","2016","1085056967.67","bilanz","ktn_gdn_ti","CHF","fs"
"205","","2016","23679552","bilanz","ktn_gdn_ti","CHF","fs"
"206","","2016","5285185290.21","bilanz","ktn_gdn_ti","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"208","","2016","126660415.11","bilanz","ktn_gdn_ti","CHF","fs"
"209","","2016","210015227.58","bilanz","ktn_gdn_ti","CHF","fs"
"290","","2016","20373.98","bilanz","ktn_gdn_ti","CHF","fs"
"292","","2016","8051125","bilanz","ktn_gdn_ti","CHF","fs"
"293","","2016","66234659.74","bilanz","ktn_gdn_ti","CHF","fs"
"294","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_ti","CHF","fs"
"296","","2016","-301740","bilanz","ktn_gdn_ti","CHF","fs"
"298","","2016","1.1e+07","bilanz","ktn_gdn_ti","CHF","fs"
"299","","2016","160867010.72","bilanz","ktn_gdn_ti","CHF","fs"
"empty","","2016","","er","ktn_gdn_ti","CHF","fs"
"empty","","2016","","er","ktn_gdn_ti","CHF","fs"
"empty","","2016","","er","ktn_gdn_ti","CHF","fs"
"empty","","2016","","er","ktn_gdn_ti","CHF","fs"
"300","","2016","33268498.06","aufwand","ktn_gdn_ti","CHF","fs"
"301","","2016","847217051.59","aufwand","ktn_gdn_ti","CHF","fs"
"302","","2016","542259087.67","aufwand","ktn_gdn_ti","CHF","fs"
"303","","2016","1706937.41","aufwand","ktn_gdn_ti","CHF","fs"
"304","","2016","1605282.13","aufwand","ktn_gdn_ti","CHF","fs"
"305","","2016","296490925.49","aufwand","ktn_gdn_ti","CHF","fs"
"306","","2016","13386768.08","aufwand","ktn_gdn_ti","CHF","fs"
"309","","2016","10163335.37","aufwand","ktn_gdn_ti","CHF","fs"
"310","","2016","61502336.28","aufwand","ktn_gdn_ti","CHF","fs"
"311","","2016","32946468.5","aufwand","ktn_gdn_ti","CHF","fs"
"312","","2016","55714741.62","aufwand","ktn_gdn_ti","CHF","fs"
"313","","2016","335391656.47","aufwand","ktn_gdn_ti","CHF","fs"
"314","","2016","110532864.99","aufwand","ktn_gdn_ti","CHF","fs"
"315","","2016","37028826.27","aufwand","ktn_gdn_ti","CHF","fs"
"316","","2016","33450459.37","aufwand","ktn_gdn_ti","CHF","fs"
"317","","2016","14364308.43","aufwand","ktn_gdn_ti","CHF","fs"
"318","","2016","41717836.92","aufwand","ktn_gdn_ti","CHF","fs"
"319","","2016","22221479.98","aufwand","ktn_gdn_ti","CHF","fs"
"320","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"331","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"337","","2016","265108491.59","aufwand","ktn_gdn_ti","CHF","fs"
"338","","2016","24251949.9","aufwand","ktn_gdn_ti","CHF","fs"
"340","","2016","78113797.84","aufwand","ktn_gdn_ti","CHF","fs"
"341","","2016","2032726.4","aufwand","ktn_gdn_ti","CHF","fs"
"342","","2016","456649.98","aufwand","ktn_gdn_ti","CHF","fs"
"343","","2016","1147318","aufwand","ktn_gdn_ti","CHF","fs"
"344","","2016","2583445.7","aufwand","ktn_gdn_ti","CHF","fs"
"349","","2016","4185439.8","aufwand","ktn_gdn_ti","CHF","fs"
"350","","2016","27425524.12","aufwand","ktn_gdn_ti","CHF","fs"
"351","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"352","","2016","3326871.92","aufwand","ktn_gdn_ti","CHF","fs"
"3600","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36010","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36011","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36012","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36013","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36014","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36015","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36016","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36017","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36018","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36019","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36021","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36022","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36023","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36029","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3603","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3604","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3610","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3611","","2016","1540464.23","aufwand","ktn_gdn_ti","CHF","fs"
"3612","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3613","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3614","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"3620","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36211","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36212","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36213","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36214","","2016","4837763","aufwand","ktn_gdn_ti","CHF","fs"
"36215","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
"36216","","2016","","aufwand","ktn_gdn_ti","CHF","fs"
