"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2016","77844361.6","bilanz","ktn_gdn_ur","CHF","fs"
"101","","2016","89348528.18","bilanz","ktn_gdn_ur","CHF","fs"
"102","","2016","15929965.6","bilanz","ktn_gdn_ur","CHF","fs"
"104","","2016","19757477.56","bilanz","ktn_gdn_ur","CHF","fs"
"106","","2016","1487817.65","bilanz","ktn_gdn_ur","CHF","fs"
"107","","2016","10844637.16","bilanz","ktn_gdn_ur","CHF","fs"
"108","","2016","45257885.9","bilanz","ktn_gdn_ur","CHF","fs"
"109","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"140","","2016","176028820.31","bilanz","ktn_gdn_ur","CHF","fs"
"141","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"142","","2016","591226.15","bilanz","ktn_gdn_ur","CHF","fs"
"143","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"144","","2016","28158390.45","bilanz","ktn_gdn_ur","CHF","fs"
"145","","2016","61721326.5","bilanz","ktn_gdn_ur","CHF","fs"
"146","","2016","32455345.81","bilanz","ktn_gdn_ur","CHF","fs"
"147","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"148","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"200","","2016","60641360.82","bilanz","ktn_gdn_ur","CHF","fs"
"201","","2016","3766704.92","bilanz","ktn_gdn_ur","CHF","fs"
"204","","2016","13687707.17","bilanz","ktn_gdn_ur","CHF","fs"
"205","","2016","6402178.35","bilanz","ktn_gdn_ur","CHF","fs"
"206","","2016","136211241.2","bilanz","ktn_gdn_ur","CHF","fs"
"207","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"208","","2016","11639125.5","bilanz","ktn_gdn_ur","CHF","fs"
"209","","2016","6845629.31","bilanz","ktn_gdn_ur","CHF","fs"
"290","","2016","30478561.38","bilanz","ktn_gdn_ur","CHF","fs"
"292","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"293","","2016","14733753.95","bilanz","ktn_gdn_ur","CHF","fs"
"294","","2016","1100000","bilanz","ktn_gdn_ur","CHF","fs"
"295","","2016","","bilanz","ktn_gdn_ur","CHF","fs"
"296","","2016","32000","bilanz","ktn_gdn_ur","CHF","fs"
"298","","2016","20000","bilanz","ktn_gdn_ur","CHF","fs"
"299","","2016","273867520.27","bilanz","ktn_gdn_ur","CHF","fs"
"empty","","2016","","er","ktn_gdn_ur","CHF","fs"
"empty","","2016","","er","ktn_gdn_ur","CHF","fs"
"empty","","2016","","er","ktn_gdn_ur","CHF","fs"
"empty","","2016","","er","ktn_gdn_ur","CHF","fs"
"300","","2016","4539333.8","aufwand","ktn_gdn_ur","CHF","fs"
"301","","2016","84771293.2","aufwand","ktn_gdn_ur","CHF","fs"
"302","","2016","47317738.2","aufwand","ktn_gdn_ur","CHF","fs"
"303","","2016","20714","aufwand","ktn_gdn_ur","CHF","fs"
