"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2020","4934032865.56","bilanz","ktn_gdn_vd","CHF","fs"
"101","","2020","3778748673.92","bilanz","ktn_gdn_vd","CHF","fs"
"102","","2020","3e+08","bilanz","ktn_gdn_vd","CHF","fs"
"104","","2020","1021773410.94","bilanz","ktn_gdn_vd","CHF","fs"
"106","","2020","16450541.28","bilanz","ktn_gdn_vd","CHF","fs"
"107","","2020","923986435.91","bilanz","ktn_gdn_vd","CHF","fs"
"108","","2020","1553056076.18","bilanz","ktn_gdn_vd","CHF","fs"
"109","","2020","8039478.22","bilanz","ktn_gdn_vd","CHF","fs"
"140","","2020","6096264058.27","bilanz","ktn_gdn_vd","CHF","fs"
"141","","2020","12805899.72","bilanz","ktn_gdn_vd","CHF","fs"
"142","","2020","42002048.67","bilanz","ktn_gdn_vd","CHF","fs"
"143","","2020","271375095","bilanz","ktn_gdn_vd","CHF","fs"
"144","","2020","312765687.88","bilanz","ktn_gdn_vd","CHF","fs"
"145","","2020","9011975","bilanz","ktn_gdn_vd","CHF","fs"
"146","","2020","198566551.03","bilanz","ktn_gdn_vd","CHF","fs"
"147","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"148","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"200","","2020","2658519570.16","bilanz","ktn_gdn_vd","CHF","fs"
"201","","2020","1195235779.37","bilanz","ktn_gdn_vd","CHF","fs"
"204","","2020","3071512095.55","bilanz","ktn_gdn_vd","CHF","fs"
"205","","2020","79543139","bilanz","ktn_gdn_vd","CHF","fs"
"206","","2020","6422849896.61","bilanz","ktn_gdn_vd","CHF","fs"
"207","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"208","","2020","178982751.43","bilanz","ktn_gdn_vd","CHF","fs"
"209","","2020","1210662225.76","bilanz","ktn_gdn_vd","CHF","fs"
"290","","2020","546266905","bilanz","ktn_gdn_vd","CHF","fs"
"292","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"293","","2020","2330166028.3","bilanz","ktn_gdn_vd","CHF","fs"
"294","","2020","3.66e+08","bilanz","ktn_gdn_vd","CHF","fs"
"295","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"296","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"298","","2020","","bilanz","ktn_gdn_vd","CHF","fs"
"299","","2020","1419140406.4","bilanz","ktn_gdn_vd","CHF","fs"
"empty","","2020","","er","ktn_gdn_vd","CHF","fs"
"empty","","2020","","er","ktn_gdn_vd","CHF","fs"
"empty","","2020","","er","ktn_gdn_vd","CHF","fs"
"empty","","2020","","er","ktn_gdn_vd","CHF","fs"
"300","","2020","57705278.47","aufwand","ktn_gdn_vd","CHF","fs"
"301","","2020","2070254184.16","aufwand","ktn_gdn_vd","CHF","fs"
"302","","2020","1525538203.69","aufwand","ktn_gdn_vd","CHF","fs"
"303","","2020","55089737.19","aufwand","ktn_gdn_vd","CHF","fs"
"304","","2020","39119081.14","aufwand","ktn_gdn_vd","CHF","fs"
